id	tissue	samp.id	lib.name	index	rin	con.RNA	lib.size	con.cDNA	sex	age																		
49267	hip	hip49267	AIL_RNA3a	1	8.5	240.92	288	17.90																				
49274	hip	hip49274	AIL_RNA3a	2	9.3	307.09	276	27.61																				
49286	hip	hip49286	AIL_RNA2a	3	9.5	296.81	292	30.92																				
50107	hip	hip50107	AIL_RNA2b	4	8.9	297.25	293	42.69																				
50122	hip	hip50122	AIL_RNA1	5	8.9	264.58	287	40.63																				
50216	hip	hip50216	AIL_RNA1	6	8.8	290.76	294	22.79																				
50217	hip	hip50217	AIL_RNA1	7	9.4	246.45	292	23.39																				
50500	hip	hip50500	AIL_RNA1	8	8.8	374.89	290	44.90																				
49405	hip	hip49405	AIL_RNA4c	9	8.5	260.15	268	7.26																				
49405	hip	hip49405	AIL_RNA9b	9	8.5	260.15	268	7.26																				
49414	hip	hip49414	AIL_RNA4a	10	8.5	261.34	299	41.07																				
50740	hip	hip50740	AIL_RNA3d	11	8.8	344.87	291	25.09																				
51616	hip	hip51616	AIL_RNA2b	12	8.8	288.24	293	31.42																				
50220	hip	hip50220	AIL_RNA2c	13	9.4	327.95	288	8.79																				
50146	hip	hip50146	AIL_RNA2c	14	8.8	231.19	290	31.47																				
49426	hip	hip49426	AIL_RNA2b	15	9.6	243.83	290	42.62																				
50359	hip	hip50359	AIL_RNA3d	16	9.4	311.75	292	20.45																				
50131	hip	hip50131	AIL_RNA1	18	8.5	369.59	303	36.30																				
50168	hip	hip50168	AIL_RNA1	19	8.4	323.03	283	45.77																				
50186	hip	hip50186	AIL_RNA1	20	8.4	284.14	286	49.30				 																
50195	hip	hip50195	AIL_RNA4b	21	9.4	299.69	281	20.15																				
50223	hip	hip50223	AIL_RNA6a	22	8.8	332.33	295	27.01																				
50237	hip	hip50237	AIL_RNA2b	23	9.4	330.10	288	35.01																				
50255	hip	hip50255	AIL_RNA2d	25	9.5	233.62	300	27.30																				
50258	hip	hip50258	AIL_RNA2a	27	8.8	253.19	287	32.13																				
52053	hip	hip52053	AIL_RNA2a	5	8.7	357.01	293	22.49																				
52058	hip	hip52058	AIL_RNA6a	6	8.9	275.95	285	15.84																				
52145	hip	hip52145	AIL_RNA2c	12	8.7	234.62	283	19.80																				
54139	hip	hip54139	AIL_RNA7c	19	8.6	261.81	274	16.00																				
54149	hip	hip54149	AIL_RNA4a	2	9.0	237.78	290	76.84																				
54158	hip	hip54158	AIL_RNA4a	4	8.8	287.09	280	38.58																				
54169	hip	hip54169	AIL_RNA4d	7	8.8	313.85	283	29.76																				
54169	hip	hip54169	AIL_RNA5b	7	8.8	313.85	283	29.76																				
54186	hip	hip54186	AIL_RNA2c	16	8.7	209.96	294	30.84																				
52186	hip	hip52186	AIL_RNA6a	1	8.7	223.78	275	18.23																				
54187	hip	hip54187	AIL_RNA2a	8	9.0	253.42	278	16.29																				
54109	hip	hip54109	AIL_RNA3a	10	8.8	303.41	272	25.32																				
51897	hip	hip51897	AIL_RNA2a	11	9.1	217.82	287	33.44																				
51924	hip	hip51924	AIL_RNA5a	3	8.7	218.16	281	24.58																				
