"one"	"id"	"gen"	"fam"	"dam"	"sire"	"dam.age"	"sire.age"	"wean.age"	"mf.ratio"	"dob"	"cage"	"sex"	"batch"	"cpp.date"	"ppi.date"	"glu.date"	"rip.date"	"cpp.mo"	"ppi.mo"	"glu.mo"	"rip.mo"	"cpp.age"	"cpp.box"	"d1.weight"	"d1.fb"	"d2.weight"	"d2.fb"	"d3.weight"	"d3.fb"	"d4.weight"	"d4.fb"	"d5.weight"	"d5.fb"	"d8.weight"	"d8.fb"	"glu.age"	"glu.weight"	"rip.age"	"rip.weight"	"wild"	"brain"	"ppi.weight"	"ppi.age"	"ppi.box"	"coat"
"1"	1	26580	50	"BrF49-36"	45482	45342	95	112	21	0.555555556	"7/3/2012"	"TestF50-18"	"M"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	55	5	29.6	3	28.7	0	28.2	2	27.8	0	28.2	7	27.7	5	78	30.4	83	31.8	NA	"n"	30.3	71	1	"A"
"2"	1	26581	50	"BrF49-36"	45482	45342	119	132	21	0.5	"7/3/2012"	"TestF50-17"	"F"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	55	1	27.7	2	28.1	0	28	5	28.6	3	27.7	6	28.7	6	78	33	83	30.4	NA	"y"	32.4	71	1	"A"
"3"	1	26582	50	"BrF49-37"	45484	45352	95	112	21	0.555555556	"7/6/2012"	"TestF50-17"	"F"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	52	2	29	0	29	0	29	2	29.3	0	28.9	1	30.1	4	75	33.2	80	33.7	NA	"n"	33	68	2	"A"
"4"	1	26583	50	"BrF49-37"	45484	45352	98	112	19	0.5	"7/6/2012"	"TestF50-18"	"M"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	52	6	25.8	0	26.4	0	26.4	4	26.6	0	26.7	5	28	4	75	33.4	80	35.9	NA	"y"	32.3	68	2	"A"
"5"	1	26584	50	"BrF49-38"	45485	45355	98	113	20	0.5	"7/6/2012"	"TestF50-18"	"M"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	52	7	30.6	2	30.5	0	30.3	2	29.4	0	29.2	3	29.5	4	75	32.8	80	33.4	NA	"n"	32.4	68	3	"B"
"6"	1	26585	50	"BrF49-38"	45485	45355	98	113	20	0.5	"7/6/2012"	"TestF50-19"	"F"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	52	1	21.7	2	22.5	1	22	4	22.3	1	22.6	6	24.1	4	75	26.8	80	25.7	NA	"n"	26	68	1	"A"
"7"	1	26586	50	"BrF49-39"	45359	45357	111	110	21	0.363636364	"7/4/2012"	"TestF50-18"	"M"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	54	8	22.9	2	23.9	0	23.6	2	23.2	0	23.3	5	24.1	4	77	25.9	82	27.5	NA	"n"	26.1	70	4	"B"
"8"	1	26587	50	"BrF49-39"	45359	45357	111	110	21	0.363636364	"7/4/2012"	"TestF50-17"	"F"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	54	3	21.1	4	21.6	2	21.3	3	21.7	2	20.2	1	21.7	7	77	23.4	82	22.3	NA	"n"	22.8	70	3	"B"
"9"	1	26588	50	"BrF49-41"	45353	45426	111	98	21	0.363636364	"7/5/2012"	"TestF50-17"	"F"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	53	4	22.5	4	22.9	0	23	4	22.6	0	22.3	4	23.4	2	76	26.2	81	25.5	NA	"n"	25.5	69	4	"B"
"10"	1	26589	50	"BrF49-41"	45353	45426	111	98	21	0.363636364	"7/5/2012"	"TestF50-20"	"M"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	53	5	26.2	2	26	0	25.7	4	25.5	0	25.2	6	26.6	5	76	28.5	81	29.1	NA	"n"	28.8	69	1	"B"
"11"	1	26590	50	"BrF49-44"	45382	45479	110	97	21	0.75	"7/4/2012"	"TestF50-19"	"F"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	54	2	21.7	1	21.5	0	21.1	4	20.6	0	20.6	3	21.3	3	77	21.3	82	20.9	NA	"n"	22.3	70	2	"B"
"12"	1	26591	50	"BrF49-44"	45382	45479	110	97	21	0.75	"7/4/2012"	"TestF50-20"	"M"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	54	6	25.2	2	24.8	0	25	6	24.8	0	24.6	5	25.6	9	77	27.6	82	27.2	NA	"n"	27.7	70	2	"A"
"13"	1	26592	50	"BrF49-46"	45457	45438	99	100	21	0.444444444	"7/4/2012"	"TestF50-20"	"M"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	54	7	26	5	26.8	0	27.5	6	28.2	0	28.8	7	30.4	3	77	30.3	82	30.8	NA	"y"	30.4	70	3	"B"
"14"	1	26593	50	"BrF49-46"	45457	45438	99	100	21	0.444444444	"7/4/2012"	"TestF50-19"	"F"	2	"8/27/2012"	"9/12/2012"	"9/19/2012"	"9/24/2012"	"Aug"	"Aug"	"Sep"	"Sep"	54	3	18.6	7	18.6	1	18.3	4	18.9	0	18.5	4	19.8	9	77	25.2	82	24.1	NA	"n"	22.9	70	3	"B"
