id,gen,cage,fam,sex,coat.color,dob,batch,rip.date,rip.mo,rip.age,rip.weight
26580,50,TestF50-18,BrF49-36,M,A,7/3/2012,2,9/24/2012,Sep,83,31.8
26581,50,TestF50-17,BrF49-36,F,A,7/3/2012,2,9/24/2012,Sep,83,30.4
26582,50,TestF50-17,BrF49-37,F,A,7/6/2012,2,9/24/2012,Sep,80,33.7
26583,50,TestF50-18,BrF49-37,M,A,7/6/2012,2,9/24/2012,Sep,80,35.9
26584,50,TestF50-18,BrF49-38,M,B,7/6/2012,2,9/24/2012,Sep,80,33.4
26585,50,TestF50-19,BrF49-38,F,A,7/6/2012,2,9/24/2012,Sep,80,25.7
26586,50,TestF50-18,BrF49-39,M,B,7/4/2012,2,9/24/2012,Sep,82,27.5
26587,50,TestF50-17,BrF49-39,F,B,7/4/2012,2,9/24/2012,Sep,82,22.3
26588,50,TestF50-17,BrF49-41,F,B,7/5/2012,2,9/24/2012,Sep,81,25.5
26589,50,TestF50-20,BrF49-41,M,B,7/5/2012,2,9/24/2012,Sep,81,29.1
26590,50,TestF50-19,BrF49-44,F,B,7/4/2012,2,9/24/2012,Sep,82,20.9
26591,50,TestF50-20,BrF49-44,M,A,7/4/2012,2,9/24/2012,Sep,82,27.2
26592,50,TestF50-20,BrF49-46,M,B,7/4/2012,2,9/24/2012,Sep,82,30.8
26593,50,TestF50-19,BrF49-46,F,B,7/4/2012,2,9/24/2012,Sep,82,24.1
26594,50,TestF50-20,BrF49-55,M,W,7/4/2012,2,9/24/2012,Sep,82,29.6
26595,50,TestF50-19,BrF49-55,F,W,7/4/2012,2,9/24/2012,Sep,82,24.8
45493,50,TestF50-33,BrF49-82,F,W,7/19/2012,3,10/10/2012,Oct,83,19.7
45494,50,TestF50-36,BrF49-82,M,W,7/19/2012,3,10/11/2012,Oct,84,29.7
45496,50,TestF50-02,BrF49-01,M,B,6/20/2012,1,9/10/2012,Sep,82,32.9
45497,50,TestF50-01,BrF49-01,F,B,6/20/2012,1,9/10/2012,Sep,82,24.5
45498,50,TestF50-01,BrF49-03,F,W,6/19/2012,1,9/10/2012,Sep,83,24
45499,50,TestF50-02,BrF49-04,M,B,6/20/2012,1,9/10/2012,Sep,82,29.4
46001,50,TestF50-01,BrF49-04,F,B,6/20/2012,1,9/10/2012,Sep,82,25.5
46002,50,TestF50-01,BrF49-06,F,A,6/20/2012,1,9/10/2012,Sep,82,19.1
46004,50,TestF50-02,BrF49-07,M,A,6/19/2012,1,9/10/2012,Sep,83,28.2
46005,50,TestF50-03,BrF49-07,F,B,6/19/2012,1,9/10/2012,Sep,83,21.8
46006,50,TestF50-03,BrF49-09,F,B,6/19/2012,1,9/10/2012,Sep,83,35
46007,50,TestF50-04,BrF49-09,M,W,6/19/2012,1,9/10/2012,Sep,83,35.8
46008,50,TestF50-03,BrF49-21,F,W,6/20/2012,1,9/10/2012,Sep,82,21.3
46009,50,TestF50-04,BrF49-21,M,B,6/20/2012,1,9/10/2012,Sep,82,38.4
46010,50,TestF50-04,BrF49-13,M,A,6/20/2012,1,9/10/2012,Sep,82,42.6
46011,50,TestF50-03,BrF49-13,F,A,6/20/2012,1,9/10/2012,Sep,82,28.2
46012,50,TestF50-04,BrF49-14,M,B,6/20/2012,1,9/10/2012,Sep,82,35.5
46013,50,TestF50-05,BrF49-14,F,A,6/20/2012,1,9/10/2012,Sep,82,26.2
46014,50,TestF50-05,BrF49-18,F,A,6/20/2012,1,9/10/2012,Sep,82,29.3
46015,50,TestF50-06,BrF49-18,M,A,6/20/2012,1,9/10/2012,Sep,82,37.2
46016,50,TestF50-06,BrF49-22,M,B,6/19/2012,1,9/10/2012,Sep,83,41.5
46017,50,TestF50-05,BrF49-22,F,W,6/19/2012,1,9/10/2012,Sep,83,23.3
46019,50,TestF50-05,BrF49-23,F,W,6/19/2012,1,9/10/2012,Sep,83,28
46020,50,TestF50-06,BrF49-23,M,W,6/19/2012,1,9/10/2012,Sep,83,40.5
46023,50,TestF50-06,BrF49-24,M,A,6/19/2012,1,9/10/2012,Sep,83,33.2
46024,50,TestF50-07,BrF49-24,M,W,6/19/2012,1,9/10/2012,Sep,83,29.6
46027,50,TestF50-07,BrF49-31,M,A,6/21/2012,1,9/10/2012,Sep,81,29.1
46126,50,TestF50-10,BrF49-26,M,W,6/21/2012,1,9/11/2012,Sep,82,38
46127,50,TestF50-09,BrF49-26,F,A,6/21/2012,1,9/11/2012,Sep,82,22.2
46128,50,TestF50-42,BrF49-08,M,B,6/22/2012,2,9/24/2012,Sep,94,43.2
46129,50,TestF50-41,BrF49-08,F,B,6/22/2012,2,9/24/2012,Sep,94,31.5
