Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
	A1		Default	1/26/2015	2:20 PM	33.07	ng/ul	0.661	0.440	1.50	0.50	50.00	260	0.661	0.016	DNA-50
	B1		Default	1/26/2015	2:20 PM	79.24	ng/ul	1.585	1.116	1.42	0.46	50.00	260	1.585	0.087	DNA-50
	C1		Default	1/26/2015	2:20 PM	86.66	ng/ul	1.733	0.934	1.86	1.64	50.00	260	1.733	0.199	DNA-50
	D1		Default	1/26/2015	2:20 PM	101.5	ng/ul	2.031	1.117	1.82	1.29	50.00	260	2.031	0.277	DNA-50
	E1		Default	1/26/2015	2:20 PM	64.68	ng/ul	1.294	0.648	2.00	1.74	50.00	260	1.294	0.015	DNA-50
	F1		Default	1/26/2015	2:20 PM	147.4	ng/ul	2.948	1.549	1.90	1.78	50.00	260	2.948	0.147	DNA-50
	G1		Default	1/26/2015	2:20 PM	62.10	ng/ul	1.242	0.632	1.97	1.66	50.00	260	1.242	0.005	DNA-50
	H1		Default	1/26/2015	2:20 PM	181.0	ng/ul	3.619	1.855	1.95	2.02	50.00	260	3.619	0.741	DNA-50
	B1		Default	1/26/2015	2:22 PM	32.84	ng/ul	0.657	0.438	1.50	0.50	50.00	260	0.657	0.098	DNA-50
	C1		Default	1/26/2015	2:22 PM	-9.672E-3	ng/ul	-0.000	0.029	-0.01	0.00	50.00	260	-0.000	0.068	DNA-50
	D1		Default	1/26/2015	2:22 PM	170.2	ng/ul	3.404	2.461	1.38	1.01	50.00	260	3.404	20.051	DNA-50
	E1		Default	1/26/2015	2:22 PM	232.9	ng/ul	4.657	2.564	1.82	1.50	50.00	260	4.657	4.959	DNA-50
	F1		Default	1/26/2015	2:22 PM	115.3	ng/ul	2.306	1.278	1.80	1.24	50.00	260	2.306	1.474	DNA-50
	G1		Default	1/26/2015	2:22 PM	154.4	ng/ul	3.087	1.653	1.87	1.90	50.00	260	3.087	0.151	DNA-50
	H1		Default	1/26/2015	2:22 PM	57.12	ng/ul	1.142	0.645	1.77	1.33	50.00	260	1.142	0.055	DNA-50
	B2		Default	1/26/2015	2:23 PM	81.08	ng/ul	1.622	1.140	1.42	0.46	50.00	260	1.622	0.114	DNA-50
	C2		Default	1/26/2015	2:23 PM	158.9	ng/ul	3.177	1.810	1.76	1.33	50.00	260	3.177	0.172	DNA-50
	D2		Default	1/26/2015	2:23 PM	98.82	ng/ul	1.976	1.062	1.86	1.77	50.00	260	1.976	0.124	DNA-50
	E2		Default	1/26/2015	2:23 PM	99.36	ng/ul	1.987	1.057	1.88	1.69	50.00	260	1.987	0.775	DNA-50
	F2		Default	1/26/2015	2:23 PM	123.3	ng/ul	2.466	1.317	1.87	2.08	50.00	260	2.466	0.115	DNA-50
	G2		Default	1/26/2015	2:23 PM	74.34	ng/ul	1.487	0.776	1.92	1.93	50.00	260	1.487	0.122	DNA-50
	H2		Default	1/26/2015	2:23 PM	116.9	ng/ul	2.337	1.282	1.82	1.51	50.00	260	2.337	0.014	DNA-50
	B3		Default	1/26/2015	2:24 PM	85.48	ng/ul	1.710	0.905	1.89	1.80	50.00	260	1.710	0.062	DNA-50
	C3		Default	1/26/2015	2:24 PM	-1.032	ng/ul	-0.021	-0.003	6.57	0.28	50.00	260	-0.021	0.094	DNA-50
	D3		Default	1/26/2015	2:24 PM	175.3	ng/ul	3.507	1.892	1.85	1.94	50.00	260	3.507	0.053	DNA-50
	E3		Default	1/26/2015	2:24 PM	201.5	ng/ul	4.031	2.168	1.86	2.11	50.00	260	4.031	0.076	DNA-50
	F3		Default	1/26/2015	2:24 PM	145.8	ng/ul	2.915	1.543	1.89	2.02	50.00	260	2.915	0.097	DNA-50
	G3		Default	1/26/2015	2:24 PM	142.1	ng/ul	2.842	1.479	1.92	2.17	50.00	260	2.842	0.040	DNA-50
	H3		Default	1/26/2015	2:24 PM	93.87	ng/ul	1.877	0.993	1.89	2.20	50.00	260	1.877	-0.020	DNA-50
	B4		Default	1/26/2015	2:25 PM	97.08	ng/ul	1.942	1.053	1.84	1.43	50.00	260	1.942	0.078	DNA-50
	C4		Default	1/26/2015	2:25 PM	207.9	ng/ul	4.157	2.274	1.83	1.86	50.00	260	4.157	0.145	DNA-50
	D4		Default	1/26/2015	2:25 PM	235.7	ng/ul	4.714	2.574	1.83	1.66	50.00	260	4.714	0.069	DNA-50
	E4		Default	1/26/2015	2:25 PM	220.0	ng/ul	4.399	2.344	1.88	2.26	50.00	260	4.399	0.009	DNA-50
	F4		Default	1/26/2015	2:25 PM	160.0	ng/ul	3.199	1.698	1.88	2.16	50.00	260	3.199	0.015	DNA-50
	G4		Default	1/26/2015	2:25 PM	167.0	ng/ul	3.339	1.751	1.91	2.20	50.00	260	3.339	0.064	DNA-50
	H4		Default	1/26/2015	2:25 PM	65.77	ng/ul	1.315	0.686	1.92	2.18	50.00	260	1.315	-0.044	DNA-50
	B5		Default	1/26/2015	2:26 PM	64.19	ng/ul	1.284	0.673	1.91	1.85	50.00	260	1.284	0.017	DNA-50
	C5		Default	1/26/2015	2:26 PM	276.8	ng/ul	5.536	2.984	1.85	2.17	50.00	260	5.536	0.497	DNA-50
	D5		Default	1/26/2015	2:26 PM	39.18	ng/ul	0.784	0.412	1.90	1.78	50.00	260	0.784	-0.006	DNA-50
	E5		Default	1/26/2015	2:26 PM	112.3	ng/ul	2.246	1.189	1.89	2.12	50.00	260	2.246	-0.001	DNA-50
	F5		Default	1/26/2015	2:26 PM	45.82	ng/ul	0.916	0.480	1.91	2.16	50.00	260	0.916	-0.093	DNA-50
	G5		Default	1/26/2015	2:26 PM	223.3	ng/ul	4.465	2.365	1.89	2.21	50.00	260	4.465	0.148	DNA-50
	H5		Default	1/26/2015	2:26 PM	278.6	ng/ul	5.571	2.998	1.86	2.16	50.00	260	5.571	-0.040	DNA-50
	B6		Default	1/26/2015	2:27 PM	136.7	ng/ul	2.735	1.410	1.94	2.14	50.00	260	2.735	-0.003	DNA-50
	C6		Default	1/26/2015	2:27 PM	288.7	ng/ul	5.775	3.125	1.85	2.00	50.00	260	5.775	1.314	DNA-50
	D6		Default	1/26/2015	2:27 PM	248.2	ng/ul	4.965	2.670	1.86	2.05	50.00	260	4.965	0.728	DNA-50
	E6		Default	1/26/2015	2:27 PM	102.9	ng/ul	2.058	1.107	1.86	1.71	50.00	260	2.058	0.907	DNA-50
	F6		Default	1/26/2015	2:27 PM	85.11	ng/ul	1.702	0.918	1.85	2.06	50.00	260	1.702	-0.091	DNA-50
	G6		Default	1/26/2015	2:27 PM	56.31	ng/ul	1.126	0.564	2.00	1.64	50.00	260	1.126	0.447	DNA-50
	H6		Default	1/26/2015	2:27 PM	63.26	ng/ul	1.265	0.653	1.94	2.01	50.00	260	1.265	-0.026	DNA-50
	B7		Default	1/26/2015	2:28 PM	62.52	ng/ul	1.250	0.670	1.87	1.67	50.00	260	1.250	0.081	DNA-50
	C7		Default	1/26/2015	2:28 PM	212.4	ng/ul	4.248	2.289	1.86	1.90	50.00	260	4.248	1.437	DNA-50
	D7		Default	1/26/2015	2:28 PM	159.7	ng/ul	3.194	1.696	1.88	2.07	50.00	260	3.194	0.079	DNA-50
	E7		Default	1/26/2015	2:28 PM	55.02	ng/ul	1.100	0.598	1.84	1.86	50.00	260	1.100	0.093	DNA-50
	F7		Default	1/26/2015	2:28 PM	200.7	ng/ul	4.014	2.141	1.87	2.25	50.00	260	4.014	-0.089	DNA-50
	G7		Default	1/26/2015	2:28 PM	169.4	ng/ul	3.388	1.813	1.87	1.79	50.00	260	3.388	0.134	DNA-50
	H7		Default	1/26/2015	2:28 PM	33.30	ng/ul	0.666	0.370	1.80	0.65	50.00	260	0.666	-0.024	DNA-50
	B8		Default	1/26/2015	2:29 PM	176.0	ng/ul	3.519	1.829	1.92	2.25	50.00	260	3.519	0.166	DNA-50
	C8		Default	1/26/2015	2:29 PM	175.7	ng/ul	3.514	1.874	1.87	2.15	50.00	260	3.514	0.288	DNA-50
	D8		Default	1/26/2015	2:29 PM	238.0	ng/ul	4.761	2.545	1.87	2.15	50.00	260	4.761	0.093	DNA-50
