Index	Name	ID	Gender	Plate	Well	Group	Parent1	Parent2	Replicate	SentrixPosition
1	46498	46498	Unknown	64157	E1					10006819022_R01C01
2	46134	46134	Unknown	64157	F1					10006819022_R01C02
3	46135	46135	Unknown	64157	G1					10006819053_R01C01
4	48369	48369	Unknown	64157	H1					10006819053_R01C02
5	48370	48370	Unknown	64157	E2					10006819022_R03C01
6	51240	51240	Unknown	64157	F2					10006819022_R03C02
7	52000	52000	Unknown	64157	G2					10006819053_R03C01
8	51283	51283	Unknown	64157	H2					10006819053_R03C02
9	51962	51962	Unknown	64157	E3					10006819022_R05C01
10	51911	51911	Unknown	64157	F3					10006819022_R05C02
11	51906	51906	Unknown	64157	G3					10006819053_R05C01
12	52123	52123	Unknown	64157	H3					10006819053_R05C02
13	52124	52124	Unknown	64157	E4					10006819022_R07C01
14	52088	52088	Unknown	64157	F4					10006819022_R07C02
15	54299	54299	Unknown	64157	G4					10006819053_R07C01
16	54393	54393	Unknown	64157	H4					10006819053_R07C02
17	54818	54818	Unknown	64157	E5					10006819022_R09C01
18	46319	46319	Unknown	64157	F5					10006819022_R09C02
19	46490	46490	Unknown	64157	G5					10006819053_R09C01
20	48305	48305	Unknown	64157	H5					10006819053_R09C02
21	52058	52058	Unknown	64157	E6					10006819022_R11C01
22	51972	51972	Unknown	64157	F6					10006819022_R11C02
23	54340	54340	Unknown	64157	G6					10006819053_R11C01
24	54193	54193	Unknown	64157	H6					10006819053_R11C02
