id	gen	cc	fam	dam	sire	dam.age	sire.age	wean.age	mf.ratio	dob	cage	sex	batch	cpp.date	ppi.date	glu.date	rip.date	cpp.mo	ppi.mo	glu.mo	rip.mo	cpp.age	cpp.box	d1.weight	d1.fb	d2.weight	d2.fb	d3.weight	d3.fb	d4.weight	d4.fb	d5.weight	d5.fb	d8.weight	d8.fb	act1.1	act1.2	act1.3	act1.4	act1.5	act1.6	act1.t	cpp1.1	cpp1.2	cpp1.3	cpp1.4	cpp1.5	cpp1.6	cpp1.t	cpp1.p	sc1.1	sc1.2	sc1.3	sc1.4	sc1.5	sc1.6	sc1.t	act2.1	act2.2	act2.3	act2.4	act2.5	act2.6	act2.t	act3.1	act3.2	act3.3	act3.4	act3.5	act3.6	act3.t	act4.1	act4.2	act4.3	act4.4	act4.5	act4.6	act4.t	act5.1	act5.2	act5.3	act5.4	act5.5	act5.6	act5.t	act8.1	act8.2	act8.3	act8.4	act8.5	act8.6	act8.t	cpp8.1	cpp8.2	cpp8.3	cpp8.4	cpp8.5	cpp8.6	cpp8.t	cpp8.p	sc8.1	sc8.2	sc8.3	sc8.4	sc8.5	sc8.6	sc8.t	cpp.diff	comerr1	comerr2	comerr3	comerr4	comerr5	comerr8	rm.act4	sens	glu.age	glu.weight	glucose	rip.age	rip.weight	tail	wild	brain	ppi.weight	ppi.age	ppi.box	ppi3	ppi6	ppi12	avg.ppi	startle	habituation	sum.nostim
26580	50	AGR	BrF49-36	45482	45342	95	112	21	0.555555556	7/3/2012	TestF50-18	M	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	55	5	29.6	3	28.7	0	28.2	2	27.8	0	28.2	7	27.7	5	1154	1364	946	1055	817	720	6056	141.6	145.7	173.7	143.2	184.8	51.2	840.2	0.47	21	26	18	16	13	12	106	403	328	360	341	429	361	2222	280	210	211	224	172	164	1261	576	676	523	429	502	549	3255	280	234	259	194	179	132	1278	2258	1471	1187	1477	1191	564	8148	162	133.9	173.7	130	154	94.9	848.5	0.47139	51	34	24	41	22	11	183	0.004611111	0	0	0	0	0	0	0	1033	78	30.4	137	83	31.8	9	NA	n	30.3	71	1	55.50844347	72.26321586	76.08480176	67.9521537	27.20833333	-1.666666667	47
26581	50	AGL	BrF49-36	45482	45342	119	132	21	0.5	7/3/2012	TestF50-17	F	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	55	1	27.7	2	28.1	0	28	5	28.6	3	27.7	6	28.7	6	2404	1762	1947	2090	1602	1275	11080	180.5	166.7	159.1	151.4	132.8	141.8	932.3	0.52	35	18	17	31	24	22	147	710	645	655	671	555	555	3791	361	249	242	148	212	156	1368	499	545	493	509	561	628	3235	410	195	165	238	208	185	1401	2127	2214	1411	1395	1494	1245	9886	149.7	150.2	150	139.1	94.5	124.1	807.6	0.44867	31	36	29	34	34	19	183	-0.069277778	0	0	0	0	0	0	0	-556	78	33	116	83	30.4	8.5	NA	y	32.4	71	1	45.64555209	72.24645206	75.03980616	64.31060344	23.41666667	-12.16666667	47
26582	50	AGR	BrF49-37	45484	45352	95	112	21	0.555555556	7/6/2012	TestF50-17	F	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	52	2	29	0	29	0	29	2	29.3	0	28.9	1	30.1	4	2107	1974	2011	1992	1719	1356	11159	137.6	182	188.8	170.5	155.7	200.4	1035	0.58	23	24	24	29	25	18	143	636	749	703	729	689	714	4220	618	415	315	318	340	310	2316	789	1078	1064	849	716	541	5037	364	232	204	254	218	89	1361	2727	2079	1819	1514	1466	1343	10948	189	210.7	183	165.6	168.7	165.6	1082.6	0.60144	32	27	32	25	24	18	158	0.026444444	0	0	0	0	0	0	0	817	75	33.2	93	80	33.7	8.3	NA	n	33	68	2	48.39272668	59.36683172	73.83797386	60.53251076	42.5	6.166666667	29
26583	50	AGL	BrF49-37	45484	45352	98	112	19	0.5	7/6/2012	TestF50-18	M	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	52	6	25.8	0	26.4	0	26.4	4	26.6	0	26.7	5	28	4	2267	1567	1774	1674	1407	1451	10140	137.2	175.7	161.7	158.7	168.8	183.4	985.5	0.55	28	18	21	24	27	24	142	519	548	549	590	517	580	3303	569	348	296	219	219	245	1896	660	757	780	614	668	633	4112	402	331	274	236	172	205	1620	2086	2069	1673	1640	1349	1634	10451	122.9	147.9	134.5	164	125.1	126.8	821.2	0.45622	32	23	23	26	20	25	149	-0.091277778	0	0	0	0	0	0	0	809	75	33.4	97	80	35.9	6.6	NA	y	32.3	68	2	55.18756585	69.98005819	81.08105905	68.74956103	81.91666667	39.16666667	27
26584	50	BR	BrF49-38	45485	45355	98	113	20	0.5	7/6/2012	TestF50-18	M	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	52	7	30.6	2	30.5	0	30.3	2	29.4	0	29.2	3	29.5	4	1236	1068	1287	1047	777	878	6293	139.7	146	165.2	174.9	176.9	149.9	952.6	0.53	27	27	36	28	22	29	169	306	506	428	495	335	337	2407	245	133	166	48	92	90	774	353	222	117	49	85	123	949	239	140	169	89	93	148	878	1192	847	741	613	635	644	4672	210.4	132	172.8	117.2	157.3	146.3	936	0.52	26	20	21	15	19	15	116	-0.009222222	0	0	0	0	0	0	0	-1458	75	32.8	89	80	33.4	8.1	NA	n	32.4	68	3	42.74956691	66.23577133	75.22322221	61.40285348	121.8333333	10.16666667	48
26585	50	AGR	BrF49-38	45485	45355	98	113	20	0.5	7/6/2012	TestF50-19	F	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	52	1	21.7	2	22.5	1	22	4	22.3	1	22.6	6	24.1	4	1762	2216	2315	1519	2150	1528	11490	162.6	167.5	131.3	130.9	161.6	149.1	903	0.5	20	37	47	31	56	45	236	412	418	445	383	384	215	2257	312	257	302	289	203	232	1595	574	617	614	575	658	588	3626	307	264	201	256	233	240	1501	2028	1736	1393	1421	1223	1408	9209	167.7	153.1	158	200.3	152.1	136.5	967.7	0.53761	38	38	28	33	26	26	189	0.035944444	0	0	0	0	0	0	0	1369	75	26.8	60	80	25.7	8	NA	n	26	68	1	12.84301075	40.49032258	65.79784946	39.71039427	39.83333333	-21.16666667	50
26586	50	BL	BrF49-39	45359	45357	111	110	21	0.363636364	7/4/2012	TestF50-18	M	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	8	22.9	2	23.9	0	23.6	2	23.2	0	23.3	5	24.1	4	1117	1204	1115	1087	941	1058	6522	121.8	161.8	176.6	146	162.8	174.3	943.3	0.52	15	20	16	21	19	18	109	439	423	382	378	314	286	2222	419	322	263	276	208	109	1597	481	445	434	398	293	376	2427	362	261	216	190	244	250	1523	1652	1400	1391	1173	743	746	7105	158.8	176.9	214.4	185.6	157.5	204.9	1098.1	0.61006	32	32	34	22	13	11	144	0.086	0	0	0	0	0	0	0	205	77	25.9	86	82	27.5	8	NA	n	26.1	70	4	33.93737455	54.7113609	70.19710959	52.94861501	88.16666667	-33.33333333	32
26587	50	BR	BrF49-39	45359	45357	111	110	21	0.363636364	7/4/2012	TestF50-17	F	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	54	3	21.1	4	21.6	2	21.3	3	21.7	2	20.2	1	21.7	7	1516	1239	1285	1138	1289	1129	7596	130.5	198.3	162	203.9	148.5	138.4	981.6	0.55	28	28	36	25	29	23	169	500	511	479	441	439	352	2722	342	337	335	297	251	185	1747	378	451	465	482	594	525	2895	256	194	205	215	114	97	1081	2515	1409	1272	1186	1069	1057	8508	148.7	163.3	151.4	117	183.1	140.7	904.2	0.50233	69	28	34	26	27	27	211	-0.043	0	0	0	0	0	0	0	173	77	23.4	123	82	22.3	8.2	NA	n	22.8	70	3	9.50262085	28.97146185	50.68025626	29.71811299	82.375	-12.33333333	41
26588	50	BL	BrF49-41	45353	45426	111	98	21	0.363636364	7/5/2012	TestF50-17	F	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	53	4	22.5	4	22.9	0	23	4	22.6	0	22.3	4	23.4	2	1791	1414	1253	1487	1096	953	7994	140.6	132.3	149	140.8	116	153.6	832.3	0.46	22	25	15	17	12	10	101	429	321	249	324	285	263	1871	422	202	227	220	197	177	1445	468	352	258	383	424	387	2272	363	218	180	158	160	141	1220	2598	1749	1765	1735	1631	2356	11834	221.2	209.5	134.5	162.2	122.6	212.5	1062.5	0.59028	43	29	36	36	32	32	208	0.127888889	0	0	0	0	0	0	0	401	76	26.2	116	81	25.5	8.7	NA	n	25.5	69	4	8.511627907	61.32254803	61.1445905	43.65958881	62.33333333	0.5	53
26589	50	BR	BrF49-41	45353	45426	111	98	21	0.363636364	7/5/2012	TestF50-20	M	2	8/27/2012	9/12/2012	9/19/2012	9/24/2012	Aug	Aug	Sep	Sep	53	5	26.2	2	26	0	25.7	4	25.5	0	25.2	6	26.6	5	1770	1639	1152	1150	1142	1063	7916	146.9	121.4	167.8	171.4	135.2	148.1	890.8	0.49	31	25	13	11	11	14	105	198	171	203	281	260	195	1308	213	108	83	97	74	125	700	341	423	415	366	383	229	2157	210	181	164	89	135	64	843	1465	1165	1257	1057	950	883	6777	150.5	120.2	125.5	120.3	99.2	136.2	751.9	0.41772	18	14	15	13	11	13	84	-0.077166667	0	0	0	0	0	0	0	849	76	28.5	108	81	29.1	8.9	NA	n	28.8	69	1	7.012987013	59.32467532	68.72727273	45.02164502	32.54166667	9.5	40
