id	glu.age	glu.weight	glucose	rip.age	rip.weight	tail	wild	brain
26580	78	30.4	137	83	31.8	9	NA	n
26581	78	33	116	83	30.4	8.5	NA	y
26582	75	33.2	93	80	33.7	8.3	NA	n
26583	75	33.4	97	80	35.9	6.6	NA	y
26584	75	32.8	89	80	33.4	0.1	NA	n
26585	75	26.8	60	80	25.7	8	NA	n
26586	77	25.9	86	82	27.5	8	NA	n
26587	77	23.4	123	82	22.3	8.2	NA	n
26588	76	26.2	116	81	25.5	8.7	NA	n
26589	76	28.5	108	81	29.1	8.9	NA	n
26590	77	21.3	76	82	20.9	8.1	NA	n
26591	77	27.6	139	82	27.2	8.5	NA	n
26592	77	30.3	133	82	30.8	8.4	NA	y
26593	77	25.2	92	82	24.1	7.3	NA	n
26594	77	28.5	100	82	29.6	8.2	NA	n
26595	77	25.8	51	82	24.8	8.3	NA	y
45493	77	19.3	77	83	19.7	7	NA	n
45494	77	28.6	109	84	29.7	7.1	NA	y
45496	78	32.5	88	82	32.9	8.9	NA	n
45497	78	24.9	53	82	24.5	8.4	NA	y
45498	79	24	52	83	24	8	NA	n
45499	78	28.8	121	82	29.4	8.5	NA	n
46001	78	25.9	101	82	25.5	8.5	NA	n
46002	78	18.8	58	82	19.1	8.1	NA	n
46004	79	27.1	73	83	28.2	8.7	NA	y
46005	79	21.3	51	83	21.8	7.5	NA	n
46006	79	33.8	117	83	35	8.5.	NA	n
46007	79	34.9	126	83	35.8	8.7	NA	y
46008	78	21	80	82	21.3	8.2	NA	y
46009	78	35	84	82	38.4	8.7	NA	n
46010	78	39.9	128	82	42.6	8.6	NA	n
46011	78	27.8	69	82	28.2	8.7	NA	n
46012	78	33.6	93	82	35.5	9.2	NA	n
46013	78	24.4	92	82	26.2	8.6	NA	y
46014	78	28.1	86	82	29.3	7.6	NA	n
46015	78	33.8	110	82	37.2	9	NA	n
46016	79	39.4	99	83	41.5	8.6	NA	y
46017	79	22.2	87	83	23.3	8	NA	n
46019	79	28.7	104	83	28	7.9	NA	n
46020	79	38.9	82	83	40.5	8.7	NA	n
46023	79	31.8	61	83	33.2	8.8	NA	n
46024	79	28.8	100	83	29.6	8.7	NA	n
46027	77	28.9	126	81	29.1	8.9	NA	y
46126	77	35.4	113	82	38	9.4	NA	n
46127	77	22.5	59	82	22.2	7.7	NA	y
46128	89	42	114	94	43.2	8.7	NA	y
46129	89	31.8	71	94	31.5	8.1	NA	n
46130	77	33.3	96	82	36.7	8.5	NA	y
46131	77	26.2	61	82	26.1	8	NA	n
46132	77	33	87	82	35	9.2	NA	n
46133	77	25.3	96	82	26.3	8.5	NA	n
46134	77	33.2	125	82	34.7	8.9	NA	y
46135	77	25.5	69	82	25.1	8.1	NA	n
46136	77	32.7	120	82	34.8	8.4	NA	n
46137	77	26	59	82	26.1	8.1	NA	n
46138	77	32.6	93	82	34.4	8.8	NA	n
46139	77	21.9	60	82	22.1	8	NA	n
46140	77	31	60	82	33.3	8.2	NA	n
46141	77	23.6	46	82	22.5	7.2	NA	y
46142	77	28.6	92	82	29.3	8.6	NA	y
46143	77	20.4	72	82	22.1	7.7	NA	n
46144	77	28	99	82	29.8	8.2	NA	n
46145	77	23.6	68	82	24	9	NA	y
46146	77	28.2	96	82	30.3	9.3	NA	n
46147	77	17.6	68	82	18.3	8.1	NA	n
46148	77	31.5	92	82	33.5	8.9	NA	n
46149	77	24	69	82	24.6	8.9	NA	n
46150	77	31	75	82	31.9	9.1	NA	n
46151	77	21.8	55	82	21.4	8.4	NA	n
46152	77	32.4	97	82	34.6	8.9	NA	n
46153	77	23.1	97	82	23.8	8.2	NA	y
46154	77	24	68	82	25.4	8.4	NA	y
46155	77	17.5	43	82	18.7	8	NA	n
46156	86	34.8	96	91	35	8.8	NA	n
46157	86	25.1	84	91	25.1	8.3	NA	y
46307	77	19.8	114	84	21.4	7.7	NA	y
46319	70	20.6	69	77	22.4	7.8	NA	y
46320	70	26.3	140	77	30.4	6.1	NA	n
46341	76	19.9	111	81	20	8	NA	y
46345	77	22.8	108	82	22.8	7.2	NA	n
46349	76	17.7	85	81	17.9	7.1	NA	n
46353	76	25.8	104	81	25.5	8.4	NA	n
46356	76	41	124	81	43.1	9.2	NA	n
46357	76	18.6	67	81	20.2	7.8	NA	y
46360	76	29.7	119	81	31.5	9.1	NA	n
46361	76	25.9	98	81	27.5	8	NA	n
46364	75	33	182	80	34.1	9.5	NA	n
46365	75	19.7	83	80	19.7	8.2	NA	n
46368	76	30	63	81	32.2	8.6	NA	y
46369	76	25.8	120	81	26.6	7.8	NA	n
46372	75	35.1	130	80	36.8	6.3	NA	y
46386	76	30.8	121	81	31.9	8.5	NA	n
46388	77	28.2	79	84	30.2	8.4	NA	n
46392	75	40.8	125	82	41.3	7.8	NA	n
46397	77	21.3	69	84	22.2	8	NA	n
46429	82	27.8	121	88	28.9	8.5	NA	y
46430	82	40	116	88	43.1	9.3	NA	n
46433	78	21.7	98	84	22	8.3	NA	n
46434	78	26	93	84	26.8	8.1	NA	y
46437	78	22.6	66	84	23.5	7.6	NA	n
46438	78	31.6	109	84	32.9	8.7	NA	n
46442	78	29.5	105	84	31.6	8.5	NA	n
46446	78	30.4	130	84	31.8	8.3	NA	n
46447	78	24.2	117	84	24.3	7.5	NA	n
46450	77	32.5	164	83	34.4	8.5	NA	n
46451	77	23.8	121	83	23.7	8.4	NA	y
46454	78	38.7	141	84	40.6	8.4	NA	y
46455	78	26	91	84	27.6	8.3	NA	n
46457	78	19.3	79	84	19.4	6.8	NA	n
46458	78	29.2	100	84	29.5	8.7	NA	n
46461	78	21.9	73	84	22.3	7.2	NA	y
46462	78	33.9	120	84	35.3	8.6	NA	n
46465	78	20	46	84	22	7.5	NA	n
46466	77	31.7	115	84	31.7	8.5	NA	n
46469	77	22.6	74	83	25	8	NA	n
46470	77	28	111	83	28.2	8.5	NA	n
46473	77	19.8	86	83	20.1	7.6	NA	n
46474	78	28.8	107	83	30.9	8.7	NA	y
46478	75	34.5	183	82	36.9	8.5	NA	n
46479	75	24.8	109	81	28.6	7.7	NA	y
46482	74	30.1	136	81	32.1	8.5	NA	y
46483	74	22.6	79	80	23.2	7.5	NA	n
46486	75	26.9	153	82	28.7	8.7	NA	n
46487	75	17.9	77	81	19.4	7.4	NA	n
46490	75	26.6	54	82	29.8	7.8	NA	n
46491	75	24	87	82	25.5	7.3	NA	n
46497	77	22.8	101	84	23.5	7.8	NA	n
46498	77	26.7	106	84	27.4	7.3	NA	n
46640	73	35.7	164	80	39.1	7.5	NA	n
46641	73	26.6	139	80	28.5	8.1	NA	n
46644	72	28.6	154	79	30.2	8.6	NA	y
46645	72	20.5	99	79	21.3	8.2	NA	n
46672	66	27.3	99	73	28.9	8.4	NA	y
46675	66	20.5	109	73	20.7	7.3	NA	n
46695	78	22.6	134	87	21.5	7.8	0	n
48290	68	19.4	59	79	20.4	7.5	NA	n
48304	78	29	157	87	30.1	8.4	0	y
48305	78	23.7	111	87	23.2	8.5	0	y
48306	78	35.4	177	87	35.3	8.7	0	n
48311	76	26.4	122	85	28	8.8	0	y
48313	76	22	100	85	22.5	7.6	0	n
48314	76	28.5	133	85	29.5	9.1	0	n
48316	76	36.3	163	85	37.7	8	1	y
48325	76	20.7	47	86	22.6	7.7	0	y
48326	78	30.9	147	88	33.9	8.7	0	y
48328	76	28.1	107	86	30.5	8.6	0	n
48331	78	24.2	101	88	24.5	7.8	0	n
48332	76	30.4	95	86	36.3	8.7	0	n
48337	76	26.2	116	86	27.1	8.6	0	n
48342	77	34.3	119	87	34.8	8.1	0	n
48344	74	27.8	92	83	29.6	8.1	0	n
48345	74	21.5	75	83	23.6	7.9	0	y
48347	75	21.4	76	84	22.4	8	2	n
48348	75	27	81	84	28.7	8.1	0	y
48352	75	28.9	73	84	31.2	8.9	0	n
48353	75	18.9	55	84	21.2	8.2	0	n
48355	72	21	75	81	22.4	7.9	0	n
48358	72	28.9	94	81	30.5	8.2	1	n
48361	76	21.7	120	85	23.2	8.4	0	n
48362	76	28.6	145	85	28.9	8.7	0	y
48365	76	22.6	82	85	24.3	7.8	2	n
48366	76	29.8	131	85	30.4	8.9	0	n
48369	75	18.8	92	84	19.7	7.8	0	y
48370	75	27.6	157	84	30	7.9	0	n
48373	77	20	92	86	20.8	8	0	n
48374	77	24	101	86	25.1	8.1	0	n
48377	74	24.1	105	83	24.6	7.9	0	n
48379	76	25.2	54	85	26.8	8.3	0	n
48381	76	21.1	115	85	21.4	8.1	1	n
48382	74	31	149	84	33.7	8.2	0	n
48383	76	21	68	85	22.5	8.2	0	y
48384	76	26.2	107	86	30.4	8.8	0	n
48387	72	17.9	72	82	18.4	8.3	0	n
48390	76	24.7	83	86	28.9	8.7	0	y
48391	76	26	93	86	25.6	8	0	n
48394	76	29.2	132	86	32.2	8.9	0	n
48395	75	20.8	60	85	25.3	7.4	0	y
48398	72	21.2	46	82	23	8.4	0	y
48399	76	22.2	109	86	23.1	7.1	0	n
48402	76	29.3	120	86	30.9	8	0	n
48406	75	29.9	123	85	30.1	8	0	n
48408	76	22.4	57	86	23.4	8	0	n
48409	74	21	63	84	23.2	7.6	0	n
48411	78	23.4	93	88	26.7	8	0	y
48412	74	26.4	134	84	29.9	8.1	0	y
48416	78	33.8	98	88	37.4	8.5	0	n
48417	72	22	107	82	23.6	8.1	0	n
48420	75	29.4	137	85	31.8	8.2	0	n
48423	68	21.2	112	78	22.5	8.1	0	n
48425	66	24.2	100	76	25	7.5	0	y
48426	68	29.6	127	78	30.1	8.5	0	y
48432	66	24.9	121	76	25.8	7.6	0	n
48436	76	26.9	87	83	29.4	8.2	0	n
48439	76	19.2	80	83	21.3	7.7	2	n
48441	76	24	68	83	23.8	8.5	3	y
48443	76	21.1	100	83	21.9	8.3	1	n
48444	76	22.9	100	83	22	7.3	5	n
48445	76	15.9	74	83	18.8	7.6	0	n
48447	76	19.6	62	83	21.3	7.4	2	y
48449	76	22.1	60	83	23.3	7.6	0	n
48452	76	29.5	137	83	31.3	8.2	0	n
48456	76	33.7	110	83	38.5	9.1	0	y
48464	76	38.3	113	83	42.1	9.1	0	y
48468	75	31.5	110	82	35.5	8.3	0	n
48472	75	25.7	115	82	30.7	8	0	n
48473	75	20.9	87	82	22.6	8.3	0	n
48475	75	21.4	70	82	24.4	8.4	0	n
48477	74	21.7	72	81	23.8	8.1	0	y
48478	75	19.7	45	82	22.5	8.1	0	n
48479	75	21.3	67	82	22.4	8.2	0	n
48482	75	30.7	82	82	33.6	7.5	3	y
48486	75	28	83	82	33	8.5	0	n
48489	76	23.3	59	84	24.9	8.4	0	n
48490	75	31.5	124	82	34.7	8.8	0	n
48494	74	30.8	80	81	34.3	8.3	0	n
48495	75	19.6	45	83	23.1	8	0	y
48496	75	28.8	118	82	30.7	8.6	0	y
49003	74	19.6	77	82	20.9	7.1	0	n
49004	76	29	115	83	32.9	8.1	0	n
49007	74	28.3	89	82	31.1	7.7	0	n
49008	75	32.7	86	82	37.8	8.2	0	n
49011	74	28	83	82	30.2	8.1	0	n
49012	74	25.1	111	81	27.4	8.2	0	n
49015	74	20.2	75	82	24.4	8.5	0	y
49016	74	30.8	137	82	33.8	7.9	0	y
49019	74	23	90	82	24.4	7.8	0	n
49020	74	33.6	74	82	36.6	8.7	0	n
49024	74	28	73	82	31	9	0	n
49025	73	20.8	93	81	22.5	8.4	0	y
49026	74	26.7	112	82	29.7	8	0	n
49027	73	21.4	112	81	25	8.9	4	n
49028	73	34.4	90	81	38.6	8.9	0	n
49031	73	23.1	122	81	25.7	8	0	n
49032	73	30.8	114	81	33.7	8.6	0	y
49035	73	20	101	81	22.3	8.3	0	n
49036	73	35.5	128	81	41.6	8.6	0	n
49040	73	28	109	81	33.8	9.1	0	n
49041	73	19.3	116	81	20.8	7.7	0	n
49045	73	28	105	81	31.6	8.1	0	y
49048	73	27.7	136	81	29.2	8.1	0	y
49052	73	25.4	66	81	30.1	8.2	0	n
49055	77	39.8	112	85	43.2	7.6	0	n
49056	77	33	91	85	38	8.1	0	n
49210	72	28.1	106	82	29.6	8	NA	y
49211	72	20.4	110	82	21.6	7.4	NA	n
49213	71	22.1	81	81	23.5	7.9	NA	n
49214	71	23.5	75	81	25.3	7.4	NA	n
49217	71	21.7	77	81	23.1	8.3	NA	y
49218	71	28.7	116	81	30.3	7.8	NA	n
49221	71	20.8	78	81	21.4	7.8	NA	n
49222	71	26.7	113	81	28.6	7.8	NA	n
49226	72	27.6	125	82	30.7	8.2	NA	y
49229	72	21.5	63	82	21.7	7.7	NA	n
49230	72	21.9	63	82	27.3	7.9	NA	n
49231	72	26.1	89	82	26.7	7.6	NA	y
49233	71	22.2	59	81	23.2	7.3	NA	n
49234	71	25.6	91	81	29.1	7.4	NA	n
49237	70	26.2	85	80	26	7.5	NA	n
49238	70	28.5	95	80	31	8.5	NA	n
49240	71	25.9	86	81	25.7	8.3	NA	y
49243	71	19.2	75	81	20	8.3	NA	n
49245	70	22.7	93	80	24.6	8.1	NA	y
49246	70	25.4	73	80	28	8.5	NA	n
49249	70	23.8	65	80	25.1	7.5	NA	n
49251	71	20.8	75	81	22.1	8	NA	n
49254	71	24.8	130	81	27.1	8.2	NA	n
49255	71	25	109	82	25.8	7.5	NA	n
49258	71	23.2	125	81	26.8	7.8	NA	n
49259	70	21.3	84	81	22	7.8	NA	n
49262	70	24.2	102	80	26.4	7.7	NA	y
49263	70	21.5	87	81	21.3	7.4	NA	n
49266	70	23.6	111	80	25.4	7.6	NA	n
49267	71	24.4	135	82	25.4	7.1	NA	y
49270	71	28.8	84	81	32.2	8.4	NA	n
49274	71	31.6	184	82	34.6	8.2	NA	y
49278	70	28.3	164	81	31.1	7.9	NA	n
49282	70	30	142	81	30.9	8.1	NA	n
49286	69	27.2	133	80	29.5	8.5	NA	y
49287	69	18.9	110	80	19.4	7.8	NA	n
49289	68	20.9	87	79	21.5	7.9	NA	n
