id	ppi.weight	ppi.age
26580	30.3	71
26581	32.4	71
26582	33.0	68
26583	32.3	68
26584	32.4	68
26585	26.0	68
26586	26.1	70
26587	22.8	70
26588	25.5	69
26589	28.8	69
26590	22.3	70
26591	27.7	70
26592	30.4	70
26593	22.9	70
26594	28.4	70
26595	26.2	70
45493	19.3	71
45494	28.6	71
45496	30.0	64
45497	25.6	64
45498	24.3	65
45499	26.6	64
46001	25.1	64
46002	19.8	64
46003	27.2	64
46004	27.6	65
46005	21.0	65
46006	31.2	65
46007	33.3	65
46008	19.5	64
46009	33.0	64
46010	36.0	64
46011	26.8	64
46012	30.7	64
46013	22.1	64
46014	26.5	64
46015	31.3	64
46016	36.4	65
46017	22.9	65
46019	28.4	65
46020	34.8	65
46023	28.8	65
46024	27.5	65
46027	27.5	63
46126	30.5	63
46127	19.4	63
46128	42.3	82
46129	31.2	82
46130	30.2	63
46131	24.7	63
46132	31.5	63
46133	23.8	63
46134	31.0	63
46135	23.5	63
46136	29.3	63
46137	24.5	63
46138	29.6	63
46139	21.7	63
46140	26.9	63
46141	19.5	63
46142	28.7	63
46143	19.6	63
46144	26.3	63
46145	23.0	63
46146	25.6	63
46147	17.3	63
46148	27.4	63
46149	21.9	63
46150	28.0	63
46151	21.1	63
46152	29.6	63
46153	22.4	63
46154	22.8	63
46155	16.9	63
46156	34.0	79
46157	25.9	79
46307	19.8	71
46319	20.6	64
46320	26.3	64
46341	19.6	69
46345	22.5	70
46349	18.4	69
46353	25.6	69
46356	40.0	69
46357	19.6	69
46360	27.9	69
46361	26.0	69
46364	32.2	68
46365	20.5	68
46368	29.7	69
46369	25.5	69
46372	34.6	68
46386	30.1	69
46388	28.2	71
46389	20.5	71
46392	40.8	69
46393	27.0	69
46397	21.3	71
46429	27.8	76
46430	40.0	76
46433	21.7	72
46434	26.0	72
46437	22.6	72
46438	31.6	72
46442	29.5	72
46445	20.5	66
46446	30.4	72
46447	24.2	72
46450	32.5	71
46451	23.8	71
46454	38.7	72
46455	26.0	72
46457	19.3	72
46458	29.2	72
46461	21.9	72
46462	33.9	72
46465	20.0	72
46466	28.8	71
46469	22.6	71
46470	28.0	71
46473	19.8	71
46474	31.7	72
46478	34.5	69
46479	24.8	69
46482	30.1	68
46483	22.6	68
46486	26.9	69
46487	17.9	69
46490	26.6	69
46491	24.0	69
46497	22.8	71
46498	26.7	71
46640	35.7	67
46641	26.6	67
46644	28.6	66
46645	20.5	66
46672	27.3	60
46675	20.5	60
46695	23.0	71
48290	20.6	61
48304	29.1	71
48305	23.7	71
48306	35.3	71
48311	26.0	69
48313	22.8	69
48314	28.9	69
48316	36.6	69
48325	21.8	69
48326	29.9	71
48328	28.3	69
48331	22.9	71
48332	30.8	69
48337	25.5	69
48342	34.0	70
48344	28.1	67
48345	24.2	67
48347	21.6	68
48348	26.6	68
48352	31.1	68
48353	20.7	68
48355	21.2	65
48358	28.8	65
48361	22.0	69
48362	29.0	69
48365	23.0	69
48366	29.3	69
48369	18.3	68
48370	27.0	68
48373	20.7	70
48374	24.1	70
48377	22.9	67
48379	23.9	69
48381	20.4	69
48382	30.2	67
48383	21.0	69
48384	27.5	69
48387	18.3	65
48390	26.1	69
48391	25.2	69
48394	28.6	69
48395	21.6	68
48398	21.7	65
48399	21.1	69
48402	29.2	69
48406	30.4	68
48408	23.6	69
48409	21.3	67
48411	22.2	71
48412	26.9	67
48416	31.5	71
48417	21.2	65
48420	29.2	68
48423	22.2	61
48425	23.0	59
48426	28.3	61
48432	24.9	59
48436	25.9	69
48439	18.6	69
48441	24.6	69
48443	21.1	69
48444	22.4	69
48445	15.6	69
48447	19.9	69
48449	21.8	69
48452	28.6	69
48456	31.6	69
48464	37.6	69
48468	31.2	68
48472	24.7	68
48473	20.4	68
48475	21.5	68
48477	21.7	67
48478	20.0	68
48479	21.3	68
48482	30.1	68
48486	29.1	68
48489	23.9	69
48490	30.4	68
48494	30.5	67
48495	19.9	68
48496	28.7	68
49003	18.3	67
49004	27.9	69
49007	26.9	67
49008	30.9	68
49011	27.2	67
49012	24.1	67
49015	21.5	67
49016	30.7	67
49019	23.2	67
49020	32.8	67
49024	27.4	67
49025	20.8	66
49026	25.9	67
49027	21.3	66
49028	33.8	66
49031	23.2	66
49032	30.1	66
49035	19.4	66
49036	34.7	66
49040	28.0	66
49041	19.7	66
49045	27.1	66
49048	26.7	66
49052	25.4	66
49055	37.4	70
49056	32.3	70
49210	27.4	65
49211	21.6	65
49213	23.2	64
49214	24.2	64
49217	21.8	64
49218	27.1	64
49221	20.4	64
49222	27.0	64
49226	27.2	65
49229	20.3	65
49230	22.2	65
49231	25.5	65
49233	21.8	64
49234	24.9	64
49237	26.6	63
49238	28.1	63
49240	26.3	64
49243	18.4	64
49245	21.6	63
49246	26.6	63
49249	23.9	63
49251	20.3	64
49254	24.6	64
49255	24.0	64
49258	23.3	64
49259	21.5	63
49262	24.9	63
49263	21.4	63
49266	22.7	63
49267	23.6	64
49270	27.8	64
49274	30.8	64
49278	26.9	63
49282	29.3	63
49286	27.1	62
49287	17.7	62
49289	20.0	61
49293	22.5	61
49294	27.0	61
49297	20.9	62
49298	29.2	62
49383	19.6	63
49401	21.7	62
49404	32.4	62
49405	20.5	62
49408	34.8	62
49409	20.6	59
49414	25.2	75
49416	25.7	59
49417	20.7	75
49424	32.6	83
49426	19.9	66
49427	24.4	64
49430	36.9	64
49431	20.1	64
49432	28.6	64
49435	19.6	64
49436	25.0	64
49439	22.8	64
49440	31.6	64
49447	27.7	64
49448	33.3	64
49451	26.5	64
49452	37.4	64
49453	25.7	64
49456	26.4	64
49461	21.9	63
49462	35.5	63
49466	30.3	63
49467	18.2	63
49470	30.4	62
49471	21.1	62
49472	23.2	63
49475	19.4	63
49476	29.7	63
49479	19.7	63
49482	30.9	62
49485	20.6	62
49486	28.5	62
49487	21.9	62
49490	18.5	62
49494	30.0	62
49497	16.5	62
49498	26.1	64
49499	20.2	62
50076	26.8	67
50078	25.0	66
50085	20.0	66
50086	31.9	66
50092	25.7	67
50094	26.1	60
50095	23.7	67
50099	20.9	60
50100	30.9	63
50102	26.7	64
50103	19.6	64
50106	24.5	63
50107	21.5	64
50112	21.5	63
50114	22.9	62
50115	17.9	63
50118	29.1	64
50119	15.0	62
50121	23.6	64
50125	17.3	63
50129	25.1	64
50131	17.7	63
50132	29.2	64
50134	24.2	63
50137	22.2	63
50140	29.6	63
50143	23.2	62
50146	33.8	62
50147	26.3	54
50148	32.9	54
50150	33.7	68
50151	33.8	68
50152	32.4	68
50153	23.2	68
50156	39.3	68
50158	27.9	68
50159	19.5	68
50163	20.3	68
50164	28.2	68
50168	24.4	68
50172	31.7	67
50182	25.4	67
50185	22.4	67
50186	30.2	67
50189	25.4	65
50190	34.1	67
50191	24.3	67
50194	28.4	67
50195	18.4	67
50198	21.5	67
50201	20.8	66
50202	27.0	66
50205	21.2	66
50206	24.5	66
50210	22.1	66
50211	19.7	67
50216	27.0	67
50217	19.4	67
50220	29.1	66
50223	20.7	66
50225	17.1	66
50226	23.7	66
50230	26.6	66
50234	22.0	66
50235	18.6	66
50237	21.0	67
50238	19.9	66
50241	21.0	66
50242	32.2	66
50245	26.7	67
50248	28.7	66
50252	29.3	67
50253	19.5	66
50255	20.1	67
50258	26.0	66
50259	21.0	66
50262	24.8	65
50265	19.9	65
50266	28.4	63
50269	27.3	63
50279	20.8	53
50282	29.1	71
50286	33.2	71
50288	35.2	70
