id	tail
45497	8.4
45498	8.0
46001	8.5
46002	8.1
45496	8.9
45499	8.5
46004	8.7
46005	7.5
46006	8.5.
46008	8.2
46011	8.7
46007	8.7
46009	8.7
46010	8.6
46012	9.2
46013	8.6
46014	7.6
46017	8.0
46019	7.9
46015	9.0
46016	8.6
46020	8.7
46023	8.8
46024	8.7
46027	8.9
46127	7.7
46131	8.0
46133	8.5
46126	9.4
46130	8.5
46132	9.2
46135	8.1
46137	8.1
46139	8.0
46141	7.2
46134	8.9
46136	8.4
46138	8.8
46140	8.2
46143	7.7
46145	9.0
46147	8.1
46149	8.9
46142	8.6
46144	8.2
46146	9.3
46148	8.9
46151	8.4
46153	8.2
46155	8.0
46150	9.1
46152	8.9
46154	8.4
26581	8.5
26582	8.3
26587	8.2
26588	8.7
26580	9.0
26583	6.6
26584	0.1
26586	8.0
26585	8.0
26590	8.1
26593	7.3
26595	8.3
26589	8.9
26591	8.5
26592	8.4
26594	8.2
46341	8.0
46345	7.2
46349	7.1
46353	8.4
46357	7.8
46361	8.0
46365	8.2
46369	7.8
46356	9.2
46360	9.1
46364	9.5
46368	8.6
46372	6.3
46386	8.5
46129	8.1
46157	8.3
46128	8.7
46156	8.8
46429	8.5
46433	8.3
46437	7.6
46430	9.3
46434	8.1
46438	8.7
46442	8.5
46447	7.5
46451	8.4
46455	8.3
46457	6.8
46446	8.3
46450	8.5
46454	8.4
46458	8.7
46461	7.2
46465	7.5
46469	8.0
46473	7.6
46462	8.6
46466	8.5
46470	8.5
46474	8.7
46479	7.7
46483	7.5
46487	7.4
45493	7.0
46478	8.5
46482	8.5
46486	8.7
46490	7.8
46491	7.3
46497	7.8
45494	7.1
46498	7.3
46388	8.4
46392	7.8
46397	8.0
46307	7.7
46675	7.3
46319	7.8
46641	8.1
46645	8.2
46320	6.1
46640	7.5
46644	8.6
46672	8.4
46695	7.8
48305	8.5
48304	8.4
48306	8.7
48311	8.8
48313	7.6
48314	9.1
48316	8.0
48345	7.9
48347	8.0
48353	8.2
48355	7.9
48344	8.1
48348	8.1
48352	8.9
48358	8.2
48361	8.4
48365	7.8
48369	7.8
48373	8.0
48362	8.7
48366	8.9
48370	7.9
48374	8.1
48377	7.9
48379	8.3
48381	8.1
48383	8.2
48382	8.2
48384	8.8
48390	8.7
48394	8.9
48387	8.3
48391	8.0
48395	7.4
48399	7.1
48398	8.4
48402	8.0
48406	8.0
48408	8.0
48409	7.6
48411	8.0
48417	8.1
48326	8.7
48328	8.6
48332	8.7
48342	8.1
48325	7.7
48331	7.8
48337	8.6
48412	8.1
48416	8.5
48420	8.2
48423	8.1
48425	7.5
48426	8.5
48432	7.6
48439	7.7
48441	8.5
48443	8.3
48445	7.6
48436	8.2
48444	7.3
48452	8.2
48456	9.1
48447	7.4
48449	7.6
48468	8.3
48464	9.1
48472	8.0
48478	8.1
48482	7.5
48486	8.5
48490	8.8
48494	8.3
48473	8.3
48475	8.4
48477	8.1
48479	8.2
48496	8.6
49004	8.1
49008	8.2
49012	8.2
48489	8.4
48495	8.0
49003	7.1
49007	7.7
49016	7.9
49020	8.7
49024	9.0
49026	8.0
49011	8.1
49015	8.5
49019	7.8
49028	8.9
49032	8.6
49036	8.6
49040	9.1
49025	8.4
49027	8.9
49031	8.0
49035	8.3
49048	8.1
49052	8.2
49056	8.1
49041	7.7
49045	8.1
49055	7.6
49210	8.0
49214	7.4
49218	7.8
49222	7.8
49211	7.4
49213	7.9
49217	8.3
49221	7.8
49226	8.2
49230	7.9
49234	7.4
49238	8.5
49229	7.7
49231	7.6
49233	7.3
49237	7.5
49240	8.3
49246	8.5
49254	8.2
49243	8.3
49245	8.1
49249	7.5
49251	8.0
49258	7.8
49262	7.7
49266	7.6
49270	8.4
49255	7.5
49259	7.8
49263	7.4
49267	7.1
49274	8.2
49278	7.9
49282	8.1
49286	8.5
48290	7.5
49294	8.3
49298	8.5
49287	7.8
49289	7.9
49293	7.7
49297	8.0
49404	9.3
49408	8.7
49416	8.2
49401	8.4
49405	7.6
49409	7.5
49414	8.5
49424	8.7
49417	8.4
49426	7.9
49448	8.9
49452	8.9
49456	8.5
49447	8.1
49451	8.2
49453	7.9
49427	8.0
49431	7.1
49435	7.7
49439	8.0
49430	8.5
49432	8.3
49436	8.2
49440	9.1
49461	7.5
49467	7.5
49471	8.4
49475	7.1
49462	8.5
49466	8.5
49470	8.5
49472	7.4
49479	7.8
49485	7.9
49487	7.7
49497	7.5
49476	8.6
49482	8.5
49486	8.0
49490	7.7
49499	7.5
50103	7.6
50107	7.4
50115	8.0
49494	8.4
49498	8.1
50102	7.8
50106	8.4
50119	7.3
50121	7.6
50125	7.2
50147	7.5
50114	8.1
50118	8.0
50122	8.1
50132	8.1
50129	8.1
50131	7.6
50137	7.8
50143	7.0
50134	8.0
50140	7.6
50146	8.3
50148	8.3
50151	7.5
50153	7.8
50159	7.2
50163	7.5
50150	8.3
50152	8.6
50156	8.0
50158	8.2
50164	7.4
50168	7.5
50172	8.2
50182	8.1
50185	8.5
50189	8.5
50191	8.1
50195	7.8
50186	9.5
50190	8.5
50194	8.3
50198	7.5
50201	7.7
50205	7.9
50211	7.6
50217	7.5
50202	8.1
50206	7.7
50210	8.6
50216	8.5
50223	7.0
50225	7.5
50220	8.2
50226	8.0
50230	8.5
50235	7.6
50237	8.2
50241	7.7
50245	8.4
50234	7.9
50238	8.5
50242	7.7
50248	8.0
50253	7.3
50255	7.8
50259	7.9
50252	8.5
50258	8.5
50262	8.4
50266	8.1
50265	NA
50269	8.1
50279	7.8
50282	8.6
50286	8.0
50288	7.7
50293	7.4
50299	7.9
50303	7.7
50296	8.5
50300	8.2
50304	7.6
50310	7.7
50311	7.1
50315	7.8
