id,gen,cage,fam,dam,sire,sex,ppi.weight,ppi.age,
26580,50,Test F50-18,BrF49-36,45482,45342,M,30.3,71,
26581,50,Test F50-17,BrF49-36,45482,45342,F,32.4,71,
26582,50,Test F50-17,BrF49-37,45484,45352,F,33,68,
26583,50,Test F50-18,BrF49-37,45484,45352,M,32.3,68,
26584,50,Test F50-18,BrF49-38,45485,45355,M,32.4,68,
26585,50,Test F50-19,BrF49-38,45485,45355,F,26,68,
26586,50,Test F50-18,BrF49-39,45359,45357,M,26.1,70,
26587,50,Test F50-17,BrF49-39,45359,45357,F,22.8,70,
26588,50,Test F50-17,BrF49-41,45353,45426,F,25.5,69,
26589,50,Test F50-20,BrF49-41,45353,45426,M,28.8,69,
26590,50,Test F50-19,BrF49-44,45382,45479,F,22.3,70,
26591,50,Test F50-20,BrF49-44,45382,45479,M,27.7,70,
26592,50,Test F50-20,BrF49-46,45457,45438,M,30.4,70,
26593,50,Test F50-19,BrF49-46,45457,45438,F,22.9,70,
26594,50,Test F50-20,BrF49-55,45393,45425,M,28.4,70,
26595,50,Test F50-19,BrF49-55,45393,45425,F,26.2,70,
45493,50,Test F50-33,BrF49-82,45467,45471,F,19.3,71,
45494,50,Test F50-36,BrF49-82,45467,45471,M,28.6,71,
45496,50,Test F50-02,BrF49-01,45301,45371,M,30,64,
45497,50,Test F50-01,BrF49-01,45301,45371,F,25.6,64,
45498,50,Test F50-01,BrF49-03,45305,45381,F,24.3,65,
45499,50,Test F50-02,BrF49-04,45307,45452,M,26.6,64,
46001,50,Test F50-01,BrF49-04,45307,45452,F,25.1,64,
46002,50,Test F50-01,BrF49-06,45313,45432,F,19.8,64,
46003,50,Test-F50-02,BrF49-06,45313,45432,M,27.2,64,
46004,50,Test F50-02,BrF49-07,45316,45441,M,27.6,65,
46005,50,Test F50-03,BrF49-07,45316,45441,F,21,65,
46006,50,Test F50-03,BrF49-09,45323,45465,F,31.2,65,
46007,50,Test F50-04,BrF49-09,45323,45465,M,33.3,65,
46008,50,Test F50-03,BrF49-21,45466,45312,F,19.5,64,
46009,50,Test F50-04,BrF49-21,45466,45312,M,33,64,
46010,50,Test F50-04,BrF49-13,45325,45324,M,36,64,
46011,50,Test F50-03,BrF49-13,45325,45324,F,26.8,64,
46012,50,Test F50-04,BrF49-14,45328,45320,M,30.7,64,
46013,50,Test F50-05,BrF49-14,45328,45320,F,22.1,64,
46014,50,Test F50-05,BrF49-18,45340,45380,F,26.5,64,
46015,50,Test F50-06,BrF49-18,45340,45380,M,31.3,64,
46016,50,Test F50-06,BrF49-22,45385,45314,M,36.4,65,
46017,50,Test F50-05,BrF49-22,45385,45314,F,22.9,65,
46019,50,Test F50-05,BrF49-23,45434,45315,F,28.4,65,
46020,50,Test F50-06,BrF49-23,45434,45315,M,34.8,65,
46023,50,Test F50-06,BrF49-24,45383,45318,M,28.8,65,
46024,50,Test F50-07,BrF49-24,45392,45446,M,27.5,65,
46027,50,Test F50-07,BrF49-31,45397,45364,M,27.5,63,
46126,50,Test F50-10,BrF49-26,45389,45384,M,30.5,63,
46127,50,Test F50-09,BrF49-26,45389,45384,F,19.4,63,
46128,50,Test F50-42,BrF49-08,45322,45303,M,42.3,82,
46129,50,Test F50-41,BrF49-08,45322,45303,F,31.2,82,
