Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,,,,,,,,,,,,,,,,,,,,
21598,T,F,F14,6/29/1999,Tu,20148,20175,20175,C1,,,10/14/1999,21643,,,C2,,,,,,,,,,,,,,,,,,,,
21601,B,F,F14,6/29/1999,Tu,20148,20175,20175,C1,,,10/14/1999,21791,,,C19,,,,,,,,,,,,,,,,,,,,
21602,B,M,F14,6/29/1999,Tu,20268,20303,20303,C12,,,10/14/1999,21738,,,C3,,,,,,,,,,,,,,,,,,,,
21608,B,F,F14,6/29/1999,Tu,20268,20303,20303,C12,,,10/14/1999,21727,,,C9,,,,,,,,,,,,,,,,,,,,
21609,B,F,F14,6/29/1999,Tu,20268,20303,20303,C12,,,10/14/1999,21745,,,C12,,,,,,,,,,,,,,,,,,,,
21614,W,M,F14,6/29/1999,Tu,20183,20236,20236,C13,,,10/14/1999,21697,,,C5,,,,,,,,,,,,,,,,,,,,
21615,B,F,F14,6/29/1999,Tu,20284,20213,20213,C15,,,10/14/1999,21732,,,C10,,,,,,,,,,,,,,,,,,,,
21616,B,F,F14,6/29/1999,Tu,20284,20213,20213,C15,,,,23011,,,C68,,,,,,,,,,,,,,,,,,,,
21622,W,M,F14,6/29/1999,Tu,20284,20213,20213,C15,,,10/14/1999,21672,,,C1,,,,,,,,,,,,,,,,,,,,
21623,W,M,F14,6/29/1999,Tu,20375,20224,20224,C26,,,10/14/1999,22112,,,C31,,,,,,,,,,,,,,,,,,,,
21631,W,F,F14,6/29/1999,Tu,20375,20224,20224,C26,,,10/14/1999,21693,,,C7,,,,,,,,,,,,,,,,,,,,
21632,W,F,F14,6/29/1999,Tu,20375,20224,20224,C26,,,10/14/1999,21735,,,C11,,,,,,,,,,,,,,,,,,,,
21643,W,M,F14,6/30/1999,W,20243,20202,20202,C11,,,10/14/1999,21598,,,C2,,,,,,,,,,,,,,,,,,,,
21645,W,F,F14,6/30/1999,W,20243,20202,20202,C11,,,10/14/1999,21771,,,C16,,,,,,,,,,,,,,,,,,,,
21649,T,M,F14,6/30/1999,W,20296,20277,20277,C16,,,10/14/1999,21764,,,C6,,,,,,,,,,,,,,,,,,,,
21650,T,F,F14,6/30/1999,W,20296,20277,20277,C16,,,10/14/1999,21804,,,C20,,,,,,,,,,,,,,,,,,,,
21654,B,F,F14,6/30/1999,W,20296,20277,20277,C16,,,10/14/1999,21756,,,C14/12,,,,,,,,,,,,,,,,,,,,
21659,W,F,F14,6/30/1999,W,20314,20154,20154,C18,,,10/14/1999,21714,,,C8,,,,,,,,,,,,,,,,,,,,
21663,T,M,F14,6/30/1999,W,20314,20154,20154,C18,,,10/14/1999,21799,,,C17,,,,,,,,,,,,,,,,,,,,
21664,T,F,F14,6/30/1999,W,20314,20154,20154,C18,,,10/14/1999,22280,,,C43,,,,,,,,,,,,,,,,,,,,
21672,B,F,F14,6/30/1999,W,20411,20424,20424,C29,,,10/14/1999,21622,,,C1,,,,,,,,,,,,,,,,,,,,
