Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,
32601,B,M,F19,3/3/2001,Sa,30972,30902,30902,C22,,,,32728,,3/24/2001,C5,
32607,B,F,F19,3/3/2001,Sa,30972,30902,30902,C22,,,,32983,,3/24/2001,C22,
32613,B,M,F19,3/3/2001,Sa,31017,30725,30725,C26,,,,32662,,3/24/2001,C1,
32618,B,F,F19,3/3/2001,Sa,30799,31052,31052,C29,,,,32923,,3/24/2001,C16,
32619,B,M,F19,3/3/2001,Sa,30799,31052,31052,C29,,,,33515,,3/24/2001,C72,
32623,B,F,F19,3/3/2001,Sa,30814,31163,31163,C39,,,,32847,,3/24/2001,C10,
32624,T,M,F19,3/3/2001,Sa,30814,31163,31163,C39,,,,32644,,3/24/2001,C2,
32630,B,M,F19,3/3/2001,Sa,31500,31321,31321,C76,,,,32784,,3/24/2001,C26,
32631,B,F,F19,3/3/2001,Sa,31500,31321,31321,C76,,,,32631,,3/24/2001,C17,
32644,W,F,F19,3/4/2001,Su,31262,31032,31032,C53,,,,32624,,3/25/2001,C2,
32652,W,M,F19,3/4/2001,Su,31276,31198,31198,C56,,,,32804,,3/25/2001,C21,
32656,W,F,F19,3/4/2001,Su,31276,31198,31198,C56,,,,33402,,3/25/2001,C59,
32661,B,M,F19,3/4/2001,Su,31433,30881,30881,C74,,,,32848,,3/25/2001,C25,
32662,B,F,F19,3/4/2001,Su,31433,30881,30881,C74,,,,32613,,3/25/2001,C1,
32672,B,F,F19,3/5/2001,M,30761,30668,30668,C2,,,,33288,,3/26/2001,C50,
32673,B,M,F19,3/5/2001,M,30761,30668,30668,C2,,,,33423,,3/26/2001,C61,
32680,W,M,F19,3/5/2001,M,30844,30749,30749,C13,,,,32992,,3/26/2001,C8,
32697,W,M,F19,3/5/2001,M,30877,30674,30674,C14,,,,32721,,3/26/2001,C4,
32702,T,M,F19,3/5/2001,M,30890,30825,30825,C15,,,,33208,,3/26/2001,C45,
32704,T,F,F19,3/5/2001,M,30890,30825,30825,C15,,,,33138,,3/26/2001,C80,
32710,W,M,F19,3/5/2001,M,30904,30699,30699,C16,,,,33241,,3/26/2001,C48,
32720,B,M,F19,3/5/2001,M,30733,30980,30980,C18,,,,32890,,3/26/2001,C29,
32721,B,F,F19,3/5/2001,M,30733,30980,30980,C18,,,,32697,,3/26/2001,C4,
32726,W,M,F19,3/5/2001,M,30733,30980,30980,C18,,,,33395,,3/26/2001,C56,
32728,T,F,F19,3/5/2001,M,31213,30837,30837,C50,,,,32601,,3/26/2001,C5,
32729,T,M,F19,3/5/2001,M,31213,30837,30837,C50,,,,32920,,3/26/2001,C18,
32735,W,F,F19,3/5/2001,M,31315,31509,31509,C75,,,,32985,,3/26/2001,C23,
32742,B,M,F19,3/5/2001,M,31315,31509,31509,C75,,,,33042,,3/26/2001,C31,
32781,T,M,F19,3/6/2001,Tu,30690,30756,30756,C1,,,,33024,,3/27/2001,C27,
32784,T,F,F19,3/6/2001,Tu,30690,30756,30756,C1,,,,32630,,3/27/2001,C26,
32785,B,M,F19,3/6/2001,Tu,30692,30798,30798,C3,,,,33005,,3/27/2001,C28,
32787,B,F,F19,3/6/2001,Tu,30692,30798,30798,C3,,,,33126,,3/27/2001,C38,
32799,T,F,F19,3/6/2001,Tu,30787,30719,30719,C6,,,,32833,,3/27/2001,C9,
32801,W,M,F19,3/6/2001,Tu,30787,30719,30719,C6,,,,32937,,3/27/2001,C6,
32804,B,F,F19,3/6/2001,Tu,30806,30710,30710,C8,,,,32652,,3/27/2001,C21,
32809,B,M,F19,3/6/2001,Tu,30806,30710,30710,C8,,,,33566,,3/27/2001,C75,
32818,B,F,F19,3/6/2001,Tu,30714,30888,30888,C11,,,,32915,,3/27/2001,C15,
32819,B,M,F19,3/6/2001,Tu,30714,30888,30888,C11,,,,32971,,3/27/2001,C7,
32827,W,F,F19,3/6/2001,Tu,30983,30671,30671,C23,,,,32962,,3/27/2001,C20,
32833,W,M,F19,3/6/2001,Tu,30983,30671,30671,C23,,,,32799,,3/27/2001,C9,
32841,W,M,F19,3/6/2001,Tu,30993,30929,30929,C25,,,,33433,,3/27/2001,C62,
32846,W,F,F19,3/6/2001,Tu,30993,30929,30929,C25,,,,33365,,3/27/2001,C55,
32847,B,M,F19,3/6/2001,Tu,30978,31077,31077,C31,,,,32623,,3/27/2001,C10,
32848,B,F,F19,3/6/2001,Tu,30978,31077,31077,C31,,,,32661,,3/27/2001,C25,
32854,B,F,F19,3/6/2001,Tu,31076,30672,30672,C32,,,,32952,,3/27/2001,C19,
32856,T,M,F19,3/6/2001,Tu,31076,30672,30672,C32,,,,32935,,3/27/2001,C11,
32861,W,M,F19,3/6/2001,Tu,30868,31101,31101,C34,,,,32986,,3/27/2001,C12,
32865,W,F,F19,3/6/2001,Tu,30868,31101,31101,C34,,,,32886,,3/27/2001,C14,
32876,T,F,F19,3/6/2001,Tu,30867,31121,31121,C37,,,,32989,,3/27/2001,C24,
