Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
53892,B,F,F28,5/3/2004,M,50864,51016,51016,C15,,,9/22/2004,54228,,,C7
53893,B,M,F28,5/3/2004,M,50864,51016,51016,C15,,,9/22/2004,54181,,,C2
53899,W,M,F28,5/3/2004,M,50865,51424,51424,C16,,,9/22/2004,54111,,,C3
53903,B,F,F28,5/3/2004,M,50865,51424,51424,C16,,,9/22/2004,54102,,,C4
53906,B,M,F28,5/3/2004,M,50865,51424,51424,C16,,,,,,,
53909,T,F,F28,5/3/2004,M,51116,51025,51025,C30,,,9/22/2004,54432,,,C10
53911,T,M,F28,5/3/2004,M,51116,51025,51025,C30,,,9/22/2004,54574,,,C5
53916,W,M,F28,5/3/2004,M,51116,51025,51025,C30,,,9/22/2004,54309,,,C6
53921,T,F,F28,5/3/2004,M,51003,51041,51041,C46,,,9/22/2004,54597,,,C9
53925,W,F,F28,5/3/2004,M,51003,51041,51041,C46,,,9/22/2004,54451,,,C1
53939,W,M,F28,5/4/2004,Tu,51346,50833,50833,C94,,,9/22/2004,54099,,,C11
53944,B,F,F28,5/4/2004,Tu,51346,50833,50833,C94,,,9/22/2004,54978,,,C14
53949,B,M,F28,5/4/2004,Tu,51321,51405,51405,C88,,,9/22/2004,54342,,,C15
53952,B,F,F28,5/4/2004,Tu,51321,51405,51405,C88,,,,,,,
53953,B,F,F28,5/4/2004,Tu,51321,51405,51405,C88,,,9/22/2004,54444,,,C12
53973,T,M,F28,5/5/2004,W,51305,50863,50863,C81,,,9/22/2004,54476,,,C54
53977,B,M,F28,5/5/2004,W,51191,51313,51313,C53,,,9/22/2004,54856,,,C43
53978,B,F,F28,5/5/2004,W,51191,51313,51313,C53,,,9/22/2004,54966,,,C33
53983,W,F,F28,5/5/2004,W,51191,51313,51313,C53,,,9/22/2004,54135,,,C50
53995,W,F,F28,5/5/2004,W,51014,51198,51198,C49,,,9/22/2004,54805,,,C52
53996,W,M,F28,5/5/2004,W,51014,51198,51198,C49,,,9/22/2004,54465,,,C38
54006,W,M,F28,5/5/2004,W,50898,51323,51323,C42,,,,,,,
54007,W,F,F28,5/5/2004,W,50898,51323,51323,C42,,,9/22/2004,54417,,,C28
54011,W,F,F28,5/5/2004,W,50898,51323,51323,C42,,,9/22/2004,54673,,,C44
54012,T,M,F28,5/5/2004,W,50998,51127,51127,C45,,,9/22/2004,54806,,,C36
54025,T,F,F28,5/5/2004,W,52021,51669,51669,C31,,,,,,,
54026,T,F,F28,5/5/2004,W,52021,51669,51669,C31,,,9/22/2004,54532,,,C35
54027,T,M,F28,5/5/2004,W,52021,51669,51669,C31,,,9/22/2004,54645,,,C32
54029,W,F,F28,5/5/2004,W,51398,50923,50923,C11,,,9/22/2004,54157,,,C56
54039,T,M,F28,5/5/2004,W,51398,50923,50923,C11,,,9/22/2004,54438,,,C21
54046,W,M,F28,5/5/2004,W,50853,50962,50962,C4,,,9/22/2004,54334,,,C16
54049,W,F,F28,5/5/2004,W,50853,50962,50962,C4,,,9/22/2004,54980,,,C49
54055,B,M,F28,5/5/2004,W,51749,50903,50903,C13,,,9/22/2004,54543,,,C23
54056,B,F,F28,5/5/2004,W,51749,50903,50903,C13,,,9/22/2004,54855,,,C53
54065,W,F,F28,5/5/2004,W,50979,51400,51400,C12,,,9/22/2004,54270,,,C41
54069,B,M,F28,5/5/2004,W,50979,51400,51400,C12,,,,,,,
54070,T,M,F28,5/5/2004,W,51407,50920,50920,C14,,,,,,,
54077,B,M,F28,5/5/2004,W,51407,50920,50920,C14,,,9/22/2004,54823,,,C25
54083,W,F,F28,5/5/2004,W,51089,51161,51161,C20,,,,,,,
54085,W,M,F28,5/5/2004,W,51089,51161,51161,C20,,,9/22/2004,54589,,,C27
54089,W,M,F28,5/5/2004,W,51080,51183,51183,C25,,,9/22/2004,54463,,,C30
54093,W,F,F28,5/5/2004,W,51080,51183,51183,C25,,,9/22/2004,54458,,,C29
54096,W,F,F28,5/5/2004,W,51080,51183,51183,C25,,,9/22/2004,54352,,,C26
54099,B,F,F28,5/5/2004,W,50873,51199,51199,C26,,,9/22/2004,53939,,,C11
54102,T,M,F28,5/5/2004,W,50873,51199,51199,C26,,,9/22/2004,53903,,,C4
54111,B,F,F28,5/5/2004,W,51581,50940,50940,C68,,,9/22/2004,53899,,,C3
54113,B,M,F28,5/5/2004,W,51581,50940,50940,C68,,,9/22/2004,54487,,,C69
54122,B,M,F28,5/5/2004,W,51020,51352,51352,C50,,,9/22/2004,54449,,,C39
54127,B,M,F28,5/5/2004,W,50913,51331,51331,C57,,,9/22/2004,54156,,,C45
54128,B,F,F28,5/5/2004,W,50913,51331,51331,C57,,,9/22/2004,54644,,,C31
54135,W,M,F28,5/5/2004,W,51264,50879,50879,C76,,,9/22/2004,53983,,,C50
54136,B,M,F28,5/5/2004,W,51264,50879,50879,C76,,,9/22/2004,54319,,,C51
54139,B,F,F28,5/5/2004,W,51264,50879,50879,C76,,,9/22/2004,54066,,,C22
54146,W,M,F28,5/5/2004,W,51686,51327,51327,C84,,,9/22/2004,54544,,,C55
54149,W,F,F28,5/5/2004,W,51686,51327,51327,C84,,,9/22/2004,54361,,,C48
54151,W,M,F28,5/5/2004,W,51686,51327,51327,C84,,,,,,,
54156,B,F,F28,5/5/2004,W,51332,51039,51039,C89,,,9/22/2004,54127,,,C45
54157,B,M,F28,5/5/2004,W,51332,51039,51039,C89,,,9/22/2004,54029,,,C56
54171,B,F,F28,5/5/2004,W,50969,51358,51358,C90,,,9/22/2004,54006,,,C34
54177,T,M,F28,5/5/2004,W,51377,51613,51613,C97,,,9/22/2004,54936,,,C19
54181,B,F,F28,5/5/2004,W,51377,51613,51613,C97,,,9/22/2004,53893,,,C2
54210,W,F,F28,5/6/2004,Th,50858,51516,51516,C1,,,9/22/2004,54479,,,C70
54217,W,F,F28,5/6/2004,Th,51092,51208,51208,C21,,,9/22/2004,54030,,,C66
54219,W,M,F28,5/6/2004,Th,51092,51208,51208,C21,,,9/22/2004,54813,,,C89
54226,B,F,F28,5/6/2004,Th,51145,51268,51268,C36,,,9/22/2004,55169,,,C57
54228,W,M,F28,5/6/2004,Th,51145,51268,51268,C36,,,9/22/2004,53892,,,C7
54242,B,M,F28,5/6/2004,Th,50994,50882,50882,C41,,,9/22/2004,54395,,,C61
54243,B,F,F28,5/6/2004,Th,50994,50882,50882,C41,,,9/22/2004,54289,,,C65
54246,W,F,F28,5/6/2004,Th,51164,51281,51281,C47,,,9/22/2004,54324,,,C71
54248,B,M,F28,5/6/2004,Th,51164,51281,51281,C47,,,9/22/2004,54662,,,C62
54249,B,M,F28,5/6/2004,Th,51164,51281,51281,C47,,,9/22/2004,54013,,,C37
54253,W,M,F28,5/6/2004,Th,51676,51344,51344,C48,,,9/22/2004,54938,,,C63
54255,B,F,F28,5/6/2004,Th,51676,51344,51344,C48,,,9/22/2004,54337,,,C74
54256,B,F,F28,5/6/2004,Th,51676,51344,51344,C48,,,9/22/2004,55171,,,C58
54266,B,F,F28,5/6/2004,Th,51176,50982,50982,C51,,,9/22/2004,54275,,,C64
54270,B,M,F28,5/6/2004,Th,51176,50982,50982,C51,,,9/22/2004,54065,,,C41
54273,T,F,F28,5/6/2004,Th,51196,51251,51251,C54,,,,,,,
54275,T,M,F28,5/6/2004,Th,51196,51251,51251,C54,,,9/22/2004,54266,,,C64
54289,W,M,F28,5/6/2004,Th,50912,50997,50997,C58,,,9/22/2004,54243,,,C65
54297,B,F,F28,5/6/2004,Th,50912,50997,50997,C58,,,9/22/2004,54073,,,C24
54303,W,M,F28,5/6/2004,Th,51426,51235,51235,C59,,,9/22/2004,54217,,,C66
54304,W,F,F28,5/6/2004,Th,51426,51235,51235,C59,,,9/22/2004,54605,,,C72
54309,W,F,F28,5/6/2004,Th,51694,51142,51142,C64,,,9/22/2004,53916,,,C6
54313,B,M,F28,5/6/2004,Th,51694,51142,51142,C64,,,9/22/2004,54343,,,C67
54318,B,M,F28,5/6/2004,Th,50917,51276,51276,C65,,,9/22/2004,54327,,,C68
54319,T,F,F28,5/6/2004,Th,50917,51276,51276,C65,,,9/22/2004,54136,,,C51
54324,T,M,F28,5/6/2004,Th,52240,52143,52143,C82,,,9/22/2004,54246,,,C71
54327,B,F,F28,5/6/2004,Th,52240,52143,52143,C82,,,9/22/2004,54318,,,C68
54334,W,F,F28,5/6/2004,Th,52144,52242,52242,C86,,,9/22/2004,54046,,,C16
54337,B,M,F28,5/6/2004,Th,52144,52242,52242,C86,,,9/22/2004,54255,,,C74
54342,T,F,F28,5/6/2004,Th,51337,51417,51417,C91,,,9/22/2004,53949,,,C15
54343,T,F,F28,5/6/2004,Th,51337,51417,51417,C91,,,9/22/2004,54313,,,C67
54345,T,M,F28,5/6/2004,Th,51337,51417,51417,C91,,,9/22/2004,54079,,,C20
54352,W,M,F28,5/6/2004,Th,51810,50910,50910,C92,,,9/22/2004,54096,,,C26
54357,T,F,F28,5/6/2004,Th,51810,50910,50910,C92,,,9/22/2004,54397,,,C73
54360,B,F,F28,5/6/2004,Th,51374,51190,51190,C96,,,9/22/2004,54658,,,C60
54361,B,M,F28,5/6/2004,Th,51374,51190,51190,C96,,,9/22/2004,54149,,,C48
54395,B,F,F28,5/7/2004,F,51356,51914,51914,C95,,,9/22/2004,54242,,,C61
54397,W,M,F28,5/7/2004,F,51356,51914,51914,C95,,,9/22/2004,54357,,,C73
54408,T,F,F28,5/7/2004,F,51459,51509,51509,C34,,,9/22/2004,54184,,,C75
54411,B,M,F28,5/7/2004,F,51459,51509,51509,C34,,,9/22/2004,54642,,,C79
54415,B,F,F28,5/7/2004,F,51100,51463,51463,C22,,,9/22/2004,54518,,,C80
54417,B,M,F28,5/7/2004,F,51100,51463,51463,C22,,,9/22/2004,54007,,,C28
54423,B,M,F28,5/7/2004,F,51038,51367,51367,C8,,,9/22/2004,54591,,,C77
54431,B,F,F28,5/7/2004,F,50937,51172,51172,C73, ,,9/22/2004,54935,,,C83
54432,B,M,F28,5/7/2004,F,50937,51172,51172,C73,,,9/22/2004,53909,,,C10
54434,B,F,F28,5/7/2004,F,50937,51172,51172,C73,,,9/22/2004,54575,,,C84
54438,W,F,F28,5/7/2004,F,51577,51447,51447,C39,,,9/22/2004,54039,,,C21
54444,B,M,F28,5/7/2004,F,51577,51447,51447,C39,,,9/22/2004,53953,,,C12
54449,W,F,F28,5/7/2004,F,50835,52016,52016,C2,,,9/22/2004,54122,,,C39
54451,W,M,F28,5/7/2004,F,50835,52016,52016,C2,,,9/22/2004,53925,,,C1
54452,W,M,F28,5/7/2004,F,50835,52016,52016,C2,,,,,,,
54460,B,F,F28,5/7/2004,F,51107,51726,51726,C23,,,9/22/2004,54735,,,C78
54463,B,F,F28,5/7/2004,F,51107,51726,51726,C23,,,9/22/2004,54089,,,C30
54465,W,F,F28,5/7/2004,F,51735,51083,51083,C6,,,9/22/2004,53996,,,C38
54466,W,F,F28,5/7/2004,F,51735,51083,51083,C6,,,9/22/2004,54969,,,C82
54472,W,M,F28,5/7/2004,F,51735,51083,51083,C6,,,9/22/2004,54610,,,C76
54476,B,F,F28,5/7/2004,F,51245,51674,51674,C72,,,9/22/2004,53973,,,C54
54479,B,M,F28,5/7/2004,F,51245,51674,51674,C72,,,9/22/2004,54210,,,C70
54487,W,F,F28,5/7/2004,F,50959,51807,51807,C87,,,9/22/2004,54113,,,C69
54517,B,F,F28,5/8/2004,Sa,50893,50840,50840,C37,,,9/22/2004,54363,,,C87
54518,B,M,F28,5/8/2004,Sa,50893,50840,50840,C37,,,,,,,
54525,B,M,F28,5/8/2004,Sa,51617,51421,51421,C75,,,9/22/2004,54600,,,C89
54532,W,M,F28,5/8/2004,Sa,51477,51111,51111,C44,,,9/22/2004,54026,,,C35
54536,B,F,F28,5/8/2004,Sa,51477,51111,51111,C44,,,9/22/2004,54588,,,C86
54541,W,M,F28,5/8/2004,Sa,51467,51574,51574,C43,,,9/22/2004,54733,,,C88
54543,W,F,F28,5/8/2004,Sa,51467,51574,51574,C43,,,9/22/2004,54055,,,C23
54544,W,F,F28,5/8/2004,Sa,51231,51633,51633,C63,,,9/22/2004,54146,,,C55
54548,W,M,F28,5/8/2004,Sa,51231,51633,51633,C63,,,9/22/2004,53948,,,C13
54574,W,F,F28,5/9/2004,Su,51381,50888,50888,C98,,,9/22/2004,53911,,,C5
54575,T,M,F28,5/9/2004,Su,51381,50888,50888,C98,,,9/22/2004,54434,,,C84
54588,B,M,F28,5/9/2004,Su,51729,51274,51274,C5,,,9/22/2004,54536,,,C86
54589,B,F,F28,5/9/2004,Su,51729,51274,51274,C5,,,9/22/2004,54085,,,C27
54591,B,F,F28,5/9/2004,Su,51729,51274,51274,C5,,,9/22/2004,54423,,,C77
54597,B,M,F28,5/9/2004,Su,51513,51451,51451,C70,,,9/22/2004,53921,,,C9
54600,B,F,F28,5/9/2004,Su,51513,51451,51451,C70,,,9/22/2004,54525,,,C89
54605,B,M,F28,5/9/2004,Su,51634,51151,51151,C85,,,9/22/2004,54304,,,C72
54610,B,F,F28,5/9/2004,Su,51634,51151,51151,C85,,,9/22/2004,54472,,,C76
54636,B,M,F28,5/10/2004,M,50989,51743,51743,C40,,,9/22/2004,54517,,,C87
54642,T,F,F28,5/10/2004,M,50989,51743,51743,C40,,,9/22/2004,54411,,,C79
54644,W,M,F28,5/10/2004,M,51507,51094,51094,C29,,,9/22/2004,54128,,,C31
54645,W,F,F28,5/10/2004,M,51507,51094,51094,C29,,,9/22/2004,54027,,,C32
54658,T,M,F28,5/10/2004,M,50876,51070,51070,C28,,,9/22/2004,54360,,,C60
54662,B,F,F28,5/10/2004,M,50876,51070,51070,C28,,,9/22/2004,54248,,,C62
54667,W,F,F28,5/10/2004,M,51027,51226,51226,C55,,,9/22/2004,54123,,,C40
54673,W,M,F28,5/10/2004,M,51027,51226,51226,C55,,,9/22/2004,54011,,,C44
