Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,,,,,,
63069,B,M,F32,10/3/2005,M,62212,61663,61663,C14,,,,,,,
63071,B,F,F32,10/3/2005,M,62212,61663,61663,C14,,,,,,,
63075,B,F,F32,10/3/2005,M,62212,61663,61663,C14,,,,,,,
63083,W,M,F32,10/3/2005,M,62103,61890,61890,C46,,,,,,,
63084,W,F,F32,10/3/2005,M,62103,61890,61890,C46,,,,,,,
63093,W,M,F32,10/3/2005,M,62214,61988,61988,C65,,,,,,,
63101,T,M,F32,10/3/2005,M,62329,62080,62080,C77,,,,,,,
63102,B,F,F32,10/3/2005,M,62329,62080,62080,C77,,,,,,,
63115,W,F,F32,10/4/2005,Tu,61647,61805,61805,C3,,,,,,,
63123,B,F,F32,10/4/2005,Tu,61843,61682,61682,C5,,,,,,,
63126,B,M,F32,10/4/2005,Tu,61843,61682,61682,C5,,,,,,,
63132,W,F,F32,10/4/2005,Tu,62122,61618,61618,C6,,,,,,,
63136,B,M,F32,10/4/2005,Tu,62122,61618,61618,C6,,,,,,,
63139,W,F,F32,10/4/2005,Tu,61680,62144,62144,C12,,,,,,,
63142,B,M,F32,10/4/2005,Tu,61680,62144,62144,C12,,,,,,,
63149,B,F,F32,10/4/2005,Tu,61694,61894,61894,C16,,,,,,,
63150,B,M,F32,10/4/2005,Tu,61694,61894,61894,C16,,,,,,,
63157,B,M,F32,10/4/2005,Tu,62315,62015,62015,C21,,,,,,,
63159,W,F,F32,10/4/2005,Tu,61828,62154,62154,C40,,,,,,,
63160,W,M,F32,10/4/2005,Tu,61828,62154,62154,C40,,,,,,,
63165,T,F,F32,10/4/2005,Tu,62249,62002,62002,C73,,,,,,,
63176,T,M,F32,10/4/2005,Tu,62263,61793,61793,C75,,,,,,,
63177,T,F,F32,10/4/2005,Tu,62263,61793,61793,C75,,,,,,,
63188,T,F,F32,10/4/2005,Tu,62387,62250,62250,C78,,,,,,,
63189,T,M,F32,10/4/2005,Tu,62387,62250,62250,C78,,,,,,,
63205,B,M,F32,10/5/2005,W,62162,61688,61688,C10,,,,,,,
63208,W,M,F32,10/5/2005,W,62162,61688,61688,C10,,,,,,,
63215,W,M,F32,10/5/2005,W,61975,61646,61646,C15,,,,,,,
63219,T,M,F32,10/5/2005,W,61714,62483,62483,C19,,,,,,,
63223,W,M,F32,10/5/2005,W,61714,62483,62483,C19,,,,,,,
63239,B,F,F32,10/5/2005,W,62171,61711,61711,C28,,,,,,,
63243,B,M,F32,10/5/2005,W,62171,61711,61711,C28,,,,,,,
63245,B,M,F32,10/5/2005,W,62171,61711,61711,C28,,,,,,,
63248,W,M,F32,10/5/2005,W,62276,62031,62031,C42,,,,,,,
63253,W,F,F32,10/5/2005,W,62276,62031,62031,C42,,,,,,,
63254,W,F,F32,10/5/2005,W,62276,62031,62031,C42,,,,,,,
63258,T,M,F32,10/5/2005,W,62077,61872,61872,C44,,,,,,,
63259,T,F,F32,10/5/2005,W,62077,61872,61872,C44,,,,,,,
63262,B,M,F32,10/5/2005,W,62107,61869,61869,C47,,,,,,,
63266,W,M,F32,10/5/2005,W,61878,62108,62108,C49,,,,,,,
63269,B,M,F32,10/5/2005,W,61878,62108,62108,C49,,,,,,,
63270,B,F,F32,10/5/2005,W,61878,62108,62108,C49,,,,,,,
63284,W,M,F32,10/5/2005,W,62138,61880,61880,C51,,,,,,,
63285,W,F,F32,10/5/2005,W,62138,61880,61880,C51,,,,,,,
63289,W,M,F32,10/5/2005,W,61925,62086,62086,C54,,,,,,,
63290,W,F,F32,10/5/2005,W,61925,62086,62086,C54,,,,,,,
63293,W,M,F32,10/5/2005,W,61925,62086,62086,C54,,,,,,,
63299,B,M,F32,10/5/2005,W,62175,61977,61977,C56,,,,,,,
63300,B,F,F32,10/5/2005,W,62175,61977,61977,C56,,,,,,,
63306,B,F,F32,10/5/2005,W,62175,61977,61977,C56,,,,,,,
63313,W,F,F32,10/5/2005,W,61992,62099,62099,C61,,,,,,,
63318,W,M,F32,10/5/2005,W,61992,62099,62099,C61,,,,,,,
63320,T,F,F32,10/5/2005,W,62007,62097,62097,C62,,,,,,,
63321,T,M,F32,10/5/2005,W,62007,62097,62097,C62,,,,,,,
63326,B,M,F32,10/5/2005,W,62019,62183,62183,C63,,,,,,,
63333,B,F,F32,10/5/2005,W,62503,61955,61955,C68,,,,,,,
63334,B,M,F32,10/5/2005,W,62503,61955,61955,C68,,,,,,,
63339,T,F,F32,10/5/2005,W,62231,61829,61829,C69,,,,,,,
63341,B,M,F32,10/5/2005,W,62231,61829,61829,C69,,,,,,,
63342,B,F,F32,10/5/2005,W,62231,61829,61829,C69,,,,,,,
63346,B,F,F32,10/5/2005,W,62245,61922,61922,C72,,,,,,,
63349,W,M,F32,10/5/2005,W,62245,61922,61922,C72,,,,,,,
63355,T,F,F32,10/5/2005,W,62311,62020,62020,C74,,,,,,,
63369,B,M,F32,10/5/2005,W,62366,62173,62173,C81,,,,,,,
63373,B,M,F32,10/5/2005,W,62366,62173,62173,C81,,,,,,,
63378,B,M,F32,10/6/2005,Th,61821,61693,61693,C49,,,,,,,
63379,B,M,F32,10/6/2005,Th,61821,61693,61693,C49,,,,,,,
63383,B,F,F32,10/6/2005,Th,61821,61693,61693,C49,,,,,,,
63389,B,F,F32,10/6/2005,Th,62195,62215,62215,C9,,,,,,,
63393,B,M,F32,10/6/2005,Th,62195,62215,62215,C9,,,,,,,
63399,W,F,F32,10/6/2005,Th,61674,61909,61909,C11,,,,,,,
63407,B,M,F32,10/6/2005,Th,61686,62041,62041,C13,,,,,,,
63409,B,F,F32,10/6/2005,Th,61686,62041,62041,C13,,,,,,,
63416,B,M,F32,10/6/2005,Th,61736,61635,61635,C17,,,,,,,
63425,T,F,F32,10/6/2005,Th,62039,61675,61675,C18,10-26-05,,,,,,
63426,T,F,F32,10/6/2005,Th,62039,61675,61675,C18,,,,,,,
63435,B,F,F32,10/6/2005,Th,62096,61721,61721,C23,,,,,,,
63436,B,M,F32,10/6/2005,Th,62096,61721,61721,C23,,,,,,,
63438,T,F,F32,10/6/2005,Th,62096,61721,61721,C23,,,,,,,
63443,T,F,F32,10/6/2005,Th,62129,61706,61706,C24,,,,,,,
63445,T,M,F32,10/6/2005,Th,62129,61706,61706,C24,,,,,,,
63453,B,M,F32,10/6/2005,Th,61726,61849,61849,C26,,,,,,,
63455,B,M,F32,10/6/2005,Th,61726,61849,61849,C26,,,,,,,
63456,B,F,F32,10/6/2005,Th,61726,61849,61849,C26,,,,,,,
63458,W,F,F32,10/6/2005,Th,61915,61758,61758,C27,,,,,,,
63459,W,M,F32,10/6/2005,Th,61915,61758,61758,C27,,,,,,,
63470,W,M,F32,10/6/2005,Th,61945,61735,61735,C29,,,,,,,
63471,B,F,F32,10/6/2005,Th,61945,61735,61735,C29,,,,,,,
63482,B,F,F32,10/6/2005,Th,62200,61723,61723,C30,,,,,,,
63486,B,M,F32,10/6/2005,Th,61707,61959,61959,C31,,,,,,,
63489,T,F,F32,10/6/2005,Th,61707,61959,61959,C31,,,,,,,
63499,B,M,F32,10/6/2005,Th,62069,61941,61941,C36,,,,,,,
63500,B,F,F32,10/6/2005,Th,62069,61941,61941,C36,,,,,,,
63507,W,F,F32,10/6/2005,Th,61797,62271,62271,C37,,,,,,,
63513,T,F,F32,10/6/2005,Th,61797,62271,62271,C37,,,,,,,
63515,T,M,F32,10/6/2005,Th,61797,62271,62271,C37,,,,,,,
63529,W,M,F32,10/6/2005,Th,61852,62137,62137,C41,,,,,,,
63530,W,F,F32,10/6/2005,Th,61852,62137,62137,C41,,,,,,,
63531,W,M,F32,10/6/2005,Th,61852,62137,62137,C41,,,,,,,
63536,W,F,F32,10/6/2005,Th,61875,62120,62120,C48,,,,,,,
63543,B,M,F32,10/6/2005,Th,61875,62120,62120,C48,,,,,,,
63549,B,M,F32,10/6/2005,Th,62146,62051,62051,C52,,,,,,,
63550,B,F,F32,10/6/2005,Th,62146,62051,62051,C52,,,,,,,
63555,W,F,F32,10/6/2005,Th,61899,62192,62192,C53,,,,,,,
63557,W,F,F32,10/6/2005,Th,61899,62192,62192,C53,,,,,,,
63559,W,M,F32,10/6/2005,Th,61899,62192,62192,C53,,,,,,,
63566,T,M,F32,10/6/2005,Th,62036,62462,62462,C66,,,,,,,
63572,T,F,F32,10/6/2005,Th,62036,62462,62462,C66,,,,,,,
63579,B,F,F32,10/6/2005,Th,62238,62016,62016,C70,,,,,,,
63587,W,F,F32,10/6/2005,Th,62153,62509,62509,C79,,,,,,,
63600,B,F,F32,10/6/2005,Th,62603,62519,62519,C82,,,,,,,
63640,T,F,F32,10/7/2005,F,61722,61919,61919,C20,,,,,,,
63643,T,M,F32,10/7/2005,F,61722,61919,61919,C20,,,,,,,
63646,W,M,F32,10/7/2005,F,61759,62204,62204,C33,,,,,,,
63650,B,F,F32,10/7/2005,F,61780,62385,62385,C34,,,,,,,
63652,B,M,F32,10/7/2005,F,61780,62385,62385,C34,,,,,,,
63657,B,F,F32,10/7/2005,F,62187,61863,61863,C57,,,,,,,
63662,T,F,F32,10/7/2005,F,62523,62599,62599,C83,,,,,,,
63667,B,M,F32,10/7/2005,F,62523,62599,62599,C83,,,,,,,
63732,B,F,F32,10/14/2005,F,61788,62186,62186,C35,,,,,,,
63773,W,M,F32,10/15/2005,Sa,61747,62133,62133,C22,,,,,,,
63774,B,F,F32,10/15/2005,Sa,61747,62133,62133,C22,,,,,,,
63781,W,M,F32,10/15/2005,Sa,61859,62328,62328,C43,,,,,,,
63830,W,F,F32,10/16/2005,Su,62463,61935,61935,C60,,,,,,,
63862,B,M,F32,10/24/2005,M,61934,62234,62234,C55,,,,,,,
63865,W,F,F32,10/24/2005,M,61934,62234,62234,C55,,,,,,,
63927,B,F,F32,11/2/2005,W,61956,62265,62265,C58,,,,,,,
63945,W,F,F32,11/4/2005,F,62054,62318,62318,C32,,,,,,,
63968,W,F,F32,11/6/2005,Su,61820,62172,62172,C39,,,,,,,
63975,B,M,F32,11/6/2005,Su,61820,62172,62172,C39,,,,,,,
64025,W,F,F32,11/11/2005,F,61630,62308,62308,C2,,,,,,,
64064,W,M,F32,11/16/05,W,62093,61816,61816,C45,,,,,,,
64066,B,M,F32,11/16/05,W,62093,61816,61816,C45,,,,,,,
64290,B,M,F32,12/2/05,F,62163,62298,62298,C80,,,,,,,
