Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain
64875,W,F,F33,3/7/2006,Tu,63126,63253,63253,C11
64876,W,M,F33,3/7/2006,Tu,63126,63253,63253,C11
64877,W,F,F33,3/7/2006,Tu,63126,63253,63253,C11
64884,T,M,F33,3/7/2006,Tu,63566,63489,63489,C47
64889,T,M,F33,3/7/2006,Tu,63773,63188,63188,C71
64893,W,F,F33,3/7/2006,Tu,63773,63188,63188,C71
64903,W,F,F33,3/8/2006,W,63150,63102,63102,C1
64906,B,M,F33,3/8/2006,W,63150,63102,63102,C1
64907,B,F,F33,3/8/2006,W,63150,63102,63102,C1
64913,T,M,F33,3/8/2006,W,63393,63071,63071,C3
64916,B,M,F33,3/8/2006,W,63393,63071,63071,C3
64919,B,F,F33,3/8/2006,W,63326,63139,63139,C7 
64922,B,F,F33,3/8/2006,W,63326,63139,63139,C7 
64924,B,F,F33,3/8/2006,W,63326,63139,63139,C7 
64926,B,M,F33,3/8/2006,W,63326,63139,63139,C7 
64931,B,M,F33,3/8/2006,W,63667,63339,63339,C65
64933,B,F,F33,3/8/2006,W,63667,63339,63339,C65
64940,B,F,F33,3/8/2006,W,63652,63536,63536,C66
64941,B,M,F33,3/8/2006,W,63652,63536,63536,C66
64945,T,M,F33,3/8/2006,W,63652,63536,63536,C66
64954,W,F,F33,3/8/2006,W,63781,63968,63968,C80
64957,W,F,F33,3/8/2006,W,63781,63968,63968,C80
64958,W,M,F33,3/8/2006,W,63781,63968,63968,C80
64962,W,M,F33,3/8/2006,W,63781,63968,63968,C80
64967,B,M,F33,3/9/2006,Th,63205,63075,63075,C4 
64970,B,F,F33,3/9/2006,Th,63205,63075,63075,C4 
64978,W,M,F33,3/9/2006,Th,63215,63132,63132,C6
64979,W,F,F33,3/9/2006,Th,63215,63132,63132,C6
64989,W,M,F33,3/9/2006,Th,63248,63149,63149,C8 
64995,W,F,F33,3/9/2006,Th,63248,63149,63149,C8 
65001,B,M,F33,3/9/2006,Th,63341,63300,63300,C12
65005,B,F,F33,3/9/2006,Th,63341,63300,63300,C12
65011,T,M,F33,3/9/2006,Th,63529,63165,63165,C18
65014,W,F,F33,3/9/2006,Th,63529,63165,63165,C18
65024,T,F,F33,3/9/2006,Th,63407,63177,63177,C19
65025,T,M,F33,3/9/2006,Th,63407,63177,63177,C19
65027,T,F,F33,3/9/2006,Th,63445,63239,63239,C23
65031,T,M,F33,3/9/2006,Th,63445,63239,63239,C23
65038,W,M,F33,3/9/2006,Th,63559,63259,63259,C24
65043,T,M,F33,3/9/2006,Th,63559,63259,63259,C24
65045,W,F,F33,3/9/2006,Th,63436,63285,63285,C26
65049,B,F,F33,3/9/2006,Th,63436,63285,63285,C26
65055,W,M,F33,3/9/2006,Th,63470,63290,63290,C27
65060,W,M,F33,3/9/2006,Th,63470,63290,63290,C27
65061,B,F,F33,3/9/2006,Th,63459,63306,63306,C28
65066,B,F,F33,3/9/2006,Th,63459,63306,63306,C28
65068,B,M,F33,3/9/2006,Th,63459,63306,63306,C28
65071,W,M,F33,3/9/2006,Th,63531,63342,63342,C31
65074,B,F,F33,3/9/2006,Th,63531,63342,63342,C31
65083,B,F,F33,3/9/2006,Th,63142,63383,63383,C32
65086,B,M,F33,3/9/2006,Th,63142,63383,63383,C32
65093,B,M,F33,3/9/2006,Th,63334,63389,63389,C33
65095,B,M,F33,3/9/2006,Th,63334,63389,63389,C33
65102,W,F,F33,3/9/2006,Th,63284,63409,63409,C35
65103,W,F,F33,3/9/2006,Th,63284,63409,63409,C35
65113,B,M,F33,3/9/2006,Th,63157,63426,63426,C38
65115,B,M,F33,3/9/2006,Th,63157,63426,63426,C38
65122,W,F,F33,3/9/2006,Th,63160,63254,63254,C42
65124,W,M,F33,3/9/2006,Th,63160,63254,63254,C42
65130,B,M,F33,3/9/2006,Th,63293,63500,63500,C48
65133,W,M,F33,3/9/2006,Th,63293,63500,63500,C48
65141,T,F,F33,3/9/2006,Th,63299,63513,63513,C50
65144,B,M,F33,3/9/2006,Th,63299,63513,63513,C50
65147,B,F,F33,3/9/2006,Th,63299,63513,63513,C50
65153,B,F,F33,3/9/2006,Th,63321,63530,63530,C52
65157,W,M,F33,3/9/2006,Th,63321,63530,63530,C52
65162,W,M,F33,3/9/2006,Th,63455,63550,63550,C53
65165,B,F,F33,3/9/2006,Th,63455,63550,63550,C53
65171,B,F,F33,3/9/2006,Th,63455,63550,63550,C53
65175,T,M,F33,3/9/2006,Th,63486,63555,63555,C54
65181,W,F,F33,3/9/2006,Th,63486,63555,63555,C54
65183,T,M,F33,3/9/2006,Th,63643,63123,63123,C61
65185,T,F,F33,3/9/2006,Th,63643,63123,63123,C61
65186,T,F,F33,3/9/2006,Th,63643,63123,63123,C61
65192,W,F,F33,3/9/2006,Th,63499,63657,63657,C68
65193,W,M,F33,3/9/2006,Th,63499,63657,63657,C68
65198,B,F,F33,3/9/2006,Th,63499,63657,63657,C68
65203,W,F,F33,3/9/2006,Th,63862,63458,63458,C76
65204,W,M,F33,3/9/2006,Th,63862,63458,63458,C76
65208,W,F,F33,3/9/2006,Th,63862,63458,63458,C76
65209,B,M,F33,3/9/2006,Th,63975,63927,63927,C79
65211,B,M,F33,3/9/2006,Th,63975,63927,63927,C79
65212,B,M,F33,3/9/2006,Th,63975,63927,63927,C79
65223,B,M,F33,3/9/2006,Th,64290,63865,63865,C81
65228,B,F,F33,3/9/2006,Th,64064,64025,64025,C82
65232,W,M,F33,3/10/2006,F,63093,63115,63115,C2
65236,W,F,F33,3/10/2006,F,63093,63115,63115,C2
65242,W,F,F33,3/10/2006,F,63269,63084,63084,C5
65244,B,F,F33,3/10/2006,F,63269,63084,63084,C5
65247,B,M,F33,3/10/2006,F,63453,63355,63355,C17
65248,B,M,F33,3/10/2006,F,63453,63355,63355,C17
65255,W,M,F33,3/10/2006,F,63266,63399,63399,C34
65257,W,F,F33,3/10/2006,F,63266,63399,63399,C34
65259,W,F,F33,3/10/2006,F,63266,63399,63399,C34
65262,B,F,F33,3/10/2006,F,63243,63435,63435,C39
65264,B,M,F33,3/10/2006,F,63243,63435,63435,C39
65268,B,F,F33,3/10/2006,F,63243,63435,63435,C39
65275,T,F,F33,3/10/2006,F,63318,63443,63443,C41
65278,W,F,F33,3/10/2006,F,63318,63443,63443,C41
65280,W,M,F33,3/10/2006,F,63318,63443,63443,C41
65282,B,F,F33,3/10/2006,F,63289,63471,63471,C45
65283,B,M,F33,3/10/2006,F,63289,63471,63471,C45
