Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Family
1133.1,,F,F35,3/15/2007,,65.1,333.1,,F34-43
1136.1,,M,F35,3/15/2007,,65.1,333.1,,F34-43
1138.1,,F,F35,3/15/2007,,224.1,396.1,,F34-52
1139.1,,M,F35,3/15/2007,,224.1,396.1,,F34-52
1142.1,,F,F35,3/16/2007,,194.1,448.1,,F34-60
1158.1,,M,F35,3/16/2007,,194.1,448.1,,F34-60
1171.1,,F,F35,3/17/2007,,394.1,187.1,,F34-23
1169.1,,M,F35,3/17/2007,,394.1,187.1,,F34-23
1174.1,,F,F35,3/17/2007,,597.1,284.1,,F34-37
1175.1,,M,F35,3/17/2007,,597.1,284.1,,F34-37
1182.1,,F,F35,3/17/2007,,484.1,414.1,,F34-54
1181.1,,M,F35,3/17/2007,,484.1,414.1,,F34-54
1193.1,,F,F35,3/17/2007,,240.1,463.1,,F34-61
1188.1,,M,F35,3/17/2007,,240.1,463.1,,F34-61
1202.1,,F,F35,3/17/2007,,583.1,475.1,,F34-63
1196.1,,M,F35,3/17/2007,,583.1,475.1,,F34-63
1204.1,,F,F35,3/17/2007,,49.1,566.1,,F34-65
1211.1,,M,F35,3/17/2007,,49.1,566.1,,F34-65
1164.1,,F,F35,3/17/2007,,563.1,55.1,,F34-8
1166.1,,M,F35,3/17/2007,,563.1,55.1,,F34-8
1214.1,,F,F35,3/18/2007,,575.1,366.1,,F34-49
1217.1,,M,F35,3/18/2007,,575.1,366.1,,F34-49
1216.1,,F,F35,3/18/2007,,341.1,576.1,,F34-68
1220.1,,M,F35,3/18/2007,,341.1,576.1,,F34-68
1243.1,,F,F35,3/19/2007,,78.1,141.1,,F34-19
1237.1,,M,F35,3/19/2007,,78.1,141.1,,F34-19
1244.1,,F,F35,3/19/2007,,492.1,210.1,,F34-26
1250.1,,F,F35,3/19/2007,,492.1,210.1,,F34-26
1252.1,,M,F35,3/19/2007,,74.1,221.1,,F34-29
1255.1,,M,F35,3/19/2007,,74.1,221.1,,F34-29
1259.1,,F,F35,3/19/2007,,201.1,244.1,,F34-33
1265.1,,M,F35,3/19/2007,,201.1,244.1,,F34-33
1266.1,,F,F35,3/19/2007,,439.1,354.1,,F34-45
1271.1,,M,F35,3/19/2007,,439.1,354.1,,F34-45
1275.1,,F,F35,3/19/2007,,231.1,568.1,,F34-67
1281.1,,M,F35,3/19/2007,,231.1,568.1,,F34-67
1286.1,,F,F35,3/20/2007,,332.1,136.1,,F34-18
1288.1,,M,F35,3/20/2007,,332.1,136.1,,F34-18
1289.1,,F,F35,3/21/2007,,129.1,181.1,,F34-22
1287.1,,M,F35,3/21/2007,,129.1,181.1,,F34-22
1297.1,,F,F35,3/21/2007,,192.1,206.1,,F34-25
1299.1,,M,F35,3/21/2007,,192.1,206.1,,F34-25
1305.1,,F,F35,3/22/2007,,138.1,197.1,,F34-24
1302.1,,M,F35,3/22/2007,,138.1,197.1,,F34-24
1307.1,,F,F35,3/22/2007,,470.1,386.1,,F34-51
1317.1,,M,F35,3/27/2007,,313.1,106.1,,F34-13
1315.1,,F,F35,3/27/2007,,313.1,106.1,,F34-13
1323.1,,F,F35,3/29/2007,,82.1,355.1,,F34-46
1320.1,,M,F35,3/29/2007,,82.1,355.1,,F34-46
1332.1,,F,F35,3/29/2007,,357.1,356.1,,F34-47
1329.1,,M,F35,3/29/2007,,357.1,356.1,,F34-47
1334.1,,F,F35,4/2/2007,,102.1,250.1,,F34-34
1336.1,,M,F35,4/2/2007,,102.1,250.1,,F34-34
1337.1,,F,F35,4/5/2007,,384.1,263.1,,F34-35
1338.1,,M,F35,4/5/2007,,384.1,263.1,,F34-35
1356.1,,M,F35,4/9/2007,,565.1,398.1,,F34-53
1357.1,,F,F35,4/9/2007,,565.1,398.1,,F34-53
1388.1,,F,F35,4/16/2007,,3.1,115.1,,F34-14
1389.1,,M,F35,4/16/2007,,3.1,115.1,,F34-14
1383.1,,F,F35,4/13/2007,,57.1,120.1,,F34-15
1385.1,,M,F35,4/13/2007,,57.1,120.1,,F34-15
