Animal #,C,Sex,Gen.,D.O.B.,Family,Sire,Dam
39369.1,B,F,F45,2/11/2011,BrF44-33,38245.1,38218.1
39370.1,B,F,F45,2/13/2011,BrF44-33,38245.1,38218.1
39371.1,Ag,F,F45,2/13/2011,BrF44-37,38201.1,38226.1
39372.1,B,M,F45,2/11/2011,BrF44-33,38245.1,38218.1
39373.1,Ag,M,F45,2/13/2011,BrF44-37,38201.1,38226.1
39401.1,Ag,F,F45,12/22/2010,BrF44-03,38239.1,38117.1
39402.1,Ag,M,F45,12/22/2010,BrF44-03,38239.1,38117.1
39405.1,W,F,F45,12/22/2010,BrF44-14,38207.1,38180.1
39406.1,B,M,F45,12/22/2010,BrF44-14,38207.1,38180.1
39410.1,W,M,F45,12/22/2010,BrF44-20,38128.1,38192.1
39411.1,W,F,F45,12/22/2010,BrF44-20,38128.1,38192.1
39413.1,B,F,F45,12/22/2010,BrF44-21,38261.1,38194.1
39414.1,W,M,F45,12/22/2010,BrF44-21,38261.1,38194.1
39417.1,B,F,F45,12/23/2010,BrF44-17,38191.1,38186.1
39418.1,B,M,F45,12/23/2010,BrF44-17,38191.1,38186.1
39421.1,Ag,F,F45,12/23/2010,BrF44-18,38185.1,38188.1
39422.1,Ag,M,F45,12/23/2010,BrF44-18,38185.1,38188.1
39425.1,W,F,F45,12/24/2010,BrF44-06,38149.1,38143.1
39426.1,B,M,F45,12/24/2010,BrF44-06,38149.1,38143.1
39429.1,Ag,F,F45,12/24/2010,BrF44-10,38219.1,38172.1
39430.1,Ag,M,F45,12/24/2010,BrF44-10,38219.1,38172.1
39433.1,B,F,F45,12/24/2010,BrF44-11,38183.1,38174.1
39434.1,W,M,F45,12/24/2010,BrF44-11,38183.1,38174.1
39437.1,W,F,F45,12/24/2010,BrF44-12,38243.1,38176.1
39438.1,W,M,F45,12/24/2010,BrF44-12,38243.1,38176.1
39441.1,B,F,F45,12/24/2010,BrF44-16,38173.1,38184.1
39440.1,W,F,F45,12/25/2010,BrF44-01,38217.1,38101.1
39442.1,B,M,F45,12/24/2010,BrF44-16,38173.1,38184.1
39445.1,B,M,F45,12/25/2010,BrF44-01,38217.1,38101.1
39446.1,W,F,F45,12/27/2010,BrF44-02,38279.1,38109.1
39447.1,W,M,F45,12/27/2010,BrF44-02,38279.1,38109.1
39448.1,Ag,F,F45,12/24/2010,BrF44-05,38120.1,38134.1
39449.1,W,M,F45,12/24/2010,BrF44-05,38120.1,38134.1
39452.1,B,F,F45,1/5/2011,BrF44-13,38166.1,38178.1
39453.1,Ag,M,F45,1/5/2011,BrF44-13,38166.1,38178.1
39456.1,Ag,F,F45,1/5/2011,BrF44-28,38269.1,38208.1
39457.1,Ag,M,F45,1/5/2011,BrF44-28,38269.1,38208.1
