Animal #,CC,Sex,Gen.,DOB,Family,Sire,Dam
40595.1,B,F,F46,4/3/2011,BrF45-02,39542.1,39405.1
40597.1,W,F,F46,4/3/2011,BrF45-11,39512.1,39440.1
40599.1,W,F,F46,4/4/2011,BrF45-03,39528.1,39411.1
40601.1,W,F,F46,4/4/2011,BrF45-07,39555.1,39425.1
40596.1,B,M,F46,4/3/2011,BrF45-02,39542.1,39405.1
40598.1,Ag,M,F46,4/3/2011,BrF45-11,39512.1,39440.1
40600.1,W,M,F46,4/4/2011,BrF45-03,39528.1,39411.1
40602.1,W,M,F46,4/4/2011,BrF45-07,39555.1,39425.1
40603.1,B,F,F46,4/4/2011,BrF45-08,39514.1,39429.1
40605.1,B,F,F46,4/5/2011,BrF45-05,39465.1,39417.1
40607.1,Ag,F,F46,4/5/2011,BrF45-06,39550.1,39421.1
40609.1,B,F,F46,4/5/2011,BrF45-09,39524.1,39433.1
40611.1,W,F,F46,4/5/2011,BrF45-10,39518.1,39437.1
40604.1,Ag,M,F46,4/4/2011,BrF45-08,39514.1,39429.1
40606.1,B,M,F46,4/5/2011,BrF45-05,39465.1,39417.1
40608.1,B,M,F46,4/5/2011,BrF45-06,39550.1,39421.1
40610.1,B,M,F46,4/5/2011,BrF45-09,39524.1,39433.1
40612.1,W,M,F46,4/5/2011,BrF45-10,39518.1,39437.1
40613.1,B,F,F46,4/5/2011,BrF45-14,39532.1,39448.1
40616.1,B,F,F46,4/6/2011,BrF45-04,39544.1,39413.1
40617.1,W,F,F46,4/6/2011,BrF45-04,39544.1,39413.1
40619.1,W,F,F46,4/6/2011,BrF45-13,39522.1,39446.1
40620.1,Ag,F,F46,4/6/2011,BrF45-13,39522.1,39446.1
40614.1,B,M,F46,4/5/2011,BrF45-14,39532.1,39448.1
40615.1,Ag,M,F46,4/5/2011,BrF45-04,39544.1,39413.1
40618.1,W,M,F46,4/6/2011,BrF45-04,39544.1,39413.1
40621.1,Ag,M,F46,4/6/2011,BrF45-13,39522.1,39446.1
40622.1,W,M,F46,4/6/2011,BrF45-13,39522.1,39446.1
40623.1,B,F,F46,4/13/2011,BrF45-20,39552.1,39476.1
40625.1,B,F,F46,4/14/2011,BrF45-12,39438.1,39441.1
40627.1,Ag,F,F46,4/14/2011,BrF45-23,39488.1,39486.1
40624.1,W,M,F46,4/13/2011,BrF45-20,39552.1,39476.1
40626.1,B,M,F46,4/14/2011,BrF45-12,39438.1,39441.1
40628.1,B,M,F46,4/14/2011,BrF45-23,39488.1,39486.1
40629.1,W,F,F46,4/15/2011,BrF45-15,39546.1,39452.1
40631.1,Ag,F,F46,4/15/2011,BrF45-16,39442.1,39456.1
40633.1,W,F,F46,4/15/2011,BrF45-22,39548.1,39484.1
40635.1,B,F,F46,4/16/2011,BrF45-17,39530.1,39460.1
40630.1,B,M,F46,4/15/2011,BrF45-15,39546.1,39452.1
40632.1,B,M,F46,4/15/2011,BrF45-16,39442.1,39456.1
40634.1,B,M,F46,4/15/2011,BrF45-22,39548.1,39484.1
40636.1,W,M,F46,4/16/2011,BrF45-17,39530.1,39460.1
40637.1,B,F,F46,4/23/2011,BrF45-19,39372.1,39468.1
40639.1,B,F,F46,4/23/2011,BrF45-19,39372.1,39468.1
40641.1,Ag,F,F46,4/18/2011,BrF45-18,39373.1,39464.1
40645.1,W,F,F46,4/18/2011,BrF45-21,39568.1,39480.1
40638.1,B,M,F46,4/23/2011,BrF45-19,39372.1,39468.1
40640.1,B,M,F46,4/23/2011,BrF45-19,39372.1,39468.1
40642.1,Ag,M,F46,4/18/2011,BrF45-18,39373.1,39464.1
40644.1,W,M,F46,4/18/2011,BrF45-21,39568.1,39480.1
40646.1,B,F,F46,4/26/2011,BrF45-37,39510.1,39525.1
40648.1,W,F,F46,4/26/2011,BrF45-38,39445.1,39527.1
40650.1,Ag,F,F46,4/27/2011,BrF45-26,39526.1,39499.1
40652.1,B,F,F46,4/27/2011,BrF45-28,39492.1,39507.1
40647.1,B,M,F46,4/26/2011,BrF45-37,39510.1,39525.1
40649.1,W,M,F46,4/26/2011,BrF45-38,39445.1,39527.1
40651.1,Ag,M,F46,4/27/2011,BrF45-26,39526.1,39499.1
40653.1,Ag,M,F46,4/27/2011,BrF45-28,39492.1,39507.1
40654.1,W,F,F46,4/27/2011,BrF45-30,39496.1,39511.1
40656.1,B,F,F46,4/27/2011,BrF45-35,39516.1,39521.1
40658.1,Ag,F,F46,4/27/2011,BrF45-39,39402.1,39529.1
40661.1,B,F,F46,4/28/2011,BrF45-25,39566.1,39495.1
40655.1,W,M,F46,4/27/2011,BrF45-30,39496.1,39511.1
40657.1,B,M,F46,4/27/2011,BrF45-35,39516.1,39521.1
40659.1,Ag,M,F46,4/27/2011,BrF45-39,39402.1,39529.1
40660.1,B,M,F46,4/28/2011,BrF45-25,39566.1,39495.1
40662.1,Ag,F,F46,4/28/2011,BrF45-29,39564.1,39509.1
40664.1,W,F,F46,4/28/2011,BrF45-31,39500.1,39513.1
40666.1,B,F,F46,4/28/2011,BrF45-32,39557.1,39515.1
40668.1,Ag,F,F46,4/28/2011,BrF45-33,39449.1,39517.1
40670.1,B,F,F46,4/28/2011,BrF45-34,40068.1,39519.1
40663.1,B,M,F46,4/28/2011,BrF45-29,39564.1,39509.1
