Animal # ,CC,Sex,Gen.,DOB,Family,Sire,Dam,Sire,Dam
44029.1,Ag,F,F48,12/14/2011,BrF47-01,42067.1,42011.1,42067,42011
44030.1,(Ag)L,F,F48,12/14/2011,BrF47-01,42067.1,42011.1,42067,42011
44034.1,B,F,F48,12/14/2011,BrF47-02,42049.1,42013.1,42049,42013
44035.1,(B)L,F,F48,12/14/2011,BrF47-02,42049.1,42013.1,42049,42013
44031.1,W,M,F48,12/14/2011,BrF47-01,42067.1,42011.1,42067,42011
44032.1,B,M,F48,12/14/2011,BrF47-01,42067.1,42011.1,42067,42011
44036.1,B,M,F48,12/14/2011,BrF47-02,42049.1,42013.1,42049,42013
44037.1,(B)L,M,F48,12/14/2011,BrF47-02,42049.1,42013.1,42049,42013
44033.1,Ag,F,F48,12/14/2011,BrF47-01,42067.1,42011.1,42067,42011
44041.1,B,F,F48,12/14/2011,BrF47-03,42490.1,42052.1,42490,42052
44047.1,W,F,F48,12/14/2011,BrF47-04,42594.1,42159.1,42594,42159
44056.1,Ag,F,F48,12/12/2011,BrF47-09,42458.1,42453.1,42458,42453
44038.1,B,M,F48,12/14/2011,BrF47-02,42049.1,42013.1,42049,42013
44044.1,Ag,M,F48,12/14/2011,BrF47-03,42490.1,42052.1,42490,42052
44048.1,W,M,F48,12/14/2011,BrF47-04,42594.1,42159.1,42594,42159
44055.1,(Ag)L,M,F48,12/14/2011,BrF47-06,42588.1,42017.1,42588,42017
44061.1,(B)L,M,F48,12/12/2011,BrF47-09,42458.1,42453.1,42458,42453
44039.1,B,F,F48,12/14/2011,BrF47-03,42490.1,42052.1,42490,42052
44040.1,W,F,F48,12/14/2011,BrF47-03,42490.1,42052.1,42490,42052
44045.1,W,F,F48,12/14/2011,BrF47-04,42594.1,42159.1,42594,42159
44046.1,(B)L,F,F48,12/14/2011,BrF47-04,42594.1,42159.1,42594,42159
44042.1,W,M,F48,12/14/2011,BrF47-03,42490.1,42052.1,42490,42052
44043.1,Ag,M,F48,12/14/2011,BrF47-03,42490.1,42052.1,42490,42052
44049.1,B,M,F48,12/14/2011,BrF47-04,42594.1,42159.1,42594,42159
44050.1,(W)L,M,F48,12/14/2011,BrF47-04,42594.1,42159.1,42594,42159
44051.1,Ag,F,F48,12/14/2011,BrF47-06,42588.1,42017.1,42588,42017
44052.1,B,F,F48,12/14/2011,BrF47-06,42588.1,42017.1,42588,42017
44057.1,(Ag)L,F,F48,12/12/2011,BrF47-09,42458.1,42453.1,42458,42453
44058.1,(B)L,F,F48,12/12/2011,BrF47-09,42458.1,42453.1,42458,42453
44053.1,Ag,M,F48,12/14/2011,BrF47-06,42588.1,42017.1,42588,42017
44054.1,(Ag)L,M,F48,12/14/2011,BrF47-06,42588.1,42017.1,42588,42017
44059.1,B,M,F48,12/12/2011,BrF47-09,42458.1,42453.1,42458,42453
44060.1,Ag,M,F48,12/12/2011,BrF47-09,42458.1,42453.1,42458,42453
44101.1,B,F,F48,12/21/2011,BrF47-10,42055.1,42002.1,42055,42002
44102.1,B(L),F,F48,12/21/2011,BrF47-10,42055.1,42002.1,42055,42002
44106.1,W,F,F48,12/19/2011,BrF47-11,42482.1,42008.1,42482,42008
44107.1,W(L),F,F48,12/19/2011,BrF47-11,42482.1,42008.1,42482,42008
44103.1,B,M,F48,12/21/2011,BrF47-10,42055.1,42002.1,42055,42002
44104.1,B(L),M,F48,12/21/2011,BrF47-10,42055.1,42002.1,42055,42002
44109.1,Ag,M,F48,12/19/2011,BrF47-11,42482.1,42008.1,42482,42008
44110.1,Ag(L),M,F48,12/19/2011,BrF47-11,42482.1,42008.1,42482,42008
44105.1,W,F,F48,12/21/2011,BrF47-10,42055.1,42002.1,42055,42002
44108.1,Ag,F,F48,12/19/2011,BrF47-11,42482.1,42008.1,42482,42008
44117.1,B,F,F48,12/21/2011,BrF47-13,42047.1,42058.1,42047,42058
44123.1,W(L),F,F48,12/21/2011,BrF47-14,42862.1,42062.1,42862,42062
44129.1,(B)L,F,F48,12/21/2011,BrF47-19,42488.1,42044.1,42488,42044
44111.1,B,M,F48,12/19/2011,BrF47-11,42482.1,42008.1,42482,42008
44114.1,B,M,F48,12/21/2011,BrF47-12,42520.1,42004.1,42520,42004
44120.1,B(L),M,F48,12/21/2011,BrF47-13,42047.1,42058.1,42047,42058
44124.1,Ag,M,F48,12/21/2011,BrF47-14,42862.1,42062.1,42862,42062
44130.1,W,M,F48,12/21/2011,BrF47-19,42488.1,42044.1,42488,42044
44112.1,B,F,F48,12/21/2011,BrF47-12,42520.1,42004.1,42520,42004
44113.1,B(L),F,F48,12/21/2011,BrF47-12,42520.1,42004.1,42520,42004
44115.1,W,F,F48,12/21/2011,BrF47-13,42047.1,42058.1,42047,42058
44116.1,W(L),F,F48,12/21/2011,BrF47-13,42047.1,42058.1,42047,42058
44118.1,B,M,F48,12/21/2011,BrF47-13,42047.1,42058.1,42047,42058
