Animal #,CC,Sex,Gen,DOB,Family,Sire,Dam
45486.1,Ag,F,F49,4/13/2012,BrF48-01,44581.1,44580.1
45487.1,Ag,F,F49,4/13/2012,BrF48-01,44581.1,44580.1
45488.1,Ag,M,F49,4/13/2012,BrF48-01,44581.1,44580.1
45489.1,Ag,M,F49,4/13/2012,BrF48-01,44581.1,44580.1
45462.1,(B)L,M,F49,3/25/2012,BrF48-02,44583.1,44582.1
45460.1,W,F,F49,3/25/2012,BrF48-02,44583.1,44582.1
45461.1,W,F,F49,3/25/2012,BrF48-02,44583.1,44582.1
45463.1,B,F,F49,3/27/2012,BrF48-03,44585.1,44584.1
45464.1,W,M,F49,3/29/2012,BrF48-03,44585.1,44584.1
45465.1,B,M,F49,3/27/2012,BrF48-03,44585.1,44584.1
45301.1,B,F,F49,3/8/2012,BrF48-04,44114.1,43975.1
45302.1,Ag,M,F49,3/8/2012,BrF48-04,44114.1,43975.1
45303.1,B,M,F49,3/8/2012,BrF48-04,44114.1,43975.1
45328.1,(B)L,F,F49,3/9/2012,BrF48-05,44159.1,43954.1
45329.1,(B)L,F,F49,3/9/2012,BrF48-05,44159.1,43954.1
45330.1,(B)L,M,F49,3/9/2012,BrF48-05,44159.1,43954.1
45334.1,Ag,F,F49,3/9/2012,BrF48-06,44322.1,44010.1
45335.1,(B)L,F,F49,3/9/2012,BrF48-06,44322.1,44010.1
45336.1,B,M,F49,3/9/2012,BrF48-06,44322.1,44010.1
45304.1,W,F,F49,3/7/2012,BrF48-07,44130.1,43967.1
45305.1,(W)L,F,F49,3/7/2012,BrF48-07,44130.1,43967.1
45306.1,W,M,F49,3/8/2012,BrF48-07,44130.1,43967.1
45337.1,(Ag)L,F,F49,3/9/2012,BrF48-08,44151.1,43949.1
45338.1,(B)L,M,F49,3/9/2012,BrF48-08,44151.1,43949.1
45339.1,(Ag)L,M,F49,3/9/2012,BrF48-08,44151.1,43949.1
45333.1,B,F,F49,3/9/2012,BrF48-09,44163.1,43986.1
45331.1,Ag,M,F49,3/9/2012,BrF48-09,44163.1,43986.1
45332.1,W,F,F49,3/9/2012,BrF48-09,44163.1,43986.1
45307.1,Ag,F,F49,3/8/2012,BrF48-10,44199.1,43976.1
45308.1,(Ag)L,M,F49,3/8/2012,BrF48-10,44199.1,43976.1
45309.1,(Ag)L,M,F49,3/8/2012,BrF48-10,44199.1,43976.1
45310.1,(B)L,F,F49,3/7/2012,BrF48-11,44152.1,43969.1
45311.1,Ag,F,F49,3/7/2012,BrF48-11,44152.1,43969.1
45312.1,B,M,F49,3/7/2012,BrF48-11,44152.1,43969.1
45422.1,W,M,F49,3/29/2012,BrF48-12,44143.1,43955.1
45423.1,B,M,F49,3/29/2012,BrF48-12,44143.1,43955.1
45421.1,B,F,F49,3/29/2012,BrF48-12,44143.1,43955.1
45313.1,Ag,F,F49,3/8/2012,BrF48-13,44175.1,44003.1
45314.1,W,M,F49,3/8/2012,BrF48-13,44175.1,44003.1
45315.1,W,M,F49,3/8/2012,BrF48-13,44175.1,44003.1
45350.1,(Ag)L,F,F49,3/16/2012,BrF48-14,43999.1,44011.1
45351.1,(Ag)L,M,F49,3/16/2012,BrF48-14,43999.1,44011.1
45316.1,(Ag)L,F,F49,3/8/2012,BrF48-15,44176.1,44012.1
45317.1,(Ag)L,F,F49,3/8/2012,BrF48-15,44176.1,44012.1
45318.1,Ag,M,F49,3/8/2012,BrF48-15,44176.1,44012.1
45319.1,(Ag)L,F,F49,3/6/2012,BrF48-16,44144.1,43995.1
45320.1,(Ag)L,M,F49,3/6/2012,BrF48-16,44144.1,43995.1
45321.1,W,M,F49,3/6/2012,BrF48-16,44144.1,43995.1
45322.1,B,F,F49,3/8/2012,BrF48-17,44323.1,43987.1
45323.1,B,F,F49,3/8/2012,BrF48-17,44323.1,43987.1
45324.1,B,M,F49,3/6/2012,BrF48-17,44323.1,43987.1
45325.1,Ag,F,F49,3/7/2012,BrF48-18,44044.1,44047.1
45326.1,(W)L,M,F49,3/7/2012,BrF48-18,44044.1,44047.1
45327.1,Ag,M,F49,3/7/2012,BrF48-18,44044.1,44047.1
45353.1,B,F,F49,3/15/2012,BrF48-20,44142.1,44101.1
45354.1,W,F,F49,3/15/2012,BrF48-20,44142.1,44101.1
45352.1,Ag,M,F49,3/16/2012,BrF48-20,44142.1,44101.1
45355.1,W,M,F49,3/15/2012,BrF48-20,44142.1,44101.1
45356.1,Ag,F,F49,3/16/2012,BrF48-21,44150.1,44051.1
45357.1,(Ag)L,M,F49,3/16/2012,BrF48-21,44150.1,44051.1
45358.1,B,M,F49,3/16/2012,BrF48-21,44150.1,44051.1
45340.1,W,F,F49,3/13/2012,BrF48-22,44135.1,43968.1
45341.1,W,M,F49,3/13/2012,BrF48-22,44135.1,43968.1
45342.1,Ag,M,F49,3/13/2012,BrF48-22,44135.1,43968.1
45359.1,(W)L,F,F49,3/15/2012,BrF48-23,44036.1,44192.1
45360.1,(B)L,F,F49,3/15/2012,BrF48-23,44036.1,44192.1
45361.1,(B)L,M,F49,3/15/2012,BrF48-23,44036.1,44192.1
45362.1,Ag,F,F49,3/15/2012,BrF48-24,44032.1,44166.1
45363.1,W,F,F49,3/15/2012,BrF48-24,44032.1,44166.1
45364.1,W,M,F49,3/15/2012,BrF48-24,44032.1,44166.1
45365.1,B,F,F49,3/15/2012,BrF48-25,44189.1,44179.1
45366.1,Ag,M,F49,3/15/2012,BrF48-25,44189.1,44179.1
45367.1,B,M,F49,3/15/2012,BrF48-25,44189.1,44179.1
45418.1,W,F,F49,3/16/2012,BrF48-26,44061.1,44160.1
45419.1,W,F,F49,3/16/2012,BrF48-26,44061.1,44160.1
45420.1,W,M,F49,3/17/2012,BrF48-26,44061.1,44160.1
45368.1,(B)L,F,F49,3/15/2012,BrF48-27,44133.1,44172.1
45369.1,(B)L,F,F49,3/15/2012,BrF48-27,44133.1,44172.1
45378.1,(W)L,F,F49,3/15/2012,BrF48-28,44169.1,44326.1
45373.1,(W)L,F,F49,3/15/2012,BrF48-28,44169.1,44326.1
45374.1,W,M,F49,3/15/2012,BrF48-28,44169.1,44326.1
45370.1,(Ag)L,M,F49,3/14/2012,BrF48-30,44120.1,44314.1
45371.1,(B)L,M,F49,3/14/2012,BrF48-30,44120.1,44314.1
45372.1,W,F,F49,3/14/2012,BrF48-30,44120.1,44314.1
454940.1,W,F,F49,4/29/2012,BrF48-31,44048.1,44123.1
45495.1,W,M,F49,4/29/2012,BrF48-31,44048.1,44123.1
45343.1,B,F,F49,3/13/2012,BrF48-32,44103.1,44145.1
45344.1,W,F,F49,3/13/2012,BrF48-32,44103.1,44145.1
45345.1,B,M,F49,3/13/2012,BrF48-32,44103.1,44145.1
45375.1,Ag,F,F49,3/15/2012,BrF48-33,44042.1,44056.1
45376.1,(W)L,M,F49,3/15/2012,BrF48-33,44042.1,44056.1
45377.1,Ag,M,F49,3/15/2012,BrF48-33,44042.1,44056.1
45379.1,B,F,F49,3/15/2012,BrF48-34,44193.1,44156.1
45380.1,B,M,F49,3/15/2012,BrF48-34,44193.1,44156.1
45381.1,?,M,F49,3/15/2012,BrF48-34,44193.1,44156.1
45382.1,Ag,F,F49,3/16/2012,BrF48-35,44110.1,44178.1
45383.1,Ag,F,F49,3/16/2012,BrF48-35,44110.1,44178.1
45384.1,Ag,M,F49,3/16/2012,BrF48-35,44110.1,44178.1
45396.1,Ag,F,F49,3/15/2012,BrF48-36,44325.1,44129.1
45394.1,Ag,M,F49,3/15/2012,BrF48-36,44325.1,44129.1
45395.1,W,M,F49,3/15/2012,BrF48-36,44325.1,44129.1
45385.1,B,F,F49,3/16/2012,BrF48-37,44053.1,44102.1
45386.1,B,M,F49,3/16/2012,BrF48-37,44053.1,44102.1
45387.1,(Ag)L,M,F49,3/16/2012,BrF48-37,44053.1,44102.1
45397.1,B,F,F49,3/16/2012,BrF48-38,44316.1,44035.1
45398.1,(W)L,F,F49,3/16/2012,BrF48-38,44316.1,44035.1
45399.1,(W)L,M,F49,3/16/2012,BrF48-38,44316.1,44035.1
45400.1,(Ag)L,M,F49,3/16/2012,BrF48-39,44125.1,44117.1
45416.1,B,M,F49,3/16/2012,BrF48-39,44125.1,44117.1
45417.1,B,F,F49,3/16/2012,BrF48-39,44125.1,44117.1
45346.1,Ag,F,F49,3/14/2012,BrF48-41,44043.1,44045.1
45347.1,(W)L,F,F49,3/14/2012,BrF48-41,44043.1,44045.1
45348.1,(B)L,M,F49,3/14/2012,BrF48-41,44043.1,44045.1
45388.1,W,F,F49,3/16/2012,BrF48-42,44131.1,44161.1
45389.1,W,F,F49,3/16/2012,BrF48-42,44131.1,44161.1
45390.1,W,M,F49,3/16/2012,BrF48-42,44131.1,44161.1
45391.1,(B)L,M,F49,3/15/2012,BrF48-43,44153.1,44167.1
45392.1,W,F,F49,3/15/2012,BrF48-43,44153.1,44167.1
45393.1,W,F,F49,3/15/2012,BrF48-43,44153.1,44167.1
45425.1,(B)L,M,F49,3/28/2012,BrF48-44,44200.1,43977.1
45426.1,(B)L,M,F49,3/28/2012,BrF48-44,44200.1,43977.1
45424.1,(B)L,F,F49,3/28/2012,BrF48-44,44200.1,43977.1
45429.1,B,M,F49,3/28/2012,BrF48-45,44182.1,44184.1
45427.1,W,F,F49,3/28/2012,BrF48-45,44182.1,44184.1
45428.1,(B)L,F,F49,3/28/2012,BrF48-45,44182.1,44184.1
45430.1,Ag,F,F49,3/27/2012,BrF48-46,44148.1,44057.1
45432.1,Ag,M,F49,3/27/2012,BrF48-46,44148.1,44057.1
45431.1,B,F,F49,3/27/2012,BrF48-46,44148.1,44057.1
45435.1,W,M,F49,3/28/2012,BrF48-47,44320.1,44190.1
45433.1,(W)L,F,F49,3/28/2012,BrF48-47,44320.1,44190.1
45434.1,Ag,F,F49,3/28/2012,BrF48-47,44320.1,44190.1
45440.1,(W)L,M,F49,3/29/2012,BrF48-48,44538.1,44113.1
45441.1,(B)L,M,F49,3/29/2012,BrF48-48,44538.1,44113.1
45439.1,B,F,F49,3/29/2012,BrF48-48,44538.1,44113.1
45475.1,Ag,F,F49,3/31/2012,BrF48-49,44358.1,44029.1
45476.1,Ag,F,F49,3/31/2012,BrF48-49,44358.1,44029.1
45477.1,(W)L,M,F49,3/31/2012,BrF48-49,44358.1,44029.1
45438.1,B,M,F49,3/26/2012,BrF48-50,44361.1,43956.1
45436.1,(B)L,F,F49,3/26/2012,BrF48-50,44361.1,43956.1
45437.1,(B)L,F,F49,3/26/2012,BrF48-50,44361.1,43956.1
45442.1,(B)L,F,F49,3/28/2012,BrF48-51,44007.1,44545.1
45443.1,(B)L,F,F49,3/28/2012,BrF48-51,44007.1,44545.1
45444.1,B,M,F49,3/28/2012,BrF48-51,44007.1,44545.1
45445.1,Ag,F,F49,3/28/2012,BrF48-52,43953.1,44530.1
45446.1,W,M,F49,3/28/2012,BrF48-52,43953.1,44530.1
45447.1,W,M,F49,3/28/2012,BrF48-52,43953.1,44530.1
45469.1,W,F,F49,3/30/2012,BrF48-54,43952.1,44529.1
45470.1,B,M,F49,3/30/2012,BrF48-54,43952.1,44529.1
45471.1,W,M,F49,3/30/2012,BrF48-54,43952.1,44529.1
99999.1,(W)L,F,F49,3/30/2012,BrF48-55,44501.1,44528.1
45472.1,(W)L,F,F49,3/30/2012,BrF48-55,44501.1,44528.1
45474.1,Ag,M,F49,3/30/2012,BrF48-55,44501.1,44528.1
45448.1,Ag,F,F49,3/28/2012,BrF48-56,44124.1,44359.1
45450.1,Ag,M,F49,3/28/2012,BrF48-56,44124.1,44359.1
45449.1,Ag,F,F49,3/28/2012,BrF48-56,44124.1,44359.1
45452.1,(W)L,M,F49,3/27/2012,BrF48-57,44006.1,44355.1
45451.1,B,F,F49,3/27/2012,BrF48-57,44006.1,44355.1
45453.1,(B)L,M,F49,3/27/2012,BrF48-57,44006.1,44355.1
45454.1,W,F,F49,3/28/2012,BrF48-58,44021.1,43994.1
45455.1,(Ag)L,F,F49,3/28/2012,BrF48-58,44021.1,43994.1
45456.1,Ag,M,F49,3/28/2012,BrF48-58,44021.1,43994.1
45457.1,(B)L,F,F49,3/27/2012,BrF48-59,44022.1,44319.1
45458.1,W,M,F49,3/27/2012,BrF48-59,44022.1,44319.1
45459.1,W,M,F49,3/27/2012,BrF48-59,44022.1,44319.1
45466.1,(W)L,F,F49,3/29/2012,BrF48-60,44134.1,44360.1
45467.1,(W)L,F,F49,3/29/2012,BrF48-60,44134.1,44360.1
45468.1,Ag,M,F49,3/29/2012,BrF48-60,44134.1,44360.1
45479.1,(Ag)L,M,F49,3/29/2012,BrF48-61,44187.1,44544.1
45478.1,Ag,F,F49,3/29/2012,BrF48-61,44187.1,44544.1
45480.1,Ag,M,F49,3/29/2012,BrF48-61,44187.1,44544.1
45484.1,(Ag)L,F,F49,3/30/2012,BrF48-62,44109.1,44543.1
45485.1,Ag,F,F49,3/30/2012,BrF48-62,44109.1,44543.1
45481.1,B,F,F49,3/30/2012,BrF48-63,44120.1,44196.1
45482.1,B,F,F49,3/30/2012,BrF48-63,44120.1,44196.1
45483.1,(Ag)L,M,F49,3/30/2012,BrF48-63,44120.1,44196.1
