Animal #,CC,Sex,Gen,DOB,Family,Sire,Dam,Sire,Dam,Home.Cage
49381.1,AGL,F,F53,30-Apr,BrF52-35,50136.1,50177.1,50136,50177,F53-15
50077.1,BR,F,F53,26-Apr,BrF52-25,50104.1,50171.1,50104,50171,F53-13
50079.1,AGL,F,F53,26-Apr,BrF52-32,49496.1,50301.1,49496,50301,F53-13
50081.1,WL,F,F53,26-Apr,BrF52-33,49460.1,50339.1,49460,50339,F53-13
50083.1,WR,F,F53,27-Apr,BrF52-3,50196.1,49429.1,50196,49429,F53-13
50087.1,WL,F,F53,27-Apr,BrF52-29,50110.1,50233.1,50110,50233,F53-15
50089.1,BR,F,F53,27-Apr,BrF52-20,50222.1,50139.1,50222,50139,F53-15
50091.1,BL,F,F53,27-Apr,BrF52-20,50222.1,50139.1,50222,50139,F53-13
50093.1,AGR,F,F53,26-Apr,BrF52-26,50130.1,50199.1,50130,50199,F53-15
50097.1,WR,F,F53,3-May,BrF52-34,49478.1,50173.1,49478,50173,F53-15
50321.1,WR,F,F53,24-Apr,BrF52-7,50224.1,49477.1,50224,49477,F53-01
50477.1,AGL,F,F53,25-Apr,BrF52-1,49484.1,49441.1,49484,49441,F53-01
50481.1,BL,F,F53,25-Apr,BrF52-4,50244.1,49443.1,50244,49443,F53-01
50483.1,BR,F,F53,24-Apr,BrF52-6,49480.1,49473.1,49480,49473,F53-01
50489.1,WR,F,F53,24-Apr,BrF52-7,50224.1,49477.1,50224,49477,F53-01
50493.1,WR,F,F53,25-Apr,BrF52-10,50160.1,49481.1,50160,49481,F53-03
50495.1,WL,F,F53,25-Apr,BrF52-11,50256.1,49483.1,50256,49483,F53-03
50499.1,AGL,F,F53,24-Apr,BrF52-14,50240.1,49495.1,50240,49495,F53-03
50705.1,AGR,F,F53,25-Apr,BrF52-16,50192.1,50127.1,50192,50127,F53-03
50711.1,WR,F,F53,24-Apr,BrF52-22,49434.1,50157.1,49434,50157,F53-05
50713.1,BR,F,F53,23-Apr,BrF52-27,50116.1,50203.1,50116,50203,F53-03
50717.1,AGR,F,F53,25-Apr,BrF52-24,50184.1,50145.1,50184,50145,F53-05
50721.1,AGR,F,F53,25-Apr,BrF52-24,50184.1,50145.1,50184,50145,F53-05
50725.1,BL,F,F53,25-Apr,BrF52-28,49500.1,50219.1,49500,50219,F53-05
50727.1,WL,F,F53,24-Apr,BrF52-30,49428.1,50261.1,49428,50261,F53-05
50733.1,BR,F,F53,25-Apr,BrF52-31,49438.1,50273.1,49438,50273,F53-07
50737.1,AGL,F,F53,26-Apr,BrF52-12,50272.1,49491.1,50272,49491,F53-07
50739.1,WL,F,F53,26-Apr,BrF52-13,50200.1,50109.1,50200,50109,F53-07
50743.1,BL,F,F53,26-Apr,BrF52-15,50108.1,50128.1,50108,50128,F53-07
50747.1,BL,F,F53,26-Apr,BrF52-15,50108.1,50128.1,50108,50128,F53-07
50751.1,WL,F,F53,26-Apr,BrF52-17,50214.1,50120.1,50214,50120,F53-09
