ID,CC,Sex,Gen,DOB,Fam.ID,Sire,Dam,Sire,Dam,,,
51679.1,WR,F,F54,5-Sep,BrF53-1,51206.1,50477.1,51206,50477,,,
51675.1,AGL,F,F54,6-Sep,BrF53-4,50476.1,50743.1,50476,50743,,,
51685.1,WL,F,F54,3-Sep,BrF53-5,50726.1,50733.1,50726,50733,,,
51671.1,BL,F,F54,2-Sep,BrF53-22,50748.1,51249.1,50748,51249,,,
51667.1,BR,F,F54,2-Sep,BrF53-27,49378.1,51267.1,49378,51267,,,
51744.1,BR,M,F54,5-Sep,BrF53-20,50498.1,51255.1,50498,51255,,,
51740.1,WR,M,F54,5-Sep,BrF53-21,50762.1,51261.1,50762,51261,,,
51754.1,WL,M,F54,6-Sep,BrF53-28,51222.1,51271.1,51222,51271,,,
51750.1,L,M,F54,6-Sep,BrF53-29,50480.1,51287.1,50480,51287,,,
51736.1,AGR,M,F54,5-Sep,BrF53-32,51226.1,51365.1,51226,51365,,,
51769.1,WR,F,F54,6-Sep,BrF53-2,50088.1,50725.1,50088,50725,,,
51773.1,BR,F,F54,6-Sep,BrF53-3,51212.1,50721.1,51212,50721,,,
51777.1,AGL,F,F54,6-Sep,BrF53-12,50714.1,50077.1,50714,50077,,,
51781.1,AGL,F,F54,6-Sep,BrF53-18,50766.1,51217.1,50766,51217,,,
51783.1,BL,F,F54,6-Sep,BrF53-18,50766.1,51217.1,50766,51217,,,
51758.1,WR,M,F54,6-Sep,BrF53-2,50088.1,50725.1,50088,50725,,,
51762.1,WL,M,F54,6-Sep,BrF53-3,51212.1,50721.1,51212,50721,,,
51766.1,AGR,M,F54,6-Sep,BrF53-12,50714.1,50077.1,50714,50077,,,
51768.1,AGR,M,F54,6-Sep,BrF53-12,50714.1,50077.1,50714,50077,,,
51772.1,BR,M,F54,6-Sep,BrF53-18,50766.1,51217.1,50766,51217,,,
51793.1,WL,F,F54,4-Sep,BrF53-7,50098.1,50747.1,50098,50747,,,
51787.1,WR,F,F54,6-Sep,BrF53-26,50084.1,51273.1,50084,51273,,,
51789.1,BL,F,F54,6-Sep,BrF53-26,50084.1,51273.1,50084,51273,,,
51797.1,WRL,F,F54,8-Sep,BrF53-33,50096.1,51451.1,50096,51451,,,
51780.1,AGR,M,F54,4-Sep,BrF53-7,50098.1,50747.1,50098,50747,,,
51776.1,BR,M,F54,6-Sep,BrF53-26,50084.1,51273.1,50084,51273,,,
51784.1,WR,M,F54,8-Sep,BrF53-33,50096.1,51451.1,50096,51451,,,
51786.1,WR,M,F54,8-Sep,BrF53-33,50096.1,51451.1,50096,51451,,,
51803.1,AGL,F,F54,13-Sep,BrF53-13,50488.1,50093.1,50488,50093,,,
51809.1,WR,F,F54,23-Sep,BrF53-25,50776.1,51269.1,50776,51269,,,
51796.1,AGL,M,F54,13-Sep,BrF53-13,50488.1,50093.1,50488,50093,,,
51798.1,AGL,M,F54,13-Sep,BrF53-13,50488.1,50093.1,50488,50093,,,
51806.1,WL,M,F54,23-Sep,BrF53-25,50776.1,51269.1,50770,51269,,,
51821.1,BL,F,F54,22-Oct,BrF53-53,51246.1,51333.1,51246,51333,,,
51837.1,WR,F,F54,23-Oct,BrF53-54,51310.1,51325.1,51310,51325,,,
51825.1,AGL,F,F54,22-Oct,BrF53-57,51260.1,51369.1,51260,51369,,,
51827.1,WL,F,F54,22-Oct,BrF53-62,50080.1,51389.1,50080,51389,,,
51817.1,AGR,F,F54,21-Oct,BrF53-63,51214.1,51397.1,51214,51397,,,
51808.1,BR,M,F54,4-Sep,BrF53-5,50718.1,51323.1,50718,51323,,,
51818.1,BL,M,F54,22-Oct,BrF53-53,51246.1,51333.1,51246,51333,,,
51822.1,AGL,M,F54,22-Oct,BrF53-57,51260.1,51369.1,51260,51369,,,
51824.1,AGL,M,F54,22-Oct,BrF53-57,51260.1,51369.1,51260,51369,,,
51814.1,AGR,M,F54,21-Oct,BrF53-63,51214.1,51397.1,51214,51397,,,
51835.1,AGR,F,F54,22-Oct,BrF53-39,51322.1,50717.1,51322,50717,,,
51851.1,AGL,F,F54,23-Oct,BrF53-43,50734.1,49381.1,50734,49381,,,
51841.1,R,F,F54,23-Oct,BrF53-52,51238.1,51317.1,51238,51317,,,
51843.1,WR,F,F54,23-Oct,BrF53-54,51310.1,51325.1,51310,51325,,,
51849.1,BL,F,F54,22-Oct,BrF53-58,50800.1,51373.1,50800,51373,,,
51670.1,WR,M,F54,5-Sep,BrF53-1,51206.1,50477.1,51206,50477,,,
51668.1,AGL,M,F54,6-Sep,BrF53-4,50476.1,50743.1,50476,50743,,,
51674.1,WL,M,F54,3-Sep,BrF53-5,50726.1,50733.1,50726,50733,,,
51664.1,BL,M,F54,2-Sep,BrF53-22,50748.1,51249.1,50748,51249,,,
51658.1,BR,M,F54,2-Sep,BrF53-27,49378.1,51267.1,49378,51267,,,
51834.1,AGR,M,F54,22-Oct,BrF53-39,51322.1,50717.1,51322,50717,,,
51844.1,AGL,M,F54,23-Oct,BrF53-52,51238.1,51317.1,51238,51317,,,
51838.1,WR,M,F54,23-Oct,BrF53-54,51310.1,51325.1,51310,51325,,,
51830.1,BL,M,F54,22-Oct,BrF53-60,51290.1,51379.1,51290,51379,,,
51826.1,BR,M,F54,22-Oct,BrF53-62,50080.1,51389.1,50080,51389,,,
51861.1,AGR,F,F54,23-Oct,BrF53-38,51278.1,50727.1,51278,50727,,,
51855.1,AGL,F,F54,23-Oct,BrF53-43,50734.1,49381.1,50734,49381,,,
51869.1,BR,F,F54,23-Oct,BrF53-45,51286.1,51213.1,51286,51213,,,
51859.1,WL,F,F54,23-Oct,BrF53-48,51282.1,51235.1,51282,51235,,,
51862.1,WR,M,F54,23-Oct,BrF53-38,51278.1,50727.1,51278,50727,,,
51852.1,AGR,M,F54,23-Oct,BrF53-43,50734.1,49381.1,50734,49381,,,
51856.1,BL,M,F54,23-Oct,BrF53-48,51282.1,51235.1,51282,51235,,,
51846.1,BR,M,F54,22-Oct,BrF53-58,50800.1,51373.1,50800,51373,,,
51848.1,BR,M,F54,22-Oct,BrF53-58,50800.1,51373.1,50800,51373,,,
51885.1,WL,F,F54,26-Oct,BrF53-35,51640.1,50489.1,51640,50489,,,
51887.1,WL,F,F54,26-Oct,BrF53-35,51640.1,50489.1,51640,50489,,,
51879.1,BR,F,F54,25-Oct,BrF53-36,51340.1,50495.1,51340,50495,,,
51873.1,AGR,F,F54,25-Oct,BrF53-44,51326.1,50087.1,51326,50087,,,
51865.1,WRL,F,F54,24-Oct,BrF53-49,51292.1,51231.1,51292,51231,,,
