Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain,
17260,B,M,F11,8/17/1998,M,15336,15426,15426,C5,,,11/10/1999,17310,,,C1,
17310,W,F,F11,8/19/1998,W,15308,15410,15410,C4,,,11/10/1999,17260,,,C1,
17311,W,M,F11,8/19/1998,W,15308,15410,15410,C4,,,11/10/1999,17474,,, C6,
17327,B,F,F11,8/19/1998,W,15396,15305,15305,C6,,,11/10/1999,17416,,,C5,
17328,B,F,F11,8/19/1998,W,15459,15211,15211,C7,,,11/10/1999,17568,,,C12,
17335,W,M,F11,8/19/1998,W,15459,15211,15211,C7,,,11/13/1999,17602,,,C15,
17390,T,M,F11,8/22/1998,Sa,15352,15287,15287,C3,,,11/20/1999,17818,,,C24,
17397,T,F,F11,8/22/1998,Sa,15472,15299,15299,C8,,,11/13/1999,17681,,,C19,
17409,W,M,F11,8/22/1998,Sa,15526,15375,15375,C15,,,11/13/1999,17683,,,C17,
17410,W,F,F11,8/22/1998,Sa,15526,15375,15375,C15,,,11/10/1999,17473,,,C8,
17416,W,M,F11,8/23/1998,Su,15212,15534,15534,C9,,,11/10/1999,17327,,,C5,
17423,B,F,F11,8/23/1998,Su,15212,15534,15534,C9,9/13/1998,,11/10/1999,17498,,,C9,
17461,B,F,F11,8/25/1998,Tu,15569,15622,15622,C18,,,11/23/1999,17887,,,C32,
17462,W,M,F11,8/25/1998,Tu,15569,15622,15622,C18,,,11/10/1999,17574,,,C11,
17464,T,F,F11,8/25/1998,Tu,15367,15641,15641,C22,,,11/13/1999,17637,,,C16,
17473,W,M,F11,8/25/1998,Tu,15649,15345,15345,C23,,,11/10/1999,17410,,,C8,
17474,W,F,F11,8/25/1998,Tu,15649,15345,15345,C23,,,11/10/1999,17311,,,C6,
17498,B,M,F11,8/26/1998,W,15243,15566,15566,C10,,,11/10/1999,17423,,,C9,
