Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Strain,Dead,Nec.,Mated,To,Toe-Clip,Weaned,Strain
29006,W,M,F17,7/11/2000,Tu,27164,27449,27449,C10,,,10/18/2000,29114,,,C2
29007,W,F,F17,7/11/2000,Tu,27164,27449,27449,C10,,,10/18/2000,29122,   ,,C7
29009,B,M,F17,7/11/2000,Tu,27534,27180,27180,C14,,,10/18/2000,29222,,,C11
29012,B,F,F17,7/11/2000,Tu,27486,27664,27180,C22,,,10/18/2000,29224,,,C20
29013,B,M,F17,7/11/2000,Tu,27486,27664,27664,C22,,,10/18/2000,29076,,,C3
29016,B,F,F17,7/11/2000,Tu,27534,27180,27664,C14,,,10/18/2000,29093,,,C5
29021,B,F,F17,7/11/2000,Tu,27658,27306,27306,C23,,,10/18/2000,29157,,,C9
29022,B,M,F17,7/11/2000,Tu,27658,27306,27306,C23,,,10/18/2000,29243,,,C12
29030,B,M,F17,7/11/2000,Tu,27326,27716,27716,C26,,,10/18/2000,29316,,,C26
29033,W,F,F17,7/11/2000,Tu,27326,27716,27716,C26,,,10/18/2000,29612,,,C39
29038,B,F,F17,7/11/2000,Tu,27518,27823,27823,C34,,,10/18/2000,29104,,,C6
29043,W,F,F17,7/11/2000,Tu,27326,27716,27823,C26,,,10/18/2000,29229,,,C21
29049,B,M,F17,7/11/2000,Tu,27788,27473,27473,C38,,,10/18/2000,29216,,,C13
29050,B,F,F17,7/11/2000,Tu,27788,27473,27473,C38,,,10/18/2000,29259,,,C23
29055,B,F,F17,7/11/2000,Tu,27658,27306,27473,C23,,,10/19/2000,29795,,,C59
29076,,F,F17,7/12/2000,W,27718,27578,27166,C27,,,10/18/2000,29013,,,C3
29091,W,M,F17,7/12/2000,W,27803,27529,27403,C39,,,10/18/2000,29266,,,C14
29093,W,M,F17,7/12/2000,W,27718,27578,27578,C27,,,10/18/2000,29016,,,C5
29104,B,M,F17,7/12/2000,W,27735,27173,27173,C28,,,10/18/2000,29038,,,C6
29105,B,F,F17,7/12/2000,W,27735,27173,27173,C28,,,10/18/2000,29149,,,C8
29108,W,M,F17,7/12/2000,W,27639,27445,27173,C19,,,10/18/2000,29284,,,C15
