Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Family
1762.1,,M,F36,9/18/2007,,1181.1,1202.1,,BrF35-17
1764.1,,F,F36,9/18/2007,,1181.1,1202.1,,BrF35-17
1769.1,,F,F36,9/18/2007,,1181.1,1202.1,,BrF35-17
1787.1,,M,F36,9/19/2007,,1678.1,1307.1,,BrF35-1
1789.1,,F,F36,9/19/2007,,1590.1,1715.1,,BrF35-2
1791.1,,F,F36,9/19/2007,,1678.1,1307.1,,BrF35-1
1794.1,,M,F36,9/19/2007,,1590.1,1715.1,,BrF35-2
1795.1,,M,F36,9/19/2007,,1590.1,1715.1,,BrF35-2
1796.1,,F,F36,9/19/2007,,1590.1,1715.1,,BrF35-2
1801.1,,M,F36,9/19/2007,,1518.1,1600.1,,BrF35-4
1804.1,,M,F36,9/19/2007,,1518.1,1600.1,,BrF35-4
1807.1,,F,F36,9/19/2007,,1518.1,1600.1,,BrF35-4
1811.1,,F,F36,9/19/2007,,1724.1,1244.1,,BrF35-9
1812.1,,F,F36,9/19/2007,,1724.1,1244.1,,BrF35-9
1814.1,,F,F36,9/19/2007,,1356.1,1164.1,,BrF35-19
1816.1,,M,F36,9/19/2007,,1356.1,1164.1,,BrF35-19
1825.1,,F,F36,9/19/2007,,1533.1,16901.1,,BrF35-22
1827.1,,M,F36,9/19/2007,,1533.1,16901.1,,BrF35-22
1828.1,,M,F36,9/19/2007,,1533.1,16901.1,,BrF35-22
1832.1,,F,F36,9/19/2007,,1237.1,1559.1,,BrF35-23
1834.1,,F,F36,9/19/2007,,1237.1,1559.1,,BrF35-23
1837.1,,M,F36,9/19/2007,,1237.1,1559.1,,BrF35-23
1839.1,,M,F36,9/19/2007,,1720.1,1592.1,,BrF35-27
1842.1,,F,F36,9/19/2007,,1720.1,1592.1,,BrF35-27
1843.1,,M,F36,9/19/2007,,1553.1,1289.1,,BrF35-38
1845.1,,M,F36,9/19/2007,,1553.1,1289.1,,BrF35-38
1851.1,,F,F36,9/19/2007,,1528.1,1521.1,,BrF35-38
1852.1,,F,F36,9/19/2007,,1528.1,1521.1,,BrF35-38
1855.1,,M,F36,9/19/2007,,1702.1,1674.1,,BrF35-40
1858.1,,F,F36,9/19/2007,,1702.1,1674.1,,BrF35-40
1860.1,,M,F36,9/19/2007,,1702.1,1674.1,,BrF35-40
1888.1,,M,F36,9/20/2007,,1139.1,1524.1,,BrF35-3
1889.1,,F,F36,9/20/2007,,1139.1,1524.1,,BrF35-3
1894.1,,F,F36,9/20/2007,,1336.1,1576.1,,BrF35-11
1895.1,,M,F36,9/20/2007,,1336.1,1576.1,,BrF35-11
1897.1,,M,F36,9/20/2007,,1336.1,1576.1,,BrF35-11
1905.1,,M,F36,9/20/2007,,1217.1,1541.1,,BrF35-14
1912.1,,M,F36,9/20/2007,,1287.1,1380.1,,BrF35-26
1913.1,,F,F36,9/20/2007,,1287.1,1380.1,,BrF35-26
1915.1,,F,F36,9/20/2007,,1287.1,1380.1,,BrF35-26
1919.1,,M,F36,9/20/2007,,16905.1,1516.1,,BrF35-45
1922.1,,F,F36,9/20/2007,,16905.1,1516.1,,BrF35-45
1925.1,,F,F36,9/20/2007,,16905.1,1516.1,,BrF35-45
1926.1,,M,F36,9/20/2007,,16905.1,1516.1,,BrF35-45
1931.1,,F,F36,9/20/2007,,1166.1,1536.1,,BrF35-48
1933.1,,M,F36,9/20/2007,,1166.1,1536.1,,BrF35-48
1938.1,,F,F36,9/20/2007,,1166.1,1536.1,,BrF35-48
1942.1,,M,F36,9/21/2007,,1668.1,1704.1,,BrF35-10
1947.1,,F,F36,9/21/2007,,1668.1,1704.1,,BrF35-10
1949.1,,F,F36,9/21/2007,,1668.1,1704.1,,BrF35-10
1994.1,,F,F36,9/24/2007,,1338.1,1216.1,,BrF35-47
1952.1,,M,F36,9/21/2007,,1668.1,1704.1,,BrF35-10
1953.1,,M,F36,9/21/2007,,1265.1,1337.1,,BrF35-16
1954.1,,F,F36,9/21/2007,,1265.1,1337.1,,BrF35-16
1956.1,,F,F36,9/21/2007,,1589.1,1667.1,,BrF35-30
1957.1,,M,F36,9/21/2007,,1589.1,1667.1,,BrF35-30
1995.1,,F,F36,9/24/2007,,1338.1,1216.1,,BrF35-47
1961.1,,M,F36,9/21/2007,,1589.1,1667.1,,BrF35-30
1965.1,,F,F36,9/22/2007,,1317.1,1297.1,,BrF35-6
1968.1,,F,F36,9/22/2007,,1317.1,1297.1,,BrF35-6
1971.1,,M,F36,9/22/2007,,1317.1,1297.1,,BrF35-6
1974.1,,M,F36,9/21/2007,,1378.1,1133.1,,BrF35-39
1975.1,,F,F36,9/21/2007,,1378.1,1133.1,,BrF35-39
1979.1,,F,F36,9/21/2007,,1378.1,1133.1,,BrF35-39
1984.1,,M,F36,9/21/2007,,1461.1,1286.1,,BrF35-52
1985.1,,M,F36,9/21/2007,,1461.1,1286.1,,BrF35-52
1988.1,,F,F36,9/21/2007,,1461.1,1286.1,,BrF35-52
1990.1,,M,F36,9/24/2007,,1338.1,1216.1,,BrF35-47
2000.1,,M,F36,9/24/2007,,1338.1,1216.1,,BrF35-47
2001.1,,F,F36,9/26/2007,,1271.1,1584.1,,BrF35-21
2002.1,,F,F36,9/26/2007,,1601.1,1305.1,,BrF35-42
2004.1,,F,F36,10/4/2007,,1320.1,1259.1,,BrF35-32
2020.1,,F,F36,9/25/2007,,1288.1,1214.1,,BrF35-50
2012.1,,F,F36,9/26/2007,,1271.1,1584.1,,BrF35-21
2021.1,,M,F36,9/26/2007,,1601.1,1305.1,,BrF35-42
2034.1,,M,F36,9/28/2007,,1211.1,1569.1,,BrF35-13
2036.1,,M,F36,9/28/2007,,1211.1,1569.1,,BrF35-13
2037.1,,M,F36,9/28/2007,,1211.1,1569.1,,BrF35-13
2040.1,,M,F36,9/25/2007,,1288.1,1214.1,,BrF35-50
2044.1,,M,F36,10/7/2007,,1320.1,1259.1,,BrF35-32
2045.1,,F,F36,10/7/2007,,1385.1,1142.1,,BrF35-51
2046.1,,M,F36,10/7/2007,,1385.1,1142.1,,BrF35-51
2049.1,,M,F36,10/10/2007,,1724.1,1244.1,,BrF35-9
2005.1,,F,F36,9/25/2007,,1288.1,1214.1,,BrF35-50
2050.1,,M,F36,10/10/2007,,1724.1,1244.1,,BrF35-9
2051.1,,F,F36,10/10/2007,,1724.1,1244.1,,BrF35-9
2061.1,,M,F36,9/26/2007,,1601.1,1305.1,,BrF35-42
2090.1,,M,F36,9/26/2007,,1271.1,1584.1,,BrF35-21
16374.1,,F,F36,10/23/2007,,1302.1,1388.1,,BrF35-5
16376.1,,M,F36,10/23/2007,,1302.1,1388.1,,BrF35-5
16377.1,,M,F36,10/22/2007,,1564.1,1266.1,,BrF35-34
16378.1,,M,F36,10/22/2007,,1564.1,1266.1,,BrF35-34
16380.1,,F,F36,10/22/2007,,1564.1,1266.1,,BrF35-34
16381.1,,F,F36,10/22/2007,,1564.1,1266.1,,BrF35-34
16922.1,,M,F36,10/30/2007,,1220.1,1587.1,,BrF35-12
16923.1,,M,F36,10/30/2007,,1220.1,1587.1,,BrF35-12
16924.1,,M,F36,10/28/2007,,1169.1,1193.1,,BrF35-7
16925.1,,F,F36,10/28/2007,,1169.1,1193.1,,BrF35-7
16962.1,,M,F36,10/30/2007,,1329.1,1138.1,,BrF35-46
16963.1,,F,F36,10/28/2007,,1320.1,1259.1,,BrF35-32
16964.1,,F,F36,10/28/2007,,1320.1,1259.1,,BrF35-32
19001.1,,F,F36,11/9/2007,,1169.1,1516.1,,BrF35-55
19002.1,,M,F36,11/9/2007,,1169.1,1516.1,,BrF35-55
19003.1,,M,F36,11/9/2007,,1169.1,1516.1,,BrF35-55
19004.1,,F,F36,11/4/2007,,1564.1,1592.1,,BrF35-60
19005.1,,F,F36,11/4/2007,,1564.1,1592.1,,BrF35-60
19006.1,,M,F36,11/4/2007,,1564.1,1592.1,,BrF35-60
19007.1,,F,F36,11/7/2007,,1196.1,1704.1,,BrF35-67
19008.1,,M,F36,11/7/2007,,1196.1,1704.1,,BrF35-67
19009.1,,M,F36,11/7/2007,,1196.1,1704.1,,BrF35-67
19010.1,,F,F36,11/9/2007,,1158.1,1600.1,,BrF35-68
19011.1,,F,F36,11/9/2007,,1158.1,1600.1,,BrF35-68
19012.1,,M,F36,11/9/2007,,1158.1,1600.1,,BrF35-68
19013.1,,F,F36,11/9/2007,,1385.1,1667.1,,BrF35-63
19014.1,,M,F36,11/9/2007,,1385.1,1667.1,,BrF35-63
19015.1,,M,F36,11/9/2007,,1385.1,1667.1,,BrF35-63
19016.1,,M,F36,11/9/2007,,1281.1,1380.1,,BrF35-70
19017.1,,F,F36,11/7/2007,,1220.1,1576.1,,BrF35-75
19018.1,,F,F36,11/7/2007,,1220.1,1576.1,,BrF35-75
19019.1,,M,F36,11/7/2007,,1220.1,1576.1,,BrF35-75
19142.1,,M,F36,11/9/2007,,1252.1,1214.1,,BrF35-66
19143.1,,M,F36,11/8/2007,,1542.1,1307.1,,BrF35-57
19144.1,,M,F36,11/8/2007,,1542.1,1307.1,,BrF35-57
19148.1,,M,F36,11/9/2007,,1329.1,1133.1,,BrF35-64
19149.1,,M,F36,11/14/2007,,1255.1,1289.1,,BrF35-73
19150.1,,M,F36,11/14/2007,,1255.1,1289.1,,BrF35-73
19151.1,,F,F36,11/14/2007,,1255.1,1289.1,,BrF35-73
19152.1,,M,F36,11/13/2007,,1528.1,16901.1,,BrF35-72
19153.1,,F,F36,11/13/2007,,1528.1,16901.1,,BrF35-72
19154.1,,F,F36,11/13/2007,,1528.1,16901.1,,BrF35-72
19145.1,,F,F36,11/8/2007,,1542.1,1307.1,,BrF35-57
19140.1,,F,F36,11/9/2007,,1252.1,1214.1,,BrF35-66
