Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam
35214.1,Ag,F,F41,9/8/2009,BrF40-21,30047.1,30038.1
35215.1,Ag,F,F41,9/8/2009,BrF40-21,30047.1,30038.1
35216.1,B,F,F41,9/9/2009,BrF40-01,29150.1,29153.1
35217.1,B,M,F41,9/9/2009,BrF40-01,29150.1,29153.1
35218.1,Ag,M,F41,9/9/2009,BrF40-01,29150.1,29153.1
35219.1,B,F,F41,9/9/2009,BrF40-05,29343.1,29337.1
35220.1,W,M,F41,9/9/2009,BrF40-05,29343.1,29337.1
35221.1,B,M,F41,9/9/2009,BrF40-05,29343.1,29337.1
35247.1,W,F,F41,9/9/2009,BrF40-08,30032.1,30026.1
35248.1,B,M,F41,9/9/2009,BrF40-08,30032.1,30026.1
35249.1,Ag,M,F41,9/9/2009,BrF40-08,30032.1,30026.1
35250.1,W,F,F41,9/9/2009,BrF40-12,29271.1,29469.1
35251.1,W,M,F41,9/9/2009,BrF40-12,29271.1,29469.1
35252.1,B,F,F41,9/10/2009,BrF40-02,30033.1,29264.1
35253.1,Ag,F,F41,9/10/2009,BrF40-02,30033.1,29264.1
35254.1,Ag,M,F41,9/10/2009,BrF40-02,30033.1,29264.1
35304.1,B,F,F41,9/10/2009,BrF40-03,30015.1,29342.1
35305.1,W,F,F41,9/10/2009,BrF40-03,30015.1,29342.1
35306.1,W,M,F41,9/10/2009,BrF40-03,30015.1,29342.1
35307.1,Ag,F,F41,9/10/2009,BrF40-04,29341.1,29344.1
35308.1,Ag,M,F41,9/10/2009,BrF40-04,29341.1,29344.1
35309.1,B,M,F41,9/10/2009,BrF40-04,29341.1,29344.1
35310.1,B,F,F41,9/10/2009,BrF40-07,29334.1,30025.1
35311.1,B,M,F41,9/10/2009,BrF40-07,29334.1,30025.1
35312.1,W,F,F41,9/10/2009,BrF40-09,30013.1,30027.1
35313.1,Ag,F,F41,9/10/2009,BrF40-09,30013.1,30027.1
35314.1,W,M,F41,9/10/2009,BrF40-09,30013.1,30027.1
35315.1,B,F,F41,9/10/2009,BrF40-10,29269.1,30040.1
35316.1,Ag,M,F41,9/10/2009,BrF40-10,29269.1,30040.1
35317.1,Ag,M,F41,9/10/2009,BrF40-10,29269.1,30040.1
35351.1,B,F,F41,9/10/2009,BrF40-11,29347.1,30046.1
35352.1,B,M,F41,9/10/2009,BrF40-11,29347.1,30046.1
35353.1,W,M,F41,9/10/2009,BrF40-11,29347.1,30046.1
35354.1,B,F,F41,9/10/2009,BrF40-15,29154.1,29267.1
35355.1,Ag,M,F41,9/10/2009,BrF40-15,29154.1,29267.1
35356.1,B,F,F41,9/10/2009,BrF40-16,30012.1,29270.1
35357.1,W,F,F41,9/10/2009,BrF40-16,30012.1,29270.1
35358.1,W,M,F41,9/10/2009,BrF40-16,30012.1,29270.1
35519.1,W,F,F41,9/10/2009,BrF40-17,30029.1,30006.1
35520.1,B,F,F41,9/10/2009,BrF40-17,30029.1,30006.1
35521.1,B,M,F41,9/10/2009,BrF40-17,30029.1,30006.1
35522.1,W,F,F41,9/10/2009,BrF40-19,30022.1,30008.1
35523.1,W,M,F41,9/10/2009,BrF40-19,30022.1,30008.1
35526.1,W,M,F41,9/10/2009,BrF40-19,30022.1,30008.1
35527.1,B,F,F41,9/10/2009,BrF40-20,30034.1,30017.1
35528.1,Ag,M,F41,9/10/2009,BrF40-20,30034.1,30017.1
35529.1,B,F,F41,9/10/2009,BrF40-22,30031.1,30043.1
35530.1,W,M,F41,9/10/2009,BrF40-22,30031.1,30043.1
35531.1,B,M,F41,9/10/2009,BrF40-22,30031.1,30043.1
35532.1,Ag,F,F41,9/11/2009,BrF40-14,30035.1,29333.1
35533.1,Ag,F,F41,9/11/2009,BrF40-14,30035.1,29333.1
35534.1,B,M,F41,9/11/2009,BrF40-14,30035.1,29333.1
35535.1,W,F,F41,9/12/2009,BrF40-18,29470.1,30007.1
35536.1,W,M,F41,9/12/2009,BrF40-18,29470.1,30007.1
35963.1,W,F,F41,9/28/2009,BrF40-33,30269.1,30304.1
35964.1,B,M,F41,9/28/2009,BrF40-33,30269.1,30304.1
35965.1,B,F,F41,9/28/2009,BrF40-41,30479.1,29346.1
35966.1,W,F,F41,9/28/2009,BrF40-41,30479.1,29346.1
35967.1,W,M,F41,9/28/2009,BrF40-41,30479.1,29346.1
31040.1,Ag,F,F41,9/29/2009,BrF40-42,30467.1,30019.1
31041.1,B,M,F41,9/29/2009,BrF40-42,30467.1,30019.1
31042.1,Ag,M,F41,9/29/2009,BrF40-42,30467.1,30019.1
35968.1,Ag,F,F41,9/29/2009,BrF40-24,30270.1,30018.1
35969.1,Ag,M,F41,9/29/2009,BrF40-24,30270.1,30018.1
35970.1,B,M,F41,9/29/2009,BrF40-24,30270.1,30018.1
35971.1,W,F,F41,9/29/2009,BrF40-25,30267.1,30036.1
35972.1,Ag,F,F41,9/29/2009,BrF40-25,30267.1,30036.1
35973.1,B,M,F41,9/29/2009,BrF40-25,30267.1,30036.1
35974.1,W,F,F41,9/29/2009,BrF40-28,29148.1,30119.1
35975.1,Ag,M,F41,9/29/2009,BrF40-28,29148.1,30119.1
35976.1,W,M,F41,9/29/2009,BrF40-28,29148.1,30119.1
35977.1,Ag,F,F41,9/29/2009,BrF40-30,30016.1,30265.1
35978.1,Ag,M,F41,9/29/2009,BrF40-30,30016.1,30265.1
31043.1,B,F,F41,9/30/2009,BrF40-26,30011.1,30089.1
31044.1,W,M,F41,9/30/2009,BrF40-26,30011.1,30089.1
31045.1,B,F,F41,9/30/2009,BrF40-29,30091.1,30264.1
31046.1,B,F,F41,9/30/2009,BrF40-29,30091.1,30264.1
31047.1,B,M,F41,9/30/2009,BrF40-29,30091.1,30264.1
31048.1,B,F,F41,9/30/2009,BrF40-31,30042.1,30266.1
31049.1,W,M,F41,9/30/2009,BrF40-31,30042.1,30266.1
31050.1,B,M,F41,9/30/2009,BrF40-31,30042.1,30266.1
31051.1,W,F,F41,9/30/2009,BrF40-32,30306.1,30268.1
31052.1,B,F,F41,9/30/2009,BrF40-32,30306.1,30268.1
31053.1,B,M,F41,9/30/2009,BrF40-32,30306.1,30268.1
31054.1,W,F,F41,9/30/2009,BrF40-34,29266.1,30307.1
31055.1,W,M,F41,9/30/2009,BrF40-34,29266.1,30307.1
31101.1,W,F,F41,10/1/2009,BrF40-06,29338.1,30020.1
31102.1,W,M,F41,10/1/2009,BrF40-06,29338.1,30020.1
31103.1,B,F,F41,10/1/2009,BrF40-27,29265.1,30117.1
31104.1,B,F,F41,10/1/2009,BrF40-27,29265.1,30117.1
31105.1,W,M,F41,10/1/2009,BrF40-27,29265.1,30117.1
31106.1,W,F,F41,10/1/2009,BrF40-43,30613.1,30039.1
31107.1,W,M,F41,10/1/2009,BrF40-43,30613.1,30039.1
31108.1,W,M,F41,10/1/2009,BrF40-43,30613.1,30039.1
31109.1,B,F,F41,10/2/2009,BrF40-35,30120.1,30308.1
31110.1,Ag,F,F41,10/2/2009,BrF40-35,30120.1,30308.1
31111.1,B,M,F41,10/2/2009,BrF40-35,30120.1,30308.1
31112.1,W,F,F41,10/2/2009,BrF40-36,30369.1,30363.1
31113.1,Ag,M,F41,10/2/2009,BrF40-36,30369.1,30363.1
31114.1,W,M,F41,10/2/2009,BrF40-36,30369.1,30363.1
31115.1,B,F,F41,10/2/2009,BrF40-39,30603.1,29152.1
31116.1,B,M,F41,10/2/2009,BrF40-39,30603.1,29152.1
31161.1,W,F,F41,10/2/2009,BrF40-45,30605.1,30370.1
31162.1,Ag,F,F41,10/2/2009,BrF40-47,29340.1,30489.1
31163.1,W,M,F41,10/2/2009,BrF40-45,30605.1,30370.1
31164.1,W,F,F41,10/2/2009,BrF40-47,29340.1,30489.1
31165.1,B,M,F41,10/2/2009,BrF40-45,30605.1,30370.1
31166.1,Ag,M,F41,10/2/2009,BrF40-47,29340.1,30489.1
31167.1,Ag,F,F41,10/4/2009,BrF40-38,29345.1,30374.1
31168.1,B,M,F41,10/4/2009,BrF40-38,29345.1,30374.1
31169.1,W,M,F41,10/4/2009,BrF40-38,29345.1,30374.1
31170.1,B,F,F41,10/4/2009,BrF40-48,29336.1,30604.1
31171.1,B,F,F41,10/4/2009,BrF40-48,29336.1,30604.1
31172.1,B,M,F41,10/4/2009,BrF40-48,29336.1,30604.1
31173.1,Ag,M,F41,10/8/2009,BrF40-23,30367.1,29339.1
31407.1,W,F,F41,10/12/2009,BrF40-53,30608.1,30470.1
31408.1,W,M,F41,10/12/2009,BrF40-53,30608.1,30470.1
31404.1,B,F,F41,10/13/2009,BrF40-56,30311.1,30480.1
31405.1,W,M,F41,10/13/2009,BrF40-56,30311.1,30480.1
31406.1,B,M,F41,10/13/2009,BrF40-56,30311.1,30480.1
31426.1,B,F,F41,10/14/2009,BrF40-52,30371.1,30466.1
31427.1,W,F,F41,10/14/2009,BrF40-52,30371.1,30466.1
31428.1,Ag,M,F41,10/14/2009,BrF40-52,30371.1,30466.1
31429.1,B,F,F41,10/14/2009,BrF40-54,30044.1,30472.1
31430.1,B,M,F41,10/14/2009,BrF40-54,30044.1,30472.1
31431.1,B,M,F41,10/14/2009,BrF40-54,30044.1,30472.1
31401.1,B,F,F41,10/15/2009,BrF40-44,30491.1,30310.1
31402.1,W,F,F41,10/15/2009,BrF40-44,30491.1,30310.1
31403.1,B,M,F41,10/15/2009,BrF40-44,30491.1,30310.1
31432.1,B,F,F41,10/18/2009,BrF40-69,30024.1,30948.1
31433.1,B,F,F41,10/18/2009,BrF40-69,30024.1,30948.1
31434.1,W,F,F41,10/18/2009,BrF40-68,30023.1,30945.1
31435.1,W,M,F41,10/18/2009,BrF40-68,30023.1,30945.1
31436.1,W,M,F41,10/18/2009,BrF40-68,30023.1,30945.1
31437.1,W,F,F41,10/19/2009,BrF40-58,30305.1,30484.1
31438.1,Ag,M,F41,10/19/2009,BrF40-58,30305.1,30484.1
31439.1,B,M,F41,10/19/2009,BrF40-58,30305.1,30484.1
31471.1,W,F,F41,10/19/2009,BrF40-50,30942.1,30090.1
31472.1,W,M,F41,10/19/2009,BrF40-50,30942.1,30090.1
31473.1,B,M,F41,10/19/2009,BrF40-50,30942.1,30090.1
31474.1,B,F,F41,10/19/2009,BrF40-70,30473.1,30949.1
31475.1,B,F,F41,10/19/2009,BrF40-70,30473.1,30949.1
