Animal #,C,Sex,Gen.,D.O.B.,Family,Sire,Dam
33701.1,B,F,F42,12/23/2009,BrF41-06,35317.1,35250.1
33702.1,Ag,F,F42,12/23/2009,BrF41-06,35317.1,35250.1
33703.1,Ag,M,F42,12/23/2009,BrF41-06,35317.1,35250.1
33704.1,W,F,F42,12/23/2009,BrF41-12,35218.1,35351.1
33705.1,W,M,F42,12/23/2009,BrF41-12,35218.1,35351.1
33706.1,B,M,F42,12/23/2009,BrF41-12,35218.1,35351.1
33707.1,W,F,F42,12/24/2009,BrF41-14,35967.1,35214.1
33708.1,W,M,F42,12/24/2009,BrF41-14,35967.1,35214.1
33709.1,W,F,F42,12/24/2009,BrF41-11,35353.1,35357.1
33710.1,W,M,F42,12/24/2009,BrF41-11,35353.1,35357.1
33711.1,W,M,F42,12/24/2009,BrF41-11,35353.1,35357.1
33712.1,W,F,F42,12/25/2009,BrF41-13,31049.1,35312.1
33713.1,W,F,F42,12/25/2009,BrF41-13,31049.1,35312.1
33714.1,B,F,F42,12/25/2009,BrF41-09,35978.1,35527.1
33715.1,Ag,M,F42,12/25/2009,BrF41-09,35978.1,35527.1
33716.1,Ag,M,F42,12/25/2009,BrF41-09,35978.1,35527.1
33717.1,B,F,F42,12/25/2009,BrF41-10,35970.1,35520.1
33718.1,B,M,F42,12/25/2009,BrF41-10,35970.1,35520.1
33719.1,B,M,F42,12/25/2009,BrF41-10,35970.1,35520.1
33720.1,B,F,F42,12/26/2009,BrF41-01,35248.1,35977.1
33721.1,Ag,F,F42,12/26/2009,BrF41-01,35248.1,35977.1
33722.1,Ag,M,F42,12/26/2009,BrF41-01,35248.1,35977.1
33723.1,B,F,F42,12/26/2009,BrF41-07,31044.1,35532.1
33724.1,Ag,M,F42,12/26/2009,BrF41-07,31044.1,35532.1
33725.1,B,F,F42,12/26/2009,BrF41-15,35973.1,31040.1
33726.1,Ag,F,F42,12/26/2009,BrF41-15,35973.1,31040.1
33727.1,B,M,F42,12/26/2009,BrF41-15,35973.1,31040.1
33728.1,Ag,F,F42,12/26/2009,BrF41-16,35526.1,31052.1
33729.1,W,M,F42,12/26/2009,BrF41-16,35526.1,31052.1
33730.1,W,M,F42,12/26/2009,BrF41-16,35526.1,31052.1
33731.1,Ag,F,F42,12/27/2009,BrF41-02,35975.1,35972.1
33732.1,B,M,F42,12/27/2009,BrF41-02,35975.1,35972.1
33733.1,Ag,M,F42,12/27/2009,BrF41-02,35975.1,35972.1
33734.1,B,F,F42,12/27/2009,BrF41-04,35217.1,35968.1
33735.1,,F,F42,12/27/2009,BrF41-04,35217.1,35968.1
33736.1,B,M,F42,12/27/2009,BrF41-04,35217.1,35968.1
33737.1,B,F,F42,12/27/2009,BrF41-05,35316.1,35963.1
33738.1,Ag,M,F42,12/27/2009,BrF41-05,35316.1,35963.1
33739.1,B,F,F42,1/2/2010,BrF41-18,35355.1,31048.1
33740.1,W,M,F42,1/2/2010,BrF41-18,35355.1,31048.1
33741.1,Ag,M,F42,1/2/2010,BrF41-18,35355.1,31048.1
33742.1,B,F,F42,1/4/2010,BrF41-19,35251.1,31045.1
33743.1,W,F,F42,1/4/2010,BrF41-19,35251.1,31045.1
33744.1,W,M,F42,1/4/2010,BrF41-19,35251.1,31045.1
33745.1,B,F,F42,1/4/2010,BrF41-20,35352.1,31043.1
33746.1,B,M,F42,1/4/2010,BrF41-20,35352.1,31043.1
33747.1,Ag,F,F42,1/4/2010,BrF41-22,31173.1,31101.1
33748.1,W,M,F42,1/4/2010,BrF41-22,31173.1,31101.1
33749.1,Ag,F,F42,1/4/2010,BrF41-25,35254.1,31109.1
33750.1,Ag,M,F42,1/4/2010,BrF41-25,35254.1,31109.1
33751.1,B,F,F42,1/5/2010,BrF41-30,31169.1,35354.1
33752.1,B,M,F42,1/5/2010,BrF41-30,31169.1,35354.1
33753.1,B,M,F42,1/5/2010,BrF41-30,31169.1,35354.1
33754.1,Ag,F,F42,1/5/2010,BrF41-24,35969.1,31106.1
33755.1,Ag,F,F42,1/5/2010,BrF41-24,35969.1,31106.1
33756.1,W,M,F42,1/5/2010,BrF41-24,35969.1,31106.1
33757.1,B,F,F42,1/6/2010,BrF41-34,35531.1,31167.1
33758.1,B,M,F42,1/6/2010,BrF41-34,35531.1,31167.1
33759.1,W,F,F42,1/5/2010,BrF41-33,31108.1,31164.1
33760.1,W,F,F42,1/5/2010,BrF41-33,31108.1,31164.1
33761.1,W,M,F42,1/5/2010,BrF41-33,31108.1,31164.1
33762.1,W,F,F42,1/6/2010,BrF41-26,31105.1,31112.1
33763.1,W,M,F42,1/6/2010,BrF41-26,31105.1,31112.1
33764.1,W,M,F42,1/6/2010,BrF41-26,31105.1,31112.1
33765.1,B,F,F42,1/6/2010,BrF41-36,31042.1,31171.1
33766.1,W,M,F42,1/6/2010,BrF41-36,31042.1,31171.1
33767.1,B,F,F42,1/8/2010,BrF41-31,31172.1,35356.1
33768.1,B,M,F42,1/8/2010,BrF41-31,31172.1,35356.1
33769.1,W,F,F42,1/8/2010,BrF41-35,35528.1,31170.1
33770.1,Ag,M,F42,1/8/2010,BrF41-35,35528.1,31170.1
33771.1,W,F,F42,1/9/2010,BrF41-21,31102.1,31054.1
33772.1,W,M,F42,1/9/2010,BrF41-21,31102.1,31054.1
33773.1,Ag,F,F42,1/10/2010,BrF41-32,31111.1,31162.1
33774.1,B,M,F42,1/10/2010,BrF41-32,31111.1,31162.1
33775.1,Ag,F,F42,1/21/2010,BrF41-38,31428.1,35522.1
33776.1,Ag,M,F42,1/21/2010,BrF41-38,31428.1,35522.1
33777.1,B,F,F42,1/21/2010,BrF41-39,31431.1,35219.1
33778.1,W,M,F42,1/21/2010,BrF41-39,31431.1,35219.1
33779.1,W,F,F42,1/21/2010,BrF41-40,31435.1,35304.1
33780.1,B,M,F42,1/21/2010,BrF41-40,31435.1,35304.1
33781.1,B,F,F42,1/21/2010,BrF41-41,31406.1,35305.1
33782.1,W,M,F42,1/21/2010,BrF41-41,31406.1,35305.1
33783.1,B,F,F42,1/21/2010,BrF41-45,35220.1,31426.1
33784.1,B,M,F42,1/21/2010,BrF41-45,35220.1,31426.1
33785.1,W,F,F42,1/21/2010,BrF41-47,35309.1,31433.1
33786.1,W,M,F42,1/21/2010,BrF41-47,35309.1,31433.1
33787.1,B,F,F42,1/21/2010,BrF41-51,35964.1,31475.1
33788.1,B,M,F42,1/21/2010,BrF41-51,35964.1,31475.1
33789.1,W,F,F42,1/21/2010,BrF41-54,31438.1,31481.1
33790.1,Ag,M,F42,1/21/2010,BrF41-54,31438.1,31481.1
33791.1,W,F,F42,1/22/2010,BrF41-08,35306.1,35529.1
33792.1,B,F,F42,1/22/2010,BrF41-08,35306.1,35529.1
33793.1,B,M,F42,1/22/2010,BrF41-08,35306.1,35529.1
33794.1,B,F,F42,1/22/2010,BrF41-50,35534.1,31474.1
33795.1,B,M,F42,1/22/2010,BrF41-50,35534.1,31474.1
33796.1,B,M,F42,1/22/2010,BrF41-50,35534.1,31474.1
33797.1,W,F,F42,1/22/2010,BrF41-53,35976.1,31480.1
33798.1,W,M,F42,1/22/2010,BrF41-53,35976.1,31480.1
33799.1,Ag,F,F42,2/2/2010,BrF41-56,31684.1,35307.1
33800.1,Ag,F,F42,2/2/2010,BrF41-56,31684.1,35307.1
33851.1,B,M,F42,1/4/2010,BrF41-27,35523.1,31115.1
33852.1,W,F,F42,1/4/2010,BrF41-28,35358.1,31161.1
33853.1,W,F,F42,1/4/2010,BrF41-28,35358.1,31161.1
33854.1,W,M,F42,1/4/2010,BrF41-28,35358.1,31161.1
33855.1,Ag,M,F42,2/2/2010,BrF41-56,31684.1,35307.1
33856.1,B,F,F42,2/2/2010,BrF41-57,31487.1,31104.1
33857.1,B,F,F42,2/2/2010,BrF41-57,31487.1,31104.1
33858.1,W,M,F42,2/3/2010,BrF41-42,31472.1,35974.1
33859.1,W,M,F42,2/3/2010,BrF41-42,31472.1,35974.1
33860.1,W,F,F42,2/3/2010,BrF41-59,31683.1,35310.1
33861.1,W,M,F42,2/3/2010,BrF41-59,31683.1,35310.1
33862.1,Ag,M,F42,2/3/2010,BrF41-59,31683.1,35310.1
33863.1,B,F,F42,2/4/2010,BrF41-46,31484.1,31429.1
33864.1,B,F,F42,2/4/2010,BrF41-46,31484.1,31429.1
33865.1,B,M,F42,2/4/2010,BrF41-46,31484.1,31429.1
33866.1,W,F,F42,2/5/2010,BrF41-55,31690.1,31483.1
33867.1,W,M,F42,2/5/2010,BrF41-55,31690.1,31483.1
33868.1,B,F,F42,2/6/2010,BrF41-23,35311.1,31103.1
33869.1,W,M,F42,2/6/2010,BrF41-23,35311.1,31103.1
33870.1,B,M,F42,2/6/2010,BrF41-23,35311.1,31103.1
33871.1,Ag,F,F42,2/6/2010,BrF41-29,31116.1,35247.1
33872.1,B,F,F42,2/6/2010,BrF41-29,31116.1,35247.1
33873.1,W,M,F42,2/6/2010,BrF41-29,31116.1,35247.1
33874.1,B,F,F42,2/6/2010,BrF41-61,31692.1,35215.1
33875.1,Ag,M,F42,2/6/2010,BrF41-61,31692.1,35215.1
33876.1,W,F,F42,2/6/2010,BrF41-62,31482.1,35252.1
33877.1,Ag,F,F42,2/6/2010,BrF41-62,31482.1,35252.1
33878.1,Ag,M,F42,2/6/2010,BrF41-62,31482.1,35252.1
33879.1,Ag,F,F42,2/6/2010,BrF41-64,31041.1,31502.1
33880.1,B,M,F42,2/6/2010,BrF41-64,31041.1,31502.1
