Animal #,CC,Sex,Gen.,DOB,Family,Sire,Dam
42001.1,B,F,F47,7/18/2011,BrF46-17,40606.1,40629.1
42005.1,(B)L,F,F47,7/18/2011,BrF46-10,40649.1,40613.1
42007.1,W,F,F47,7/18/2011,BrF46-15,40665.1,40625.1
42010.1,(W)L,F,F47,7/19/2011,BrF46-02,40689.1,40597.1
42014.1,B,F,F47,7/19/2011,BrF46-06,40632.1,40605.1
42016.1,W,F,F47,7/19/2011,BrF46-07,40600.1,40607.1
42043.1,W,F,F47,7/20/2011,BrF46-19,40624.1,40633.1
42047.1,B,F,F47,7/20/2011,BrF46-20,40630.1,40635.1
42049.1,(W)L,F,F47,7/20/2011,BrF46-12,40679.1,40619.1
42053.1,Ag,F,F47,7/20/2011,BrF46-14,40713.1,40623.1
42055.1,(B)L,F,F47,7/20/2011,BrF46-31,40636.1,40661.1
42059.1,B,F,F47,7/21/2011,BrF46-08,40638.1,41336.1
42061.1,Ag,F,F47,7/21/2011,BrF46-13,40621.1,41346.1
42065.1,(Ag)L,F,F47,7/21/2011,BrF46-48,40683.1,40704.1
42067.1,B,F,F47,7/20/2011,BrF46-01,40684.1,40595.1
42071.1,W,F,F47,7/22/2011,BrF46-04,41227.1,40601.1
42073.1,(B)L,F,F47,7/23/2011,BrF46-05,40634.1,40603.1
42158.1,Ag,F,F47,7/26/2011,BrF46-18,40596.1,40631.1
42162.1,B,F,F47,7/29/2011,BrF46-11,41249.1,40616.1
42182.1,W,F,F47,8/2/2011,BrF46-03,41331.1,40599.1
42454.1,Ag,F,F47,8/9/2011,BrF46-24,41339.1,40646.1
42456.1,B,F,F47,8/9/2011,BrF46-26,41351.1,40650.1
42458.1,(B)L,F,F47,8/9/2011,BrF46-41,40657.1,40680.1
42462.1,B,F,F47,8/10/2011,BrF46-21,41237.1,40637.1
42464.1,(B)L,F,F47,8/10/2011,BrF46-25,40614.1,40648.1
42466.1,B,F,F47,8/10/2011,BrF46-29,40610.1,40656.1
42470.1,(B)L,F,F47,8/10/2011,BrF46-34,40715.1,40666.1
42472.1,Ag,F,F47,8/8/2011,BrF46-39,41402.1,40676.1
42476.1,W,F,F47,8/10/2011,BrF46-27,40598.1,40652.1
42478.1,(W)L,F,F47,8/10/2011,BrF46-28,40701.1,41348.1
42482.1,Ag,F,F47,8/10/2011,BrF46-35,40659.1,41352.1
42484.1,W,F,F47,8/10/2011,BrF46-37,40699.1,40672.1
42488.1,B,F,F47,8/10/2011,BrF46-65,41239.1,41332.1
42490.1,(B)L,F,F47,8/10/2011,BrF46-62,40628.1,41248.1
42494.1,(W)L,F,F47,8/10/2011,BrF46-45,40660.1,40694.1
42496.1,Ag,F,F47,8/11/2011,BrF46-09,41329.1,40611.1
42498.1,(Ag)L,F,F47,8/11/2011,BrF46-22,41243.1,40641.1
42512.1,Ag,F,F47,8/12/2011,BrF46-38,40644.1,40674.1
42516.1,B,F,F47,8/12/2011,BrF46-23,40642.1,40645.1
42518.1,(B(L,F,F47,8/12/2011,BrF46-32,41245.1,40662.1
42520.1,Ag,F,F47,8/12/2011,BrF46-42,40626.1,40682.1
42575.1,Ag,F,F47,8/14/2011,BrF46-02,40689.1,40597.1
42579.1,W,F,F47,8/14/2011,BrF46-12,40679.1,40619.1
42588.1,B,F,F47,8/22/2011,BrF46-44,40615.1,40692.1
42592.1,Ag,F,F47,8/21/2011,BrF46-47,41335.1,40700.1
42594.1,W,F,F47,8/21/2011,BrF46-51,40671.1,40716.1
42598.1,(B)L,F,F47,8/21/2011,BrF46-54,40663.1,40722.1
42600.1,(W)L,F,F47,8/21/2011,BrF46-50,40673.1,40712.1
42652.1,Ag,F,F47,8/23/2011,BrF46-55,40651.1,41204.1
42654.1,B,F,F47,8/22/2011,BrF46-57,40608.1,41216.1
42658.1,(Ag)L,F,F47,8/23/2011,BrF46-63,40669.1,41326.1
42660.1,W,F,F47,8/23/2011,BrF46-64,40612.1,41330.1
42664.1,(B)L,F,F47,8/23/2011,BrF46-52,40703.1,40718.1
42702.1,W,F,F47,8/24/2011,BrF46-43,41347.1,40686.1
42704.1,(W)L,F,F47,8/24/2011,BrF46-49,41327.1,40706.1
42708.1,Ag,F,F47,8/23/2011,BrF46-50,40673.1,40712.1
42710.1,Ag,F,F47,8/25/2011,BrF46-53,40711.1,40720.1
42714.1,W,F,F47,8/23/2011,BrF46-59,40675.1,41236.1
42716.1,B,F,F47,8/23/2011,BrF46-61,40647.1,41246.1
42860.1,B,F,F47,9/4/2011,BrF46-56,41207.1,41208.1
42862.1,(B)L,F,F47,8/30/2011,BrF46-46,40604.1,40698.1
43066.1,B,F,F47,9/19/2011,BrF46-49,41327.1,40706.1
42002.1,B,M,F47,7/18/2011,BrF46-17,40606.1,40629.1
42004.1,W,M,F47,7/18/2011,BrF46-10,40649.1,40613.1
42008.1,Ag,M,F47,7/18/2011,BrF46-15,40665.1,40625.1
42011.1,Ag,M,F47,7/19/2011,BrF46-02,40689.1,40597.1
42013.1,B,M,F47,7/19/2011,BrF46-06,40632.1,40605.1
42017.1,(Ag)L,M,F47,7/19/2011,BrF46-07,40600.1,40607.1
42044.1,W,M,F47,7/20/2011,BrF46-19,40624.1,40633.1
42046.1,B,M,F47,7/20/2011,BrF46-20,40630.1,40635.1
42050.1,(W)L,M,F47,7/20/2011,BrF46-12,40679.1,40619.1
42052.1,Ag,M,F47,7/20/2011,BrF46-14,40713.1,40623.1
42056.1,(B)L,M,F47,7/20/2011,BrF46-31,40636.1,40661.1
42058.1,B,M,F47,7/21/2011,BrF46-08,40638.1,41336.1
42062.1,W,M,F47,7/21/2011,BrF46-13,40621.1,41346.1
42064.1,Ag,M,F47,7/21/2011,BrF46-48,40683.1,40704.1
42068.1,W,M,F47,7/20/2011,BrF46-01,40684.1,40595.1
42070.1,(W)L,M,F47,7/22/2011,BrF46-04,41227.1,40601.1
42074.1,B,M,F47,7/23/2011,BrF46-05,40634.1,40603.1
42159.1,Ag,M,F47,7/26/2011,BrF46-18,40596.1,40631.1
42161.1,B,M,F47,7/29/2011,BrF46-11,41249.1,40616.1
42183.1,W,M,F47,8/2/2011,BrF46-03,41331.1,40599.1
42453.1,Ag,M,F47,8/9/2011,BrF46-24,41339.1,40646.1
42455.1,B,M,F47,8/9/2011,BrF46-26,41351.1,40650.1
42457.1,(B)L,M,F47,8/9/2011,BrF46-41,40657.1,40680.1
42461.1,B,M,F47,8/10/2011,BrF46-21,41237.1,40637.1
