Animal # ,CC,Sex,Gen.,DOB,Family,Sire,Dam,Sire,Dam,,,,
44029.1,Ag,F,F48,12/14/2011,BrF47-01,42011.1,42067.1,42011,42067,,,,
44030.1,(Ag)L,F,F48,12/14/2011,BrF47-01,42011.1,42067.1,42011,42067,,,,
44034.1,B,F,F48,12/14/2011,BrF47-02,42013.1,42049.1,42013,42049,,,,
44035.1,(B)L,F,F48,12/14/2011,BrF47-02,42013.1,42049.1,42013,42049,,,, 
44031.1,W,M,F48,12/14/2011,BrF47-01,42011.1,42067.1,42011,42067,,,,
44032.1,B,M,F48,12/14/2011,BrF47-01,42011.1,42067.1,42011,42067,,,,
44036.1,B,M,F48,12/14/2011,BrF47-02,42013.1,42049.1,42013,42049,,,,
44037.1,(B)L,M,F48,12/14/2011,BrF47-02,42013.1,42049.1,42013,42049,,,,
44033.1,Ag,F,F48,12/14/2011,BrF47-01,42011.1,42067.1,42011,42067,,,,
44041.1,B,F,F48,12/14/2011,BrF47-03,42052.1,42490.1,42052,42490,,,,
44047.1,W,F,F48,12/14/2011,BrF47-04,42159.1,42594.1,42159,42594,,,,
44056.1,Ag,F,F48,12/12/2011,BrF47-09,42453.1,42458.1,42453,42458,,,,
44038.1,B,M,F48,12/14/2011,BrF47-02,42013.1,42049.1,42013,42049,,,,
44044.1,Ag,M,F48,12/14/2011,BrF47-03,42052.1,42490.1,42052,42490,,,,
44048.1,W,M,F48,12/14/2011,BrF47-04,42159.1,42594.1,42159,42594,,,,
44055.1,(Ag)L,M,F48,12/14/2011,BrF47-06,42017.1,42588.1,42017,42588,,,,
44061.1,(B)L,M,F48,12/12/2011,BrF47-09,42453.1,42458.1,42453,42458,,,,
44039.1,B,F,F48,12/14/2011,BrF47-03,42052.1,42490.1,42052,42490,,,,
44040.1,W,F,F48,12/14/2011,BrF47-03,42052.1,42490.1,42052,42490,,,,
44045.1,W,F,F48,12/14/2011,BrF47-04,42159.1,42594.1,42159,42594,,,,
44046.1,(B)L,F,F48,12/14/2011,BrF47-04,42159.1,42594.1,42159,42594,,,,
44042.1,W,M,F48,12/14/2011,BrF47-03,42052.1,42490.1,42052,42490,,,,
44043.1,Ag,M,F48,12/14/2011,BrF47-03,42052.1,42490.1,42052,42490,,,,
44049.1,B,M,F48,12/14/2011,BrF47-04,42159.1,42594.1,42159,42594,,,,
44050.1,(W)L,M,F48,12/14/2011,BrF47-04,42159.1,42594.1,42159,42594,,,,
44051.1,Ag,F,F48,12/14/2011,BrF47-06,42017.1,42588.1,42017,42588,,,,
44052.1,B,F,F48,12/14/2011,BrF47-06,42017.1,42588.1,42017,42588,,,,
44057.1,(Ag)L,F,F48,12/12/2011,BrF47-09,42453.1,42458.1,42453,42458,,,,
44058.1,(B)L,F,F48,12/12/2011,BrF47-09,42453.1,42458.1,42453,42458,,,,
44053.1,Ag,M,F48,12/14/2011,BrF47-06,42017.1,42588.1,42017,42588,,,,
44054.1,(Ag)L,M,F48,12/14/2011,BrF47-06,42017.1,42588.1,42017,42588,,,,
44059.1,B,M,F48,12/12/2011,BrF47-09,42453.1,42458.1,42453,42458,,,,
44060.1,Ag,M,F48,12/12/2011,BrF47-09,42453.1,42458.1,42453,42458,,,,
44101.1,B,F,F48,12/21/2011,BrF47-10,42002.1,42055.1,42002,42055,,,,
44102.1,B(L),F,F48,12/21/2011,BrF47-10,42002.1,42055.1,42002,42055,,,,
44106.1,W,F,F48,12/19/2011,BrF47-11,42008.1,42482.1,42008,42482,,,,
44107.1,W(L),F,F48,12/19/2011,BrF47-11,42008.1,42482.1,42008,42482,,,,
44103.1,B,M,F48,12/21/2011,BrF47-10,42002.1,42055.1,42002,42055,,,,
44104.1,B(L),M,F48,12/21/2011,BrF47-10,42002.1,42055.1,42002,42055,,,,
44109.1,Ag,M,F48,12/19/2011,BrF47-11,42008.1,42482.1,42008,42482,,,,
44110.1,Ag(L),M,F48,12/19/2011,BrF47-11,42008.1,42482.1,42008,42482,,,,
44105.1,W,F,F48,12/21/2011,BrF47-10,42002.1,42055.1,42002,42055,,,,
44108.1,Ag,F,F48,12/19/2011,BrF47-11,42008.1,42482.1,42008,42482,,,,
44117.1,B,F,F48,12/21/2011,BrF47-13,42058.1,42047.1,42058,42047,,,,
44123.1,W(L),F,F48,12/21/2011,BrF47-14,42062.1,42862.1,42062,42862,,,,
44129.1,(B)L,F,F48,12/21/2011,BrF47-19,42044.1,42488.1,42044,42488,,,,
44111.1,B,M,F48,12/19/2011,BrF47-11,42008.1,42482.1,42008,42482,,,,
44114.1,B,M,F48,12/21/2011,BrF47-12,42004.1,42520.1,42004,42520,,,,
44120.1,B(L),M,F48,12/21/2011,BrF47-13,42058.1,42047.1,42058,42047,,,,
44124.1,Ag,M,F48,12/21/2011,BrF47-14,42062.1,42862.1,42062,42862,,,,
44130.1,W,M,F48,12/21/2011,BrF47-19,42044.1,42488.1,42044,42488,,,,
44112.1,B,F,F48,12/21/2011,BrF47-12,42004.1,42520.1,42004,42520,,,,
44113.1,B(L),F,F48,12/21/2011,BrF47-12,42004.1,42520.1,42004,42520,,,,
44115.1,W,F,F48,12/21/2011,BrF47-13,42058.1,42047.1,42058,42047,,,,
44116.1,W(L),F,F48,12/21/2011,BrF47-13,42058.1,42047.1,42058,42047,,,,
44118.1,B,M,F48,12/21/2011,BrF47-13,42058.1,42047.1,42058,42047,,,,
44119.1,W,M,F48,12/21/2011,BrF47-13,42058.1,42047.1,42058,42047,,,,
44125.1,W(L),M,F48,12/21/2011,BrF47-14,42062.1,42862.1,42062,42862,,,,
44126.1,W(L),M,F48,12/21/2011,BrF47-14,42062.1,42862.1,42062,42862,,,,
44121.1,Ag,F,F48,12/21/2011,BrF47-14,42062.1,42862.1,42062,42862,,,,
44122.1,W,F,F48,12/21/2011,BrF47-14,42062.1,42862.1,42062,42862,,,,
44127.1,B,F,F48,12/21/2011,BrF47-19,42044.1,42488.1,42044,42488,,,,
44128.1,W(L),F,F48,12/21/2011,BrF47-19,42044.1,42488.1,42044,42488,,,,
44131.1,B,M,F48,12/21/2011,BrF47-19,42044.1,42488.1,42044,42488,,,,
44132.1,W,M,F48,12/21/2011,BrF47-19,42044.1,42488.1,42044,42488,,,,
44133.1,Ag,M,F48,12/21/2011,BrF47-17,42499.1,42716.1,42499,42716,,,,
44134.1,Ag(L),M,F48,12/21/2011,BrF47-17,42499.1,42716.1,42499,42716,,,,
44135.1,Ag,M,F48,12/21/2011,BrF47-17,42499.1,42716.1,42499,42716,,,,
44142.1,W,M,F48,12/21/2011,BrF47-18,42711.1,42714.1,42711,42714,,,,
44150.1,B ,M,F48,12/23/2011,BrF47-15,42064.1,42462.1,42064,42462,,,,
44151.1,Ag(L),M,F48,12/23/2011,BrF47-16,42513.1,42860.1,42513,42860,,,,
44159.1,B(L),M,F48,12/25/2011,BrF47-08,42161.1,42073.1,42161,42073,,,,
44136.1,Ag,F,F48,12/21/2011,BrF47-17,42499.1,42716.1,42499,42716,,,,
