Animal #,CC,Sex,Gen,DOB,Family,Sire,Dam,Sire,Dam
49429.1,WR,F,F52,1/1/2013,BrF51-7,48368.1,48385.1,48368,48385
49433.1,AGR,F,F52,1/1/2013,BrF51-2,48448.1,48333.1,48448,48333
49437.1,BR,F,F52,1/1/2013,BrF51-9,48350.1,48359.1,48350,48359
49441.1,AGL,F,F52,1/1/2013,BrF51-12,48484.1,48312.1,48484,48312
49443.1,AGL,F,F52,1/1/2013,BrF51-12,48484.1,48312.1,48484,48312
49463.1,BL,F,F52,1/2/2013,BrF51-1,48430.1,48415.1,48430,48415
49465.1,WL,F,F52,1/2/2013,BrF51-1,48430.1,48415.1,48430,48415
49469.1,AGR,F,F52,1/2/2013,BrF51-3,49006.1,48303.1,49006,48303
49473.1,BR,F,F52,1/3/2013,BrF51-4,49018.1,48309.1,49018,48309
49477.1,WR,F,F52,1/3/2013,BrF51-5,49072.1,48413.1,49072,48413
49481.1,BL,F,F52,1/2/2013,BrF51-6,48307.1,48327.1,48307,48327
49483.1,BR,F,F52,1/3/2013,BrF51-11,48462.1,48336.1,48462,48336
49489.1,AGL,F,F52,1/3/2013,BrF51-21,49030.1,48405.1,49030,48405
49491.1,AGL,F,F52,1/3/2013,BrF51-21,49030.1,48405.1,49030,48405
49495.1,BL,F,F52,1/3/2013,BrF51-17,48310.1,48421.1,48310,48421
50101.1,AGL,F,F52,1/3/2013,BrF51-15,49050.1,48319.1,49050,48319
50105.1,WR,F,F52,1/1/2013,BrF51-14,49046.1,48339.1,49046,48339
50109.1,WL,F,F52,1/1/2013,BrF51-20,48454.1,48341.1,48454,48341
50113.1,BR,F,F52,1/3/2013,BrF51-16,48308.1,48349.1,48308,48349
50117.1,WR,F,F52,1/3/2013,BrF51-8,48388.1,48320.1,48388,48320
50120.1,WR,F,F52,1/3/2013,BrF51-8,48388.1,48320.1,48388,48320
50123.1,BR,F,F52,1/1/2013,BrF51-18,48321.1,48371.1,48321,48371
50127.1,AGL,F,F52,1/2/2013,BrF51-19,47718.1,48357.1,47718,48357
50128.1,BL,F,F52,1/2/2013,BrF51-19,47718.1,48357.1,47718,48357
