ID,CC,Sex,Home.Cage,Fam.ID,DOB,Sire.ID,Dam.ID
52171.1,BR,F,F55-05,1,NA,51736.1,51671.1
52176.1,AGR,M,F55-06,1,NA,51736.1,51671.1
52155.1,BL,F,F55-03,2,NA,51808.1,51773.1
52158.1,WR,M,F55-04,2,NA,51808.1,51773.1
52105.1,AGL,F,F55-01,3,NA,51766.1,51809.1
52106.1,WR,M,F55-02,3,NA,51766.1,51809.1
52189.1,WR,F,F55-07,4,NA,51712.1,51837.1
52196.1,AGR,M,F55-08,4,NA,51712.1,51837.1
52111.1,AGR,F,F55-01,5,NA,51744.1,51835.1
52110.1,AGR,M,F55-02,5,NA,51744.1,51835.1
52113.1,WL,F,F55-01,6,NA,51702.1,51851.1
52114.1,AGL,M,F55-02,6,NA,51702.1,51851.1
52119.1,BR,F,F55-01,7,NA,51776.1,51861.1
52118.1,BR,M,F55-02,7,NA,51776.1,51861.1
52157.1,WR,F,F55-01,8,NA,51796.1,51865.1
52160.1,WL,M,F55-04,8,NA,51796.1,51865.1
52163.1,WL,F,F55-05,9,NA,51806.1,51879.1
52166.1,WR,M,F55-06,9,NA,51806.1,51879.1
52135.1,AGRL,F,F55-03,10,NA,51814.1,51787.1
52134.1,AGL,M,F55-04,10,NA,51814.1,51787.1
52167.1,BL,F,F55-05,11,NA,51826.1,51715.1
52170.1,BR,M,F55-06,11,NA,51826.1,51715.1
52172.1,BR,M,F55-06,11,NA,51826.1,51715.1
52187.1,AR,F,F55-05,13,NA,51708.1,51707.1
52194.1,BL,M,F55-06,13,NA,51708.1,51707.1
52129.1,BR,F,F55-03,14,NA,51716.1,51741.1
52130.1,BR,M,F55-04,14,NA,51716.1,51741.1
52121.1,AGR,F,F55-03,15,NA,51684.1,51761.1
52125.1,AGL,F,F55-03,15,NA,51684.1,51761.1
52122.1,AGR,M,F55-04,15,NA,51684.1,51761.1
54175.1,WRL,F,F55-17,16,NA,51754.1,51903.1
54180.1,AGR,M,F55-18,16,NA,51754.1,51903.1
52195.1,WL,F,F55-07,17,NA,51758.1,51943.1
52078.1,WR,M,F55-08,17,NA,51758.1,51943.1
52097.1,BL,F,F55-09,19,NA,51784.1,52033.1
54102.1,BL,M,F55-10,19,NA,51784.1,52033.1
52091.1,BR,F,F55-09,20,NA,51818.1,52021.1
52098.1,BR,M,F55-10,20,NA,51818.1,52021.1
54101.1,BR,F,F55-11,21,NA,51664.1,51917.1
54103.1,BR,F,F55-11,21,NA,51664.1,51917.1
54110.1,WL,M,F55-12,22,NA,51830.1,51893.1
54112.1,WL,M,F55-12,22,NA,51830.1,51893.1
54107.1,WR,F,F55-11,23,NA,51838.1,51909.1
54108.1,WL,M,F55-10,23,NA,51838.1,51909.1
54159.1,WL,F,F55-15,24,NA,51862.1,51687.1
54162.1,WR,M,F55-16,24,NA,51862.1,51687.1
54115.1,WL,F,F55-11,25,NA,51880.1,52013.1
54118.1,WRL,M,F55-12,25,NA,51880.1,52013.1
54119.1,AGL,F,F55-11,26,NA,51874.1,52029.1
54122.1,AGR,M,F55-12,26,NA,51874.1,52029.1
54181.1,BL,F,F55-17,28,NA,51904.1,51755.1
54184.1,AGL,M,F55-18,28,NA,51904.1,51755.1
52085.1,WR,F,F55-09,29,NA,51912.1,51769.1
52084.1,WL,M,F55-08,29,NA,51912.1,51769.1
54155.1,BL,F,F55-15,30,NA,51908.1,51733.1
54160.1,WL,M,F55-16,30,NA,51908.1,51733.1
54151.1,BR,F,F55-15,31,NA,51932.1,51777.1
54156.1,BL,M,F55-16,31,NA,51932.1,51777.1
54127.1,WR,F,F55-13,32,NA,51918.1,51859.1
54132.1,WR,M,F55-14,32,NA,51918.1,51859.1
54145.1,WR,F,F55-15,34,NA,51922.1,52005.1
54152.1,BR,M,F55-16,34,NA,51922.1,52005.1
52199.1,AGR,F,F55-07,35,NA,51942.1,51817.1
52080.1,AGL,M,F55-08,35,NA,51942.1,51817.1
52087.1,WL,F,F55-09,36,NA,51934.1,51711.1
52090.1,WR,M,F55-10,36,NA,51934.1,51711.1
54171.1,WR,F,F55-17,37,NA,51938.1,51749.1
54172.1,WR,M,F55-18,37,NA,51938.1,51749.1
52089.1,AGR,F,F55-09,38,NA,51952.1,51885.1
52094.1,AGR,M,F55-10,38,NA,51952.1,51885.1
54123.1,BL,F,F55-13,39,NA,51974.1,51667.1
54128.1,BR,M,F55-12,39,NA,51974.1,51667.1
54211.1,BR,F,F55-21,40,NA,51964.1,51781.1
54143.1,AGR,F,F55-15,42,NA,51968.1,51955.1
54148.1,AGR,M,F55-14,42,NA,51968.1,51955.1
54163.1,AGR,F,F55-17,43,NA,51978.1,51873.1
54168.1,AGR,M,F55-16,43,NA,51978.1,51873.1
54185.1,BL,F,F55-19,44,NA,51990.1,51691.1
54188.1,BR,M,F55-20,44,NA,51990.1,51691.1
54167.1,WL,F,F55-17,45,NA,51996.1,52037.1
54174.1,BR,M,F55-18,45,NA,51996.1,52037.1
54137.1,WL,F,F55-13,47,NA,52002.1,51685.1
54144.1,BL,M,F55-14,47,NA,52002.1,51685.1
54135.1,BR,F,F55-13,48,NA,52010.1,52007.1
54140.1,BR,M,F55-14,48,NA,52010.1,52007.1
54129.1,AGR,F,F55-13,49,NA,51704.1,52025.1
54136.1,WL,M,F55-14,49,NA,51704.1,52025.1
54189.1,AGL,F,F55-19,51,NA,51730.1,51999.1
54192.1,AGR,M,F55-20,51,NA,51730.1,51999.1
54247.1,WR,F,F55-23,54,NA,51822.1,52043.1
54241.1,WL,F,F55-23,55,NA,51856.1,51925.1
54236.1,WL,M,F55-24,55,NA,51856.1,51925.1
54219.1,BL,F,F55-21,56,NA,51846.1,51989.1
54210.1,BR,M,F55-22,56,NA,51846.1,51989.1
54255.1,WR,F,F55-25,58,NA,51872.1,51967.1
54246.1,AGR,M,F55-24,58,NA,51872.1,51967.1
54225.1,WL,F,F55-21,59,NA,51868.1,52069.1
54218.1,BL,M,F55-22,59,NA,51868.1,52069.1
54235.1,BR,F,F55-23,61,NA,51948.1,52141.1
54228.1,WR,M,F55-24,61,NA,51948.1,52141.1
54259.1,BR,F,F55-25,63,NA,52008.1,52051.1
54250.1,BR,M,F55-26,63,NA,52008.1,52051.1
54271.1,BR,F,F55-27,64,NA,52016.1,52183.1
54273.1,WL,F,F55-27,64,NA,52016.1,52183.1
54262.1,BL,M,F55-26,64,NA,52016.1,52183.1
