ID,CC,Sex,Home.Cage,Fam.ID,DOB,Sire.ID,Dam.ID,Age
54819.1,AL,F,F56-05,BrF55-01,23-May,52122.1,52111.1,66
54373.1,WR,F,F56-01,BrF55-02,21-May,52090.1,52119.1,68
54377.1,BR,F,F56-01,BrF55-03,21-May,54102.1,52113.1,68
54815.1,BL,F,F56-05,BrF55-04,23-May,52094.1,52129.1,66
54873.1,AR,F,F56-13,BrF55-04,13-Jun,52094.1,52129.1,45
54825.1,WR,F,F56-05,BrF55-05,24-May,52134.1,52163.1,65
54831.1,AR,F,F56-07,BrF55-07,23-May,54152.1,52187.1,66
54381.1,BL,F,F56-01,BrF55-08,22-May,52170.1,52189.1,67
54833.1,WR,F,F56-07,BrF55-09,22-May,52160.1,52199.1,67
56291.1,BR,F,F56-27,BrF55-10,8-Jun,54128.1,52195.1,50
54865.1,WR,F,F56-13,BrF55-11,16-Jun,52114.1,52091.1,42
54855.1,AR,F,F56-11,BrF55-12,1-Jun,52084.1,52097.1,57
54387.1,AR,F,F56-01,BrF55-13,22-May,54184.1,52089.1,67
54391.1,BR,F,F56-03,BrF55-14,22-May,52098.1,54103.1,67
54395.1,WR,F,F56-03,BrF55-14,22-May,52098.1,54103.1,67
54811.1,BR,F,F56-05,BrF55-15,23-May,54156.1,54119.1,66
54807.1,AR,F,F56-05,BrF55-16,23-May,54168.1,54123.1,66
54399.1,AL,F,F56-03,BrF55-17,22-May,54160.1,54137.1,67
54843.1,BR,F,F56-09,BrF55-18,1-Jun,54110.1,54155.1,57
54837.1,WR,F,F56-09,BrF55-19,30-May,52196.1,54175.1,59
54839.1,WR,F,F56-09,BrF55-19,30-May,52196.1,54175.1,59
54845.1,WL,F,F56-09,BrF55-20,1-Jun,54112.1,54167.1,57
54849.1,BL,F,F56-09,BrF55-21,1-Jun,54162.1,54181.1,57
54857.1,WR,F,F56-11,BrF55-22,1-Jun,54172.1,54163.1,57
54861.1,WR,F,F56-11,BrF55-22,1-Jun,54172.1,54163.1,57
54889.1,AR,F,F56-15,BrF55-24,16-Jun,54214.1,52121.1,42
54869.1,BR,F,F56-13,BrF55-26,16-Jun,54204.1,52171.1,42
56225.1,AR,F,F56-19,BrF55-28,18-Jun,54222.1,54135.1,40
54893.1,BR,F,F56-15,BrF55-29,16-Jun,54296.1,54127.1,42
56239.1,WR,F,F56-19,BrF55-30,18-Jun,54228.1,54151.1,40
56263.1,BL,F,F56-23,BrF55-31,18-Jun,54268.1,54143.1,40
56233.1,BL,F,F56-19,BrF55-33,18-Jun,54232.1,54185.1,40
54897.1,AL,F,F56-15,BrF55-34,17-Jun,54280.1,54189.1,41
56243.1,AL,F,F56-19,BrF55-35,18-Jun,52176.1,54219.1,40
56283.1,BR,F,F56-29,BrF55-36,25-Jun,52080.1,54225.1,33
56285.1,AR,F,F56-29,BrF55-37,25-Jun,54148.1,54223.1,33
56287.1,AR,F,F56-29,BrF55-37,25-Jun,54148.1,54223.1,33
56229.1,BR,F,F56-19,BrF55-38,19-Jun,54174.1,54211.1,39
56281.1,AR,F,F56-21,BrF55-39,18-Jun,54188.1,54215.1,40
56293.1,AR,F,F56-27,BrF55-39,18-Jun,54188.1,54215.1,40
56247.1,WR,F,F56-23,BrF55-40,16-Jun,52106.1,54235.1,42
54885.1,WR,F,F56-15,BrF55-42,16-Jun,52166.1,54241.1,42
56201.1,WL,F,F56-15,BrF55-42,16-Jun,52166.1,54241.1,42
54881.1,BL,F,F56-13,BrF55-43,16-Jun,54192.1,54231.1,42
56271.1,WR,F,F56-21,BrF55-44,19-Jun,54246.1,54247.1,39
56251.1,AR,F,F56-23,BrF55-45,19-Jun,52110.1,54255.1,39
54877.1,AL,F,F56-13,BrF55-46,16-Jun,54118.1,54251.1,42
56259.1,BR,F,F56-23,BrF55-50,18-Jun,54144.1,54285.1,40
56205.1,AR,F,F56-17,BrF55-51,17-Jun,54250.1,54281.1,41
56209.1,,F,F56-17,BrF55-41,17-Jun,52194.1,54239.1,41
56255.1,WL,F,F56-23,BrF55-53,18-Jun,54180.1,54293.1,40
56277.1,BL,F,F56-21,BrF55-54,18-Jun,54236.1,54297.1,40
56267.1,BR,F,F56-21,BrF55-55,19-Jun,54254.1,54301.1,39
56295.1,BR,F,F56-31,BrF55-56,,54292.1,54305.1,
56305.1,WR,F,F56-33,BrF55-57,2-Jul,54326.1,52157.1,26
56309.1,WL,F,F56-33,BrF55-58,2-Jul,54348.1,54115.1,26
56311.1,AR,F,F56-33,BrF55-59,2-Jul,54342.1,54101.1,26
56313.1,AL,F,F56-33,BrF55-60,2-Jul,54366.1,54129.1,26
56317.1,AR,F,F56-35,BrF55-61,2-Jul,54322.1,54145.1,26
