id	sire	dam	sex	generation	ped	N_SITES	MEAN_DEPTH	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS	O.HOM.	E.HOM.	N_SITES_HET	F
22509	24403.1	23770.1	1	F39	1	895	12.876	7997	0	7103	0.888208	745	541.7	857	0.64478
22718	24374.1	24147.1	1	F39	2	654	15.7309	7997	0	7342	0.918094	516	395	626	0.52385
22762	24256.1	24037.1	2	F39	2	110	5.44545	7997	0	7887	0.986245	100	66.3	106	0.84875
25827	24078.1	24371.1	2	F39	3	7	4	7997	0	7990	0.999125	7	3.9	7	1
28915	25137.1	24408.1	2	F39	1	709	10.7757	7997	0	7288	0.911342	597	429.4	685	0.65574
28917	25137.1	24408.1	1	F39	3	799	9.26283	7997	0	7198	0.900088	652	485.4	768	0.58958
29153	22718.1	22762.1	2	F40	2	775	13.6348	7997	0	7221	0.902964	538	474.7	748	0.23154
29154	22718.1	22762.1	1	F40	2	829	12.7153	7997	0	7167	0.896211	574	511	803	0.21572
30043	22509.1	28915.1	2	F40	1	837	12.7802	7997	0	7160	0.895336	569	506.2	795	0.21754
30044	22509.1	28915.1	1	F40	1	343	8.82799	7997	0	7653	0.956984	250	212.5	327	0.32754
30045	22509.1	28915.1	1	F40	1	897	9.65106	7997	0	7098	0.887583	632	545.2	858	0.27753
30119	28917.1	25827.1	2	F40	3	857	14.0898	7997	0	7140	0.892835	536	526.8	815	0.03176
30120	28917.1	25827.1	1	F40	3	1000	12.777	7997	0	6998	0.875078	727	603.4	951	0.35552
30308	25830.1	22824.1	2	F40	3	913	9.72399	7997	0	7084	0.885832	718	545.7	875	0.52326
31109	30120.1	30308.1	2	F41	3	252	12.5079	7997	0	7745	0.968488	194	153.6	244	0.44709
31110	30120.1	30308.1	2	F41	3	705	16.5149	7997	0	7292	0.911842	507	431.4	673	0.31283
31429	30044.1	30472.1	2	F41	1	677	11.0222	7997	0	7321	0.915468	568	421.6	655	0.62719
31430	30044.1	30472.1	1	F41	1	832	11.2933	7997	0	7165	0.895961	747	508.2	797	0.82686
31431	30044.1	30472.1	1	F41	1	296	12.1655	7997	0	7701	0.962986	208	178.7	279	0.2919
33731	35975.1	35972.1	2	F42	3	639	11.9218	7997	0	7358	0.920095	524	388.4	610	0.61189
33732	35975.1	35972.1	1	F42	3	652	25.2117	7997	0	7346	0.918594	481	405.9	631	0.33362
33751	31169.1	35354.1	2	F42	2	649	14.6086	7997	0	7348	0.918845	547	398.6	630	0.64139
33752	31169.1	35354.1	1	F42	2	369	14.019	7997	0	7628	0.953858	276	224.1	361	0.37909
33753	31169.1	35354.1	1	F42	2	749	17.474	7997	0	7248	0.90634	557	461.4	716	0.37547
33858	31472.1	35974.1	1	F42	3	36	1.11111	7997	0	7961	0.995498	33	21.9	33	1
33859	31472.1	35974.1	1	F42	3	0	NA	7997	0	7997	1	NA	NA	NA	NA
33863	31484.1	31429.1	2	F42	1	0	NA	7997	0	7997	1	NA	NA	NA	NA
33864	31484.1	31429.1	2	F42	1	1	6	7997	0	7996	0.999875	1	0.5	1	1
33865	31484.1	31429.1	1	F42	1	0	NA	7997	0	7997	1	NA	NA	NA	NA
35216	29150.1	29153.1	2	F41	2	322	10.1708	7997	0	7675	0.959735	294	193	309	0.87063
35217	29150.1	29153.1	1	F41	2	10	6.3	7997	0	7987	0.99875	10	6.4	10	1
35218	29150.1	29153.1	1	F41	2	422	10.5972	7997	0	7575	0.94723	347	259.4	405	0.60157
35354	29154.1	29267.1	2	F41	2	594	8.04377	7997	0	7403	0.925722	453	365.9	567	0.43324
35355	29154.1	29267.1	1	F41	2	620	9.38871	7997	0	7377	0.922471	479	388.8	598	0.43108
35529	30031.1	30043.1	2	F41	1	720	8.26667	7997	0	7278	0.910091	528	443.5	696	0.33457
35530	30031.1	30043.1	1	F41	1	737	25.7015	7997	0	7261	0.907965	472	450.8	701	0.08461
35531	30031.1	30043.1	1	F41	1	768	13.7096	7997	0	7228	0.903839	675	461.1	741	0.76419
35974	29148.1	30119.1	2	F41	3	690	8.15797	7997	0	7306	0.913593	575	425.1	664	0.62745
