idx1	idx2	sire	dam	sex	generation	k.grm	k.ped	ped.kin
22504.1	1	1	25139.1	23747.1	1	F39	0.5645007175	0.698309787193845	22504 29150 29151 30264
22548.1	1	24	24375.1	23773.1	2	F39	0.0899654913	0.394855817991035	22547 22548 22549 22550
29150.1	1	156	22504.1	22520.1	1	F40	0.07665062884	0.544759333164835	22504 22520 29150 29151 30264 35216 35217 35218
29151.1	1	157	22504.1	22520.1	1	F40	0.06761752823	0.544759333164835	22504 22520 29150 29151 30264
30264.1	1	228	22504.1	22520.1	2	F40	0.06772966861	0.544759333164835	22504 22520 29150 29151 30264 31045 31046 31047
31046.1	1	309	30091.1	30264.1	2	F41	0.052692961	0.474420801447102	30091 30264 31045 31046 31047
35216.1	1	540	29150.1	29153.1	2	F41	0.05818301362	0.470081644541662	29150 29153 35216 35217 35218
35218.1	1	542	29150.1	29153.1	1	F41	0.07170921961	0.470081644541662	29150 29153 33704 33705 33706 35216 35217 35218
22505.1	2	2	24349.1	23764.1	2	F39	0.5028951547	0.695348992342161	22505 22506 22507 30370 30371 30372 30373
22506.1	2	3	24349.1	23764.1	1	F39	0.06615845517	0.54663918627489	22505 22506 22507 29332 29333 29334
22507.1	2	4	24349.1	23764.1	1	F39	0.08293098553	0.54663918627489	22505 22506 22507
30370.1	2	250	28007.1	22505.1	2	F40	0.06928675431	0.547001640572016	22505 28007 30370 30371 30372 30373 31161 31163 31165
30371.1	2	251	28007.1	22505.1	1	F40	0.05229462676	0.547001640572016	22505 28007 30370 30371 30372 30373 31426 31427 31428
30373.1	2	253	28007.1	22505.1	2	F40	0.07077601669	0.547001640572016	22505 28007 30370 30371 30372 30373
31163.1	2	334	30605.1	30370.1	1	F41	0.05241127552	0.476665817403501	25707 28007 30370 30605 31161 31163 31165
22505.11	3	2	24349.1	23764.1	2	F39	0.06615845517	0.54663918627489	22505 22506 22507 30370 30371 30372 30373
22506.11	3	3	24349.1	23764.1	1	F39	0.5559108442	0.695348992342161	22505 22506 22507 29332 29333 29334
22507.11	3	4	24349.1	23764.1	1	F39	0.06947635546	0.54663918627489	22505 22506 22507
29332.1	3	169	22506.1	22851.1	2	F40	0.08329437124	0.542643892348458	22506 29332 29333 29334
29333.1	3	170	22506.1	22851.1	2	F40	0.05975847954	0.542643892348458	22506 29332 29333 29334 35532 35533 35534
29334.1	3	171	22506.1	22851.1	1	F40	0.08198536768	0.542643892348458	22506 29332 29333 29334
30370.11	3	250	28007.1	22505.1	2	F40	0.05596016208	0.47264673753838	22505 28007 30370 30371 30372 30373 31161 31163 31165
35533.1	3	579	30035.1	29333.1	2	F41	0.05651429652	0.472660859660917	29333 30035 35532 35533 35534
22505.12	4	2	24349.1	23764.1	2	F39	0.08293098553	0.54663918627489	22505 22506 22507 30370 30371 30372 30373
22506.12	4	3	24349.1	23764.1	1	F39	0.06947635546	0.54663918627489	22505 22506 22507 29332 29333 29334
22507.12	4	4	24349.1	23764.1	1	F39	0.5172914349	0.695348992342161	22505 22506 22507
30370.12	4	250	28007.1	22505.1	2	F40	0.05563657176	0.47264673753838	22505 28007 30370 30371 30372 30373 31161 31163 31165
22508.1	5	5	24403.1	23770.1	2	F39	0.5178488953	0.695991377354494	22508 22509 29270 29271
