fam	id	sire	dam	sex	gen		fam	id	sire	dam	sex	gen						
1	24408	0	0	2	F38		1	24408	0	0	2	F38						
1	25137	0	0	1	F38		1	25137	0	0	1	F38						
1	22509	0	0	1	F39		1	22509	0	0	1	F39						
1	25827	0	0	2	F39		1	28915	25137	24408	2	F39						
1	28915	25137	24408	2	F39		1	30043	22509	28915	2	F40						
1	28917	25137	24408	1	F39		1	30472	0	0	2	F40						
1	29148	0	0	1	F40		1	31429	30044	30472	2	F41						
1	30031	0	0	1	F40													
1	30043	22509	28915	2	F40		1	24408	0	0	2	F38	1	24408	0	0	2	F38
1	30044	22509	28915	1	F40		1	25137	0	0	1	F38	1	25137	0	0	1	F38
1	30119	28917	25827	2	F40		1	22509	0	0	1	F39	1	22509	0	0	1	F39
1	30120	28917	25827	1	F40		1	28915	25137	24408	2	F39	1	28915	25137	24408	2	F39
1	30308	0	0	2	F40		1	30044	22509	28915	1	F40	1	30044	22509	28915	1	F40
1	30472	0	0	2	F40		1	30472	0	0	2	F40	1	30472	0	0	2	F40
1	31109	30120	30308	2	F41		1	31430	30044	30472	1	F41	1	31431	30044	30472	1	F41
1	31110	30120	30308	2	F41													
1	31429	30044	30472	2	F41		1	24408	0	0	2	F38	1	24408	0	0	2	F38
1	31430	30044	30472	1	F41		1	25137	0	0	1	F38	1	25137	0	0	1	F38
1	31431	30044	30472	1	F41		1	22509	0	0	1	F39	1	22509	0	0	1	F39
31472	31472	0	0	1	F41		1	28917	25137	24408	1	F39	1	28917	25137	24408	1	F39
31484	31484	0	0	1	F41		1	25827	0	0	2	F39	1	25827	0	0	2	F39
1	35529	30031	30043	2	F41		1	30119	28917	25827	2	F40	1	30119	28917	25827	2	F40
1	35530	30031	30043	1	F41		1	35974	29148	30119	2	F41	1	35975	29148	30119	1	F41
1	35531	30031	30043	1	F41													
35972	35972	0	0	2	F41		1	24408	0	0	2	F38	1	24408	0	0	2	F38
1	35974	29148	30119	2	F41		1	25137	0	0	1	F38	1	25137	0	0	1	F38
1	35975	29148	30119	1	F41		1	22509	0	0	1	F39	1	22509	0	0	1	F39
							1	28917	25137	24408	1	F39	1	28917	25137	24408	1	F39
							1	25827	0	0	2	F39	1	25827	0	0	2	F39
							1	30120	28917	25827	1	F40	1	30120	28917	25827	1	F40
							1	31109	30120	30308	2	F41	1	31110	30120	30308	2	F41
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
									 									
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
