"id"	"sire"	"dam"	"sex"	"generation"
26580.1	45342.1	45482.1	"1"	50
26581.1	45342.1	45482.1	"2"	50
26582.1	45352.1	45484.1	"2"	50
26583.1	45352.1	45484.1	"1"	50
26584.1	45355.1	45485.1	"1"	50
26585.1	45355.1	45485.1	"2"	50
26586.1	45357.1	45359.1	"1"	50
26587.1	45357.1	45359.1	"2"	50
26588.1	45426.1	45353.1	"2"	50
26589.1	45426.1	45353.1	"1"	50
26590.1	45479.1	45382.1	"2"	50
26591.1	45479.1	45382.1	"1"	50
26592.1	45438.1	45457.1	"1"	50
26593.1	45438.1	45457.1	"2"	50
26594.1	45425.1	45393.1	"1"	50
26595.1	45425.1	45393.1	"2"	50
45493.1	45471.1	45467.1	"2"	50
45494.1	45471.1	45467.1	"1"	50
45496.1	45371.1	45301.1	"1"	50
45497.1	45371.1	45301.1	"2"	50
45498.1	45381.1	45305.1	"2"	50
45499.1	45452.1	45307.1	"1"	50
46001.1	45452.1	45307.1	"2"	50
46002.1	45432.1	45313.1	"2"	50
46004.1	45441.1	45316.1	"1"	50
46005.1	45441.1	45316.1	"2"	50
46006.1	45465.1	45323.1	"2"	50
46007.1	45465.1	45323.1	"1"	50
46008.1	45312.1	45466.1	"2"	50
46009.1	45312.1	45466.1	"1"	50
46010.1	45324.1	45325.1	"1"	50
46011.1	45324.1	45325.1	"2"	50
46012.1	45320.1	45328.1	"1"	50
46013.1	45320.1	45328.1	"2"	50
46014.1	45380.1	45340.1	"2"	50
46015.1	45380.1	45340.1	"1"	50
46016.1	45314.1	45385.1	"1"	50
46017.1	45314.1	45385.1	"2"	50
46019.1	45315.1	45434.1	"2"	50
46020.1	45315.1	45434.1	"1"	50
46023.1	45318.1	45383.1	"1"	50
46024.1	45446.1	45392.1	"1"	50
46027.1	45364.1	45397.1	"1"	50
46126.1	45384.1	45389.1	"1"	50
46127.1	45384.1	45389.1	"2"	50
46128.1	45303.1	45322.1	"1"	50
46129.1	45303.1	45322.1	"2"	50
46130.1	45447.1	45311.1	"1"	50
46131.1	45447.1	45311.1	"2"	50
46132.1	45440.1	45310.1	"1"	50
46133.1	45440.1	45310.1	"2"	50
46134.1	45464.1	45360.1	"1"	50
46135.1	45464.1	45360.1	"2"	50
46136.1	45374.1	45431.1	"1"	50
46137.1	45374.1	45431.1	"2"	50
46138.1	45444.1	45369.1	"1"	50
46139.1	45444.1	45369.1	"2"	50
46140.1	45450.1	45463.1	"1"	50
46141.1	45450.1	45463.1	"2"	50
46142.1	45488.1	45398.1	"1"	50
46143.1	45488.1	45398.1	"2"	50
46144.1	45370.1	45475.1	"1"	50
46145.1	45370.1	45475.1	"2"	50
46146.1	45367.1	45451.1	"1"	50
46147.1	45367.1	45451.1	"2"	50
46148.1	45468.1	45304.1	"1"	50
46149.1	45468.1	45304.1	"2"	50
46150.1	45435.1	45481.1	"1"	50
46151.1	45435.1	45481.1	"2"	50
46152.1	45416.1	45333.1	"1"	50
46153.1	45416.1	45333.1	"2"	50
46154.1	45339.1	45334.1	"1"	50
46155.1	45339.1	45334.1	"2"	50
46156.1	45377.1	45335.1	"1"	50
46157.1	45377.1	45335.1	"2"	50
46307.1	45459.1	45472.1	"2"	50
46319.1	45351.1	45478.1	"2"	50
46320.1	45351.1	45478.1	"1"	50
46341.1	45358.1	45417.1	"2"	50
46345.1	45390.1	454940.1	"2"	50
46349.1	45327.1	45449.1	"2"	50
46353.1	45420.1	45486.1	"2"	50
46356.1	45348.1	45418.1	"1"	50
46357.1	45348.1	45418.1	"2"	50
46360.1	45341.1	45454.1	"1"	50
46361.1	45341.1	45454.1	"2"	50
46364.1	45489.1	45354.1	"1"	50
46365.1	45489.1	45354.1	"2"	50
46369.1	45326.1	45356.1	"2"	50
46372.1	45480.1	45455.1	"1"	50
46386.1	45483.1	45362.1	"1"	50
46388.1	45391.1	45430.1	"1"	50
46389.1	45391.1	45430.1	"2"	50
46392.1	45462.1	45439.1	"1"	50
46393.1	45462.1	45439.1	"2"	50
46397.1	45458.1	45375.1	"2"	50
46429.1	45330.1	45476.1	"2"	50
46430.1	45330.1	45476.1	"1"	50
46433.1	45387.1	45461.1	"2"	50
46434.1	45387.1	45461.1	"1"	50
46437.1	45429.1	45378.1	"2"	50
46438.1	45429.1	45378.1	"1"	50
46442.1	45422.1	45379.1	"1"	50
46446.1	45453.1	45365.1	"1"	50
46447.1	45453.1	45365.1	"2"	50
46450.1	45423.1	45373.1	"1"	50
