id	sire	dam	sex	generation
265800	453420	454820	1	50
265810	453420	454820	2	50
265820	453520	454840	2	50
265830	453520	454840	1	50
265840	453550	454850	1	50
265850	453550	454850	2	50
265860	453570	453590	1	50
265870	453570	453590	2	50
265880	454260	453530	2	50
265890	454260	453530	1	50
265900	454790	453820	2	50
265910	454790	453820	1	50
265920	454380	454570	1	50
265930	454380	454570	2	50
265940	454250	453930	1	50
265950	454250	453930	2	50
454930	454710	454670	2	50
454940	454710	454670	1	50
454960	453710	453010	1	50
454970	453710	453010	2	50
454980	453810	453050	2	50
454990	454520	453070	1	50
460010	454520	453070	2	50
460020	454320	453130	2	50
460040	454410	453160	1	50
460050	454410	453160	2	50
460060	454650	453230	2	50
460070	454650	453230	1	50
460080	453120	454660	2	50
460090	453120	454660	1	50
460100	453240	453250	1	50
460110	453240	453250	2	50
460120	453200	453280	1	50
460130	453200	453280	2	50
460140	453800	453400	2	50
460150	453800	453400	1	50
460160	453140	453850	1	50
460170	453140	453850	2	50
460190	453150	454340	2	50
460200	453150	454340	1	50
460230	453180	453830	1	50
460240	454460	453920	1	50
460270	453640	453970	1	50
461260	453840	453890	1	50
461270	453840	453890	2	50
461280	453030	453220	1	50
461290	453030	453220	2	50
461300	454470	453110	1	50
461310	454470	453110	2	50
461320	454400	453100	1	50
461330	454400	453100	2	50
461340	454640	453600	1	50
461350	454640	453600	2	50
461360	453740	454310	1	50
461370	453740	454310	2	50
461380	454440	453690	1	50
461390	454440	453690	2	50
461400	454500	454630	1	50
461410	454500	454630	2	50
461420	454880	453980	1	50
461430	454880	453980	2	50
461440	453700	454750	1	50
461450	453700	454750	2	50
461460	453670	454510	1	50
461470	453670	454510	2	50
461480	454680	453040	1	50
461490	454680	453040	2	50
461500	454350	454810	1	50
461510	454350	454810	2	50
461520	454160	453330	1	50
461530	454160	453330	2	50
461540	453390	453340	1	50
461550	453390	453340	2	50
461560	453770	453350	1	50
461570	453770	453350	2	50
463070	454590	454720	2	50
463190	453510	454780	2	50
463200	453510	454780	1	50
463410	453580	454170	2	50
463450	453900	4549400	2	50
463490	453270	454490	2	50
463530	454200	454860	2	50
463560	453480	454180	1	50
463570	453480	454180	2	50
463600	453410	454540	1	50
463610	453410	454540	2	50
463640	454890	453540	1	50
463650	454890	453540	2	50
463690	453260	453560	2	50
463720	454800	454550	1	50
463860	454830	453620	1	50
463880	453910	454300	1	50
463890	453910	454300	2	50
463920	454620	454390	1	50
463930	454620	454390	2	50
463970	454580	453750	2	50
464290	453300	454760	2	50
464300	453300	454760	1	50
464330	453870	454610	2	50
464340	453870	454610	1	50
464370	454290	453780	2	50
464380	454290	453780	1	50
464420	454220	453790	1	50
464460	454530	453650	1	50
464470	454530	453650	2	50
464500	454230	453730	1	50
464510	454230	453730	2	50
464540	454740	454330	1	50
464550	454740	454330	2	50
464570	453060	453500	2	50
464580	453060	453500	1	50
464610	453450	454480	2	50
464620	453450	454480	1	50
464650	454560	454360	2	50
464660	454770	453440	1	50
464690	453080	453720	2	50
464700	453080	453720	1	50
464730	454770	453440	2	50
464740	454560	454360	1	50
464780	453950	454280	1	50
464790	453950	454280	2	50
464820	454000	454690	1	50
464830	454000	454690	2	50
464860	453090	454190	1	50
464870	453090	454190	2	50
464900	454700	453470	1	50
464910	454700	453470	2	50
464970	453990	454870	2	50
464980	453990	454870	1	50
466400	454700	454370	1	50
466410	454700	454370	2	50
466440	454950	453880	1	50
466450	454950	453880	2	50
466720	453360	453680	1	50
466750	453360	453680	2	50
466950	461700	460800	2	51
482900	464770	464890	1	51
483040	461700	460800	1	51
483050	460990	460680	2	51
483060	460990	460680	1	51
483110	461170	460330	2	51
483130	461640	461860	2	51
483140	461170	460330	1	51
483160	461640	461860	1	51
483250	461710	460760	2	51
483260	461630	460830	1	51
483280	461710	460760	1	51
483310	461630	460830	2	51
483320	460860	460820	1	51
483370	460860	460820	2	51
483420	265740	460670	1	51
483440	460300	461760	1	51
483450	460300	461760	2	51
483470	462010	460340	2	51
483480	462010	460340	1	51
483520	461690	461870	1	51
483530	461690	461870	2	51
483550	460900	460430	2	51
483580	460900	460430	1	51
483610	461790	461200	2	51
483620	461790	461200	1	51
483650	460550	460540	2	51
483660	460550	460540	1	51
483690	460570	460480	2	51
483700	460570	460480	1	51
483730	463460	461180	2	51
