id	sire	dam	sex	generation
22504.1	25139.1	23747.1	1	F39
22505.1	24349.1	23764.1	2	F39
22506.1	24349.1	23764.1	1	F39
22507.1	24349.1	23764.1	1	F39
22508.1	24403.1	23770.1	2	F39
22509.1	24403.1	23770.1	1	F39
22520.1	24541.1	23758.1	2	F39
22521.1	24541.1	23758.1	2	F39
22522.1	24541.1	23758.1	1	F39
22523.1	24541.1	23758.1	1	F39
22524.1	24399.1	23761.1	2	F39
22525.1	24399.1	23761.1	2	F39
22526.1	24399.1	23761.1	1	F39
22527.1	24399.1	23761.1	1	F39
22528.1	23779.1	23776.1	2	F39
22529.1	23779.1	23776.1	2	F39
22530.1	23779.1	23776.1	1	F39
22531.1	23779.1	23776.1	1	F39
22532.1	24077.1	23778.1	2	F39
22533.1	24077.1	23778.1	2	F39
22534.1	24077.1	23778.1	1	F39
22535.1	24077.1	23778.1	1	F39
22547.1	24375.1	23773.1	2	F39
22548.1	24375.1	23773.1	2	F39
22549.1	24375.1	23773.1	1	F39
22550.1	24375.1	23773.1	1	F39
22551.1	24309.1	24018.1	2	F39
22554.1	24309.1	24018.1	1	F39
22675.1	24306.1	23762.1	2	F39
22676.1	24306.1	23762.1	1	F39
22677.1	24035.1	24017.1	2	F39
22678.1	24035.1	24017.1	1	F39
22680.1	23799.1	24082.1	2	F39
22681.1	23799.1	24082.1	1	F39
22711.1	23774.1	23797.1	2	F39
22712.1	23774.1	23797.1	1	F39
22713.1	23774.1	23797.1	1	F39
22714.1	24481.1	24148.1	2	F39
22715.1	24481.1	24148.1	2	F39
22716.1	24481.1	24148.1	1	F39
22717.1	24374.1	24147.1	2	F39
22718.1	24374.1	24147.1	1	F39
22719.1	24038.1	24348.1	2	F39
22720.1	24038.1	24348.1	2	F39
22721.1	24038.1	24348.1	1	F39
22722.1	24038.1	24348.1	1	F39
22723.1	24363.1	24342.1	2	F39
22725.1	24363.1	24342.1	1	F39
22728.1	24363.1	24342.1	1	F39
22762.1	24256.1	24037.1	2	F39
22763.1	24256.1	24037.1	1	F39
22764.1	24089.1	24144.1	2	F39
