id	sire	dam	sex	generation			
-9999	0	0	1	0			
-9998	0	0	2	0			
-9997	-9999	-9998	1	1			
-9996	-9999	-9998	2	1			
66	-9997	-9996	2	2			
67	-9997	-9996	2	2			
68	-9997	-9996	1	2			
73	-9997	-9996	1	2			
84	-9997	-9996	1	2			
87	-9997	-9996	1	2			
97	-9997	-9996	2	2			
100	-9997	-9996	1	2			
101	-9997	-9996	2	2			
104	-9997	-9996	2	2			
108	-9997	-9996	1	2			
113	-9997	-9996	2	2			
115	-9997	-9996	1	2			
116	-9997	-9996	2	2			
118	-9997	-9996	1	2			
120	-9997	-9996	1	2			
121	-9997	-9996	2	2			
123	-9997	-9996	1	2			
124	-9997	-9996	2	2			
125	-9997	-9996	1	2			
127	-9997	-9996	1	2			
128	-9997	-9996	2	2			
130	-9997	-9996	2	2			
131	-9997	-9996	1	2			
132	-9997	-9996	2	2			
135	-9997	-9996	2	2			
136	-9997	-9996	1	2			
141	-9997	-9996	2	2			
143	-9997	-9996	1	2			
154	-9997	-9996	1	2			
155	-9997	-9996	2	2			
160	-9997	-9996	1	2			
162	-9997	-9996	2	2			
165	-9997	-9996	1	2			
167	-9997	-9996	2	2			
168	-9997	-9996	2	2			
175	-9997	-9996	2	2			
178	-9997	-9996	2	2			
183	-9997	-9996	1	2			
186	-9997	-9996	1	2			
187	-9997	-9996	2	2			
190	-9997	-9996	2	2			
191	-9997	-9996	2	2			
195	-9997	-9996	1	2			
196	-9997	-9996	1	2			
197	-9997	-9996	1	2			
198	-9997	-9996	2	2			
200	-9997	-9996	1	2			
201	-9997	-9996	2	2			
202	-9997	-9996	2	2			
203	-9997	-9996	2	2			
204	-9997	-9996	1	2			
208	-9997	-9996	2	2			
210	-9997	-9996	1	2			
213	-9997	-9996	2	2			
215	-9997	-9996	2	2			
216	-9997	-9996	2	2			
217	-9997	-9996	1	2			
218	-9997	-9996	1	2			
220	-9997	-9996	1	2			
222	-9997	-9996	1	2			
223	-9997	-9996	1	2			
225	-9997	-9996	1	2			
226	-9997	-9996	2	2			
228	-9997	-9996	2	2			
229	-9997	-9996	1	2			
230	-9997	-9996	1	2			
231	-9997	-9996	1	2			
232	-9997	-9996	1	2			
233	-9997	-9996	2	2			
236	-9997	-9996	2	2			
238	-9997	-9996	1	2			
239	-9997	-9996	1	2			
242	-9997	-9996	2	2			
243	-9997	-9996	2	2			
245	-9997	-9996	1	2			
249	-9997	-9996	2	2			
250	-9997	-9996	1	2			
251	-9997	-9996	1	2			
253	-9997	-9996	2	2			
256	-9997	-9996	2	2			
259	-9997	-9996	1	2			
260	-9997	-9996	2	2			
262	-9997	-9996	1	2			
263	-9997	-9996	1	2			
265	-9997	-9996	1	2			
266	-9997	-9996	2	2			
267	-9997	-9996	2	2			
269	-9997	-9996	2	2			
272	-9997	-9996	2	2			
274	-9997	-9996	1	2			
275	-9997	-9996	2	2			
280	-9997	-9996	2	2			
282	-9997	-9996	2	2			
284	-9997	-9996	2	2			
285	-9997	-9996	2	2			
288	-9997	-9996	2	2			
289	-9997	-9996	2	2			
290	-9997	-9996	2	2			
291	-9997	-9996	2	2			
292	-9997	-9996	2	2			
297	-9997	-9996	1	2			
