one sex glu.age glu.weight
1 1 69 25.1
1 1 78 25.4
1 0 86 34.8
1 1 75 22.6
1 1 101 26.2
1 0 70 25.3
1 0 75 20.6
1 1 76 22.1
1 1 74 18.2
1 1 87 22.1
1 0 77 30.3
1 0 78 26.9
1 1 72 21.2
1 1 78 33
1 1 73 21.5
1 1 75 24.6
1 1 77 25.5
1 0 84 32.2
1 0 74 26.8
1 1 82 20.2
1 1 77 24.8
1 0 75 29.9
1 0 71 25.6
1 1 77 19.8
1 0 72 29
1 1 75 16.3
1 1 76 20.4
1 0 82 30.3
1 1 74 26.8
1 1 73 29.5
1 0 72 31.7
1 0 81 40
1 0 74 24
1 1 68 23.4
1 0 76 28.6
1 0 76 29
1 1 75 19.8
1 0 70 28.3
1 0 76 35.7
1 1 75 24.9
1 0 74 30.9
1 1 75 20.8
1 0 74 33.6
1 1 81 27.2
1 1 70 22.6
1 0 73 33.2
1 1 77 17.5
1 1 75 19.8
1 0 75 32.7
1 0 72 27.6
1 1 89 31.8
1 0 69 36.1
1 1 75 21.3
1 1 98 25.8
1 1 75 19.8
1 1 73 21.6
1 1 74 20.4
1 0 82 28.8
1 0 71 26.7
1 1 74 19.6
1 1 81 24.5
1 1 78 23.4
1 1 76 24
1 1 70 27.4
1 1 74 18.7
1 1 105 28.1
1 1 76 22.1
1 0 77 35.9
1 0 71 24.8
1 1 82 28.6
1 0 91 35.3
1 0 74 27.5
1 1 71 22.1
1 1 74 23.8
1 1 76 18.6
1 1 70 17.7
1 1 75 23.6
1 0 70 31
1 1 77 31.3
1 0 75 28
1 0 70 25.3
1 1 73 21.1
1 0 88 25.1
1 0 69 27.2
1 1 74 20.4
1 0 74 28.2
1 0 75 24.8
1 0 75 31.5
1 0 85 34.6
1 0 70 37
1 0 77 36.6
1 0 75 28.5
1 0 NA NA
1 1 110 27
1 0 NA NA
1 0 70 26.8
1 0 78 35
1 0 NA 37.9
1 1 73 23.5
1 0 110 47
1 0 75 28.5
1 0 69 31.9
1 0 74 29.1
1 0 75 28.3
1 0 90 33.3
1 0 71 25.9
1 0 69 23.4
1 1 73 23
1 1 92 25.6
1 0 73 39.1
1 1 74 34
1 0 69 29.3
1 1 71 24.4
1 0 71 30
1 1 77 17.6
1 0 73 27.7
1 0 85 34.4
1 1 75 18.7
1 0 77 24
1 0 73 27
1 0 85 29.6
1 0 75 26
1 0 70 25.4
1 1 72 21.3
1 0 75 33.4
1 1 73 28
1 0 75 23.6
1 0 73 22.1
1 0 69 32.1
1 1 75 16.7
1 1 82 29
1 0 76 28.3
1 1 75 18.1
1 1 100 23.4
1 1 74 18.4
1 1 79 33.8
1 0 92 33.5
1 0 75 42
1 1 75 22.7
1 0 75 25.7
1 1 78 27.8
1 1 73 22.9
1 1 84 24.5
1 1 73 20.9
1 1 71 19.9
1 0 73 26.3
1 1 90 23.5
1 0 75 28.8
1 1 76 25.8
1 1 73 26.6
1 1 79 21.3
1 1 75 20.4
1 1 82 21
1 1 83 21.5
1 0 76 29.2
1 0 74 26.3
1 0 81 35.5
1 0 76 28.1
1 1 80 30.4
1 1 79 20.3
1 0 76 28.6
1 1 75 24.1
1 1 72 22.6
1 1 85 22.2
1 0 73 25.9
1 1 77 23.4
1 0 83 31.3
1 0 76 30.5
1 0 69 30.2
1 1 74 23.8
1 0 83 23.3
1 0 73 26.6
1 1 76 21.7
1 1 75 20.3
1 1 75 23.7
1 1 84 24
1 0 73 29.6
1 1 76 25.5
1 0 75 29.2
1 0 75 32.3
1 0 101 32.8
1 1 75 18.2
1 0 74 28.4
1 1 72 22
1 1 85 25.7
1 0 73 29.3
1 0 75 30
1 1 69 21.9
1 1 71 25.5
1 0 75 39.1
1 0 70 30
1 0 74 34.3
1 1 75 19.7
1 0 74 28.9
1 0 82 26.6
1 0 74 29.5
1 0 76 41
1 1 73 22.8
1 0 77 25.6
1 0 82 30.8
1 0 73 29.9
1 0 77 25.9
1 1 72 19.7
1 0 76 31.7
1 1 71 20.8
1 0 70 31
1 0 115 42.9
1 0 76 30.8
1 0 73 26.6
1 1 70 29.1
1 1 76 22.9
1 0 77 30.4
1 1 70 19.2
1 1 70 18.9
1 1 79 24
1 1 75 28.2
1 0 83 36.1
1 1 75 22.8
1 0 77 39
1 0 71 28.5
1 0 82 32.1
1 1 72 19
1 0 73 31.7
1 1 77 22.8
1 0 76 38.3
1 1 75 19.5
1 1 87 23.8
1 0 75 28.9
1 0 89 42
1 0 73 35.5
1 0 74 28
1 0 75 21.1
1 0 76 19.4
1 0 74 35.8
1 1 82 24.4
1 0 84 33.1
1 1 74 21.3
1 0 74 35.9
1 1 75 28.4
1 0 75 43.5
1 1 73 28.7
1 0 70 35.2
1 1 83 24
1 1 75 19.7
1 1 88 25.9
1 0 71 33
1 1 73 22.5
1 1 73 19
1 1 99 21.1
1 0 73 24.1
1 1 76 22.5
1 1 71 21
1 1 72 26.8
1 1 73 24.8
1 0 78 31.9
1 1 74 25.4
1 1 85 23.7
1 1 75 19.3
1 1 75 21.3
1 1 76 26.4
1 0 70 28.5
1 1 73 23.6
1 0 75 40.7
1 1 72 23.9
1 1 80 20.1
1 0 73 33.2
1 0 74 31.1
1 1 74 22.3
1 1 69 21.8
1 1 88 23.4
1 1 73 18.6
1 0 76 34.2
1 0 75 31.5
1 0 73 26.8
1 1 77 21.7
1 1 75 34.6
1 1 83 22.2
1 1 78 24.7
1 0 77 35.4
1 0 70 23.2
1 0 77 28.5
1 0 75 23.5
1 0 77 31
1 1 73 20.8
1 0 73 34.1
1 1 83 18.9
1 0 80 33.7
1 0 87 30.1
1 0 74 25.2
1 0 75 31.8
1 1 74 19.2
1 0 70 31.3
1 1 73 22.8
1 0 77 28.6
1 0 72 25.8
1 1 74 25.1
1 0 74 29.1
1 1 77 21.3
1 1 77 20.4
1 1 75 26.4
1 1 71 26.6
1 1 76 19.9
1 0 76 29.5
1 1 77 21.8
1 0 83 28.4
1 1 76 25.9
1 1 73 19.8
1 1 74 19.4
1 0 73 34.5
1 0 75 29.6
1 1 73 20.8
1 0 72 25.9
1 0 75 19.7
1 0 85 23.8
1 0 72 25.3
1 1 76 19.6
1 0 75 35.1
1 1 71 17.8
1 1 77 24.4
1 1 82 22.6
1 1 70 22.7
1 0 75 33.1
1 0 76 38.9
1 0 69 28.8
1 0 74 24.9
1 1 76 15.9
1 0 83 29.6
1 1 76 23.3
1 1 74 24.1
1 0 76 29.2
1 1 76 20.4
1 0 77 27.6
1 0 77 28
1 0 78 33.8
1 1 74 23.2
1 0 69 30.9
1 0 70 32.8
1 0 69 31.5
1 0 76 30.4
1 1 76 21.4
1 1 70 21.3
1 1 115 24.3
1 1 75 16.4
1 0 69 19.7
1 0 73 31.6
1 1 74 25.4
1 1 85 24.6
1 1 74 18.7
1 0 74 27.8
1 0 NA 33.5
1 0 76 29.5
1 0 75 28.9
1 1 78 23.7
1 1 73 24.3
1 1 75 26.5
1 1 122 23.2
1 1 74 21.7
1 0 71 30.2
1 1 85 27.5
1 1 71 20.8
1 1 72 25.2
1 0 75 28.2
1 1 74 23.6
1 1 74 22.9
1 0 85 40
1 0 90 33.6
1 0 76 24
1 0 82 39.2
1 0 70 35.2
1 0 71 25.8
1 1 73 19.4
1 1 76 22.6
1 0 73 26.4
1 1 74 24.8
1 0 72 25.3
1 0 73 33.7
1 1 84 23.9
1 0 76 27.6
1 0 82 28
1 1 78 24.4
1 1 71 23.3
1 1 75 23
1 0 75 23.8
1 1 79 28.7
1 1 72 37
1 1 71 21.7
1 1 75 23.6
1 0 99 36.5
1 1 80 20.9
1 0 77 28.2
1 1 75 22.6
1 0 78 37.3
1 0 74 25.1
1 1 75 25
1 0 76 22.9
1 0 85 31.5
1 1 73 25.8
1 1 74 21
1 1 77 22.6
1 1 73 20.2
1 0 73 28.4
1 1 72 23.4
1 0 75 27.6
1 0 73 26.9
1 0 77 30
1 1 75 25
1 1 69 19.8
1 1 83 26.4
1 0 76 28.5
1 1 84 24
1 1 76 26.2
1 1 74 26.4
1 1 73 19.4
1 0 73 28.9
1 1 80 24.5
1 0 76 35.6
1 0 73 22.7
1 0 74 26.5
1 0 72 28.9
1 0 74 27.1
1 1 71 24.6
1 0 82 32.7
1 1 78 21
1 1 74 20.8
1 0 85 26.5
1 1 73 22.7
1 1 75 20.1
1 1 73 23
1 0 76 33.8
1 1 77 24
1 0 74 25.5
1 1 81 31.5
1 0 73 26.6
1 0 105 36.3
1 0 74 30.9
1 1 75 22.9
1 1 94 25.8
1 1 73 21.4
1 1 74 20.9
1 1 74 23.3
1 0 76 32.9
1 1 77 25.3
1 0 77 31.5
1 1 75 20.9
1 1 69 14.7
1 0 79 31.8
1 0 68 19.4
1 1 75 18.8
1 0 73 32.2
1 1 88 21.2
1 0 78 33.6
1 0 70 27.5
1 1 73 20.3
1 1 84 21.5
1 0 74 24.2
1 1 76 21.5
1 1 76 20
1 1 74 16.4
1 1 NA 31
1 1 75 20.2
1 0 73 25
1 1 85 24.1
1 0 74 31
1 0 76 29.9
1 1 69 20.6
1 1 74 21.1
1 1 72 20
1 0 82 28
1 0 75 35.1
1 1 75 24.3
1 0 75 26.6
1 1 75 20.8
1 1 74 17.2
1 0 84 39
1 1 81 32.1
1 0 80 32.4
1 0 78 32.6
1 0 77 32.7
1 1 69 21.5
1 0 70 25.2
1 1 74 19.6
1 1 70 23.8
1 0 70 30.9
1 0 75 28.8
1 0 71 36.2
1 0 79 28.8
1 1 79 22
1 0 76 29.2
1 0 72 29.4
1 1 76 23.1
1 1 81 22.6
1 1 93 20.3
1 1 80 28.2
1 0 73 28.6
1 0 75 32.6
1 1 74 20.6
1 0 76 29
1 1 75 20.5
1 1 98 24.2
1 0 75 26.1
1 1 70 20.5
1 0 75 29.4
1 0 75 33.9
1 0 74 32
1 0 115 40.9
1 0 71 25.9
1 0 76 29.7
1 0 75 32.1
1 1 76 25.9
1 1 70 17.8
1 0 73 27.7
1 0 72 30.9
1 1 76 22
1 0 76 29.2
1 1 75 23.7
1 0 76 24.7
1 0 75 25.7
1 1 70 21.5
1 0 76 31.6
1 0 73 21.7
1 1 74 23.3
1 0 75 33.5
1 1 73 17.9
1 1 75 16.7
1 1 70 25
1 1 70 16.6
1 1 70 19.8
1 0 71 28.7
1 0 74 26.4
1 1 73 28.9
1 0 83 25.1
1 0 74 36
1 0 78 39.9
1 1 74 22.3
1 0 78 30.4
1 1 76 21.7
1 1 71 19.2
1 0 82 31.1
1 1 84 23.7
1 1 76 23.9
1 1 76 22.2
1 0 82 32.3
1 1 71 25
1 1 73 23.1
1 0 75 33.3
1 0 72 28.1
1 1 75 18.9
1 0 74 23.7
1 0 75 28.6
1 0 82 35.6
1 0 76 36.3
1 0 73 26.9
1 1 83 27.9
1 1 76 17.7
1 0 67 27.5
1 1 86 25.1
1 1 69 21.2
1 1 71 28.2
1 1 122 30
1 0 72 28.9
1 1 74 19.5
1 0 76 28.7
1 1 85 26.1
1 0 82 41.3
1 0 72 30.1
1 1 82 26.2
1 0 75 28.7
1 1 74 20.2
1 0 83 25.4
1 0 NA NA
1 0 73 33.5
1 0 76 22.4
1 1 73 22.6
1 0 76 31.5
1 0 73 26.3
1 1 76 24.2
1 0 76 26.9
1 0 73 34.8
1 1 88 22.5
1 1 74 22.3
1 1 73 21.4
1 0 78 32.5
1 0 75 35.1
1 0 73 30.8
1 1 73 21.8
1 1 74 20.6
1 1 75 24.2
1 0 73 28
1 0 82 37.3
1 0 75 29.8
1 0 71 28.6
1 1 73 24
1 0 70 34
1 1 92 20.6
1 0 72 28.8
1 1 77 21.6
1 0 75 31.8
1 1 72 22.7
1 1 77 23.6
1 0 74 31
1 1 90 23.8
1 0 76 30.6
1 1 83 22.7
1 1 75 22.5
1 1 70 22.8
1 1 77 21.2
1 0 78 33.5
1 1 77 22.8
1 1 NA NA
1 0 77 32.4
1 0 77 33.3
1 0 68 26.3
1 1 76 26.4
1 1 76 22.3
1 0 88 31.9
1 0 70 21.6
1 1 74 21.4
1 1 72 26.1
1 1 74 25.7
1 0 73 24.3
1 1 72 19
1 1 76 20.7
1 0 76 26.2
1 0 73 27
1 0 77 33.1
1 0 75 30.9
1 0 71 27.5
1 1 75 19.8
1 0 76 28.7
1 1 74 21.9
1 0 73 27.9
1 0 78 31.9
1 0 85 32.5
1 0 84 35
1 1 74 23
1 0 70 30
1 1 72 21
1 1 82 22.8
1 0 75 29.2
1 1 74 19.4
1 1 70 22
1 0 77 32.6
1 0 74 27.8
1 0 75 27.6
1 0 79 38.9
1 1 74 19.5
1 0 73 28.8
1 1 73 24.1
1 0 101 40.2
1 0 75 39.4
1 0 108 35
1 0 75 33.4
1 1 75 23
1 0 76 29.2
1 1 73 20.6
1 0 75 27.7
1 1 85 18.1
1 1 78 24.7
1 0 75 31.9
1 0 76 28.5
1 0 78 28.8
1 1 77 22.5
1 1 71 23.2
1 0 75 26.7
1 0 76 29.3
1 1 73 19.3
1 0 85 32
1 1 76 22.3
1 0 69 30.1
1 0 74 28.9
1 1 76 23.2
1 1 85 22.4
1 1 75 19.2
1 0 70 23.1
1 1 77 25.8
1 0 72 26.2
1 1 75 23.5
1 1 83 24.3
1 1 73 20
1 0 77 32.1
1 1 74 28.3
1 0 87 29.2
1 1 83 28.8
1 1 85 22.4
1 0 72 33.2
1 1 71 23.9
1 0 75 29.2
1 0 78 33.8
1 0 75 29.4
1 0 75 34
1 0 81 27
1 0 73 25.6
1 0 76 29.8
1 0 74 30.8
1 1 84 22.9
1 1 76 18.9
1 1 74 18.4
1 1 75 19.6
1 0 81 43.4
1 0 75 30.3
1 1 83 22.2
1 0 74 32.6
1 0 77 25.9
1 0 74 30.8
1 1 76 16.4
1 1 76 28.1
1 0 78 29
1 0 78 30.9
1 1 82 21.8
1 0 73 37.9
1 0 76 20.9
1 0 73 23.9
1 1 73 16.9
1 0 75 32.5
1 1 83 19.2
1 0 76 31.7
1 0 76 33.9
1 0 84 38
1 1 80 23
1 1 76 18.1
1 0 75 28
1 0 73 30.1
1 0 75 25.4
1 0 80 39.1
1 0 80 32
1 0 74 23
1 1 73 24
1 1 76 26
1 1 71 20.5
1 1 80 28.4
1 1 74 27.3
1 0 83 43.4
1 1 75 20.2
1 1 70 21.6
1 0 71 31.6
1 1 73 20.6
1 1 77 26
1 0 73 26.7
1 0 74 23.5
1 0 75 23.6
1 0 80 28.3
1 1 70 19.8
1 0 74 27
1 1 83 18.6
1 0 115 46.7
1 0 70 35.7
1 0 70 24.2
1 0 75 29.3
1 0 77 33.9
1 1 74 27.9
1 1 78 22.6
1 0 70 30.3
1 1 75 28.8
1 1 75 16.5
1 0 82 32.1
1 1 72 17.9
1 0 72 21.9
1 0 75 24.7
1 0 74 29.7
1 0 75 40
1 0 74 34.1
1 1 88 20.2
1 0 73 27.2
1 1 76 15.2
1 0 80 31.3
1 0 73 26.8
1 0 85 26
1 0 74 40.5
1 1 75 21.6
1 0 74 24.7
1 1 87 24.9
1 1 73 20.2
1 1 73 24.6
1 0 88 35.5
1 0 73 25.4
1 0 77 33
1 0 72 21.2
1 0 69 33.4
1 1 82 22.4
1 1 76 22.6
1 1 77 23.6
1 1 83 29.6
1 1 75 22.1
1 1 80 17.2
1 0 83 38.3
1 1 72 21.8
1 1 71 22.2
1 0 71 41.9
1 0 74 27.4
1 0 74 33.2
1 0 76 28.4
1 1 75 30.1
1 1 72 20
1 0 71 23.5
1 0 69 35.9
1 0 73 32.8
1 0 75 22.5
1 0 74 27.3
1 1 76 22.2
1 0 73 33.2
1 0 71 32.8
1 0 74 25.2
1 1 74 21.7
1 0 74 27.8
1 1 74 23.7
1 0 75 33
1 1 78 25.3
1 0 72 25.7
1 0 71 29
1 0 75 31.4
1 1 79 22.2
1 1 75 23.8
1 0 79 34.9
1 0 79 27.1
1 1 71 26.9
1 1 72 21.5
1 0 83 32.1
1 0 74 32.9
1 0 74 26.7
1 0 76 33.7
1 0 77 28.9
1 1 73 27.6
1 1 78 24.9
1 0 76 25.1
1 0 73 21.8
1 1 NA 19.7
1 1 70 26.2
1 1 76 19.2
1 1 75 23.8
