sex ppi.weight
1 23.2
1 27.6
0 31
1 18.2
0 31.2
0 31.5
1 21.3
0 22
0 29.5
1 23.6
0 33
0 24.7
1 22.8
1 21.1
0 29.4
0 35.5
1 20.6
0 24.9
1 16.5
0 23.8
0 28.5
0 26
1 24.1
0 29.4
0 22.7
1 26.5
0 25.8
1 20.8
1 24.4
1 23.6
0 27.6
1 19.2
0 26.3
0 37
1 18.5
0 24.8
0 36.1
1 19.5
1 24
1 19.7
0 27.1
0 39.7
0 34.9
0 33.8
0 24.8
1 21.8
0 31.7
1 23
0 27.5
0 23.3
1 16.8
1 21.6
1 27
1 18.8
0 28.9
0 26.1
1 20.8
1 23.2
0 27.9
1 19.5
0 30.6
1 22
0 34.6
1 23
0 26.9
1 23.3
1 27.9
1 19.6
0 28.5
1 24.3
1 20.5
1 26.3
1 23.5
1 20.7
1 23.9
1 21.5
0 29
1 26
0 30.1
0 36
1 19.9
0 27.4
0 31.2
1 16.7
0 26.6
1 20.6
0 27.6
1 20.7
1 24.6
0 27.4
0 29.2
1 25.4
1 25.7
1 15.8
1 22.4
1 19.5
0 39.1
1 25.7
0 32.6
1 24.2
0 24.7
0 31.1
0 24.7
1 22.3
0 29.4
1 23.5
1 22.7
1 20.2
1 22.1
0 29.5
0 31.9
1 22.3
0 30.2
1 27.2
0 23.9
0 28
1 19.5
1 27.5
0 26.8
0 33
0 30.9
0 26.6
0 35
0 31.2
0 28.5
0 25.4
0 29.6
1 18.5
0 28.8
0 31.6
1 25.9
1 20.3
0 29.8
1 NA
0 29.4
1 22.2
0 29.5
1 21.6
0 26.6
1 23
1 19.5
0 29.7
1 23.6
0 27.5
1 19.9
0 27.9
1 26
0 27.3
0 26.4
1 19.8
0 40.3
0 27
1 22
1 24.5
1 20.5
1 27
0 30.7
1 23.8
0 31.6
0 29.1
0 29.7
0 27.7
1 26.3
1 22.5
1 28.8
0 32.6
0 33.5
0 30.9
1 18.3
0 33.3
0 42.3
1 20.7
1 20.2
1 26
1 24.8
0 29.2
1 19.7
0 25.6
1 22.8
0 25.2
0 31.7
1 19.9
0 33
0 35.3
1 21.7
0 32.9
1 22.8
0 37
1 20.4
1 19.8
0 21.4
1 21.7
1 21.3
1 16.9
0 29.2
1 23.8
1 27.7
0 34.1
0 31.2
0 30
0 35.6
0 32
0 30.3
1 27
0 29.1
1 32.1
0 36.6
1 21.8
1 25.5
0 28.2
1 21.5
0 30.9
1 21.7
1 24.2
