sex cpp.age
0 57
1 48
0 48
0 47
1 55
0 49
0 47
1 58
1 54
0 47
1 47
1 57
0 54
0 47
0 47
0 53
1 47
1 58
1 57
0 48
1 53
0 52
0 47
1 52
0 47
0 50
0 48
1 66
1 48
1 53
1 47
0 55
0 49
0 57
1 48
1 53
0 55
0 58
0 48
0 49
1 55
1 49
1 57
0 58
0 50
1 47
1 48
0 48
1 49
0 50
0 47
0 47
1 49
1 58
0 57
1 50
0 50
1 53
0 57
1 54
0 55
1 47
0 54
0 54
0 50
1 50
0 57
1 51
0 47
1 50
1 52
0 57
0 52
1 47
0 47
1 53
1 50
1 57
1 58
0 49
0 49
0 58
1 58
1 54
0 47
1 47
0 47
0 53
1 49
1 49
1 51
0 58
0 51
1 47
1 48
0 55
0 48
1 53
0 53
1 49
1 50
1 52
0 52
0 49
1 58
1 48
0 48
0 49
1 47
1 54
1 47
1 47
0 50
0 50
1 47
1 50
0 47
0 53
1 57
0 48
1 53
0 54
1 55
1 50
1 47
0 54
1 54
1 48
0 49
0 49
0 58
1 49
1 53
0 54
1 55
1 66
0 65
1 54
0 67
0 54
0 61
1 64
1 49
1 54
0 73
0 48
0 69
1 53
1 63
1 53
1 64
1 50
0 56
1 73
1 56
0 54
0 53
1 54
1 50
1 57
1 60
1 54
0 75
0 68
0 50
1 58
0 53
1 66
0 56
0 55
0 52
0 54
0 NA
0 55
1 63
0 54
0 68
0 55
1 76
1 55
0 49
0 50
1 54
1 54
0 55
1 60
1 52
1 52
0 51
1 54
1 67
0 59
1 54
1 54
1 60
0 55
1 52
1 56
0 67
0 52
0 53
1 61
0 71
1 94
1 57
1 73
0 53
0 62
0 60
0 62
0 70
0 55
0 54
0 53
1 88
1 51
0 63
0 53
0 57
0 48
1 88
1 48
1 66
0 59
1 50
1 62
1 49
0 48
0 54
0 53
0 57
0 60
0 63
1 54
0 66
1 52
1 74
0 48
1 49
0 58
0 49
1 57
1 54
1 52
0 53
1 55
0 47
1 57
1 48
0 47
0 62
1 47
0 47
0 57
1 49
1 62
0 49
0 51
0 66
1 48
1 47
1 50
0 50
0 48
0 50
1 58
1 55
1 51
0 51
1 63
0 55
1 48
0 58
1 48
0 52
1 58
1 47
1 50
0 59
0 63
0 52
1 49
0 50
1 NA
0 52
1 52
1 53
0 88
0 54
0 55
1 54
1 57
0 52
0 54
1 51
1 53
1 61
0 63
0 67
1 66
0 62
0 84
0 62
0 52
1 52
0 60
0 58
0 76
1 55
1 68
0 61
0 53
0 53
0 56
1 53
0 51
0 55
0 50
1 52
0 53
1 53
0 94
1 75
1 54
0 64
1 56
1 55
0 69
0 53
0 52
0 62
0 48
1 49
0 68
1 52
1 54
1 57
1 62
1 69
0 53
1 52
1 59
0 61
0 52
0 75
1 51
0 55
1 63
0 55
0 54
1 62
1 53
0 53
1 54
1 49
0 61
0 49
0 54
0 77
1 61
0 49
0 67
1 62
0 52
1 53
0 53
0 52
1 54
0 75
0 56
0 65
0 70
1 52
1 53
1 68
1 70
1 NA
0 57
1 53
0 64
0 54
1 63
1 56
0 59
1 54
1 56
1 61
1 53
0 52
1 62
0 54
1 58
0 54
1 52
1 54
1 68
0 61
1 55
0 50
0 61
0 92
1 61
0 49
1 75
1 77
1 64
1 60
1 63
0 68
1 48
1 48
0 53
1 53
1 49
0 56
0 62
1 75
0 50
1 53
0 54
0 58
0 57
0 70
1 50
1 54
1 78
0 50
0 62
1 50
1 59
1 53
0 50
0 61
0 101
0 71
1 84
0 52
0 70
0 52
0 71
0 63
1 50
1 53
0 57
0 57
1 53
0 50
0 53
0 56
0 54
1 60
1 48
0 49
1 56
0 52
0 63
1 56
1 63
0 68
0 54
1 101
0 66
0 54
1 55
0 61
0 52
0 67
1 54
0 61
0 60
1 67
0 56
0 52
1 69
0 55
1 52
1 68
1 55
1 53
0 49
1 53
1 55
1 61
1 61
0 49
0 54
1 63
1 53
1 65
0 54
1 59
0 50
1 54
1 53
1 55
1 60
1 53
1 88
0 53
0 60
1 66
0 63
1 51
1 68
1 57
1 57
0 59
1 50
0 62
1 61
0 54
0 55
0 54
1 53
1 75
0 50
1 53
1 63
1 61
0 63
0 56
1 51
0 60
0 55
1 53
1 53
1 63
1 66
1 52
1 54
0 50
1 50
1 55
0 51
1 53
0 49
1 62
0 65
1 89
1 54
1 54
1 57
0 51
0 53
0 63
1 56
1 51
0 53
1 55
1 105
0 53
1 53
0 54
0 50
1 67
1 74
0 53
1 63
0 74
0 68
1 53
0 68
1 62
1 61
0 54
1 58
1 67
0 53
0 51
0 49
1 69
0 48
1 NA
0 53
0 52
0 59
0 73
0 61
0 57
1 52
0 55
0 48
1 56
0 68
0 56
1 54
1 56
1 66
0 78
0 53
0 63
1 55
0 78
0 61
0 67
0 55
0 54
0 69
1 77
0 53
1 52
1 55
0 57
1 53
1 54
1 49
1 66
1 52
0 78
0 61
0 60
1 54
0 53
1 53
0 50
1 60
0 62
0 53
0 64
1 63
1 52
1 57
1 71
1 55
1 101
1 58
0 53
1 53
1 63
0 58
1 76
1 52
1 52
0 53
0 60
1 48
1 64
1 59
0 54
1 63
0 52
1 52
1 55
1 54
1 54
0 90
1 52
1 57
1 61
0 49
1 54
1 61
0 53
1 52
1 58
0 73
0 56
0 52
0 71
0 52
0 70
0 55
0 53
1 54
0 63
0 52
0 63
1 75
1 50
1 56
0 59
1 61
1 59
0 55
1 53
0 54
1 71
1 48
0 60
0 61
0 63
0 56
0 60
0 54
0 54
1 67
0 54
0 51
1 52
0 56
0 49
0 53
0 52
0 53
1 52
1 66
0 53
0 53
1 63
0 NA
1 54
1 68
0 52
0 54
1 53
1 48
0 52
1 56
0 98
1 62
1 52
0 52
0 54
1 66
1 54
1 61
1 53
1 54
0 51
0 63
1 53
1 73
1 52
0 54
0 63
0 52
0 61
1 54
1 54
0 53
0 54
1 67
1 53
1 63
0 59
1 75
1 61
0 75
0 61
0 64
1 52
0 50
0 51
0 52
1 62
0 52
1 57
1 55
1 101
0 58
0 51
1 63
0 66
0 84
1 52
0 68
0 52
0 49
0 68
1 54
1 74
1 57
1 53
0 62
1 51
1 54
1 55
0 53
0 63
1 62
1 54
1 77
1 62
1 49
0 56
1 84
0 52
1 53
0 69
0 75
1 75
0 66
0 63
0 74
1 52
1 49
1 50
0 52
1 61
1 49
1 56
1 48
0 66
0 62
0 52
0 50
1 68
0 75
1 54
1 51
1 61
0 100
0 61
0 54
0 61
1 52
1 63
1 62
0 54
0 66
0 54
1 61
1 52
1 98
1 49
0 73
1 61
1 55
1 54
0 77
1 50
1 53
1 69
0 61
0 61
0 61
0 54
1 53
0 57
0 74
1 53
1 68
1 57
1 57
1 52
0 66
0 54
1 54
1 52
1 59
1 52
0 52
1 69
0 54
1 70
0 101
0 56
0 63
0 54
0 57
1 63
0 54
1 53
1 62
1 52
1 59
1 70
0 54
1 61
0 50
0 57
1 66
1 49
1 63
0 53
0 62
1 100
0 54
1 50
1 54
1 50
1 72
0 48
1 54
1 52
1 75
0 57
0 48
1 60
1 50
0 75
0 54
1 51
0 53
0 63
1 50
1 50
0 48
1 51
0 63
1 53
1 64
1 54
1 49
0 62
1 61
0 54
0 56
0 54
0 52
1 56
0 52
1 63
1 63
1 70
0 73
1 76
0 73
0 53
1 53
0 52
0 53
0 54
1 69
1 54
1 52
1 49
0 53
0 52
0 49
0 59
1 53
1 55
1 90
1 52
1 50
0 67
0 56
1 92
0 54
0 50
0 54
0 67
0 72
1 66
0 76
0 66
1 50
0 89
0 55
1 53
1 56
0 53
0 54
1 58
1 59
0 52
0 49
0 53
0 52
0 60
1 71
0 54
0 53
1 73
1 60
1 54
0 72
0 53
0 75
0 53
1 74
1 55
1 53
1 69
1 50
0 54
0 52
0 69
0 56
1 54
0 53
0 50
1 61
1 53
0 52
0 61
0 54
1 71
0 54
1 53
0 60
1 61
0 53
0 69
1 54
0 54
0 53
1 54
0 54
1 62
1 50
0 68
1 54
0 76
1 54
0 52
0 53
1 59
0 53
1 53
0 64
1 53
1 52
0 52
1 65
1 60
0 62
0 54
1 61
0 68
1 54
0 55
0 55
1 62
0 66
0 53
1 60
1 52
1 56
0 98
1 75
1 50
0 52
0 53
1 53
0 59
1 62
1 51
0 58
0 98
0 57
0 66
1 59
1 52
1 57
0 52
1 52
0 68
1 54
1 48
0 52
1 65
0 62
0 61
1 61
1 54
1 49
1 54
1 88
1 72
1 52
0 66
1 53
0 66
1 56
1 66
1 68
1 73
0 52
1 62
1 52
1 98
0 61
0 53
0 69
0 61
0 55
1 54
0 51
0 58
0 68
0 75
0 49
1 53
0 62
0 53
1 53
0 55
1 67
1 54
1 60
0 88
1 52
0 54
0 54
0 53
1 98
0 50
0 62
0 61
0 63
1 52
1 54
1 66
0 50
