one sex cpp.age is.coatW
1 NA NA NA
1 NA NA NA
1 0 48 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 1 50 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 0 53 1
1 NA NA NA
1 1 47 0
1 NA NA NA
1 1 53 1
1 0 47 1
1 NA NA NA
1 NA NA NA
1 0 50 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 0 54 0
1 NA NA NA
1 NA NA NA
1 0 58 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 1 58 0
1 0 51 1
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 0 49 1
1 NA NA NA
1 NA NA NA
1 1 49 1
1 0 47 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 0 58 0
1 NA NA NA
1 NA NA NA
1 1 57 0
1 NA NA NA
1 1 57 1
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 1 49 1
1 NA NA NA
1 0 48 0
1 NA NA NA
1 1 62 0
1 NA NA NA
1 1 47 1
1 NA NA NA
1 0 53 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 1 55 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 1 51 1
1 0 52 0
1 NA NA NA
1 NA NA NA
1 1 49 0
1 NA NA NA
1 1 58 0
1 0 55 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 0 49 1
1 NA NA NA
1 NA NA NA
1 0 50 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 1 47 0
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 NA NA NA
1 1 47 0
1 0 50 0
1 0 49 0
1 NA NA NA
1 0 47 0
1 NA NA NA
1 NA NA NA
1 0 49 1
