sex rip.weight
0 35.7
0 29.7
0 37.2
0 29.3
1 22.7
1 21.2
0 27.8
1 25
0 36.3
1 22.7
0 32.7
0 34.6
1 20.4
0 29.6
0 38.9
0 32.4
1 26.8
1 27
1 25.6
0 29.7
0 35.5
1 20.1
1 25.1
0 31.8
0 25.5
0 42
1 NA
1 24.2
0 29.1
1 18.3
0 30.1
0 25
0 30.8
0 29.8
1 20
1 23.5
1 21.3
0 26.7
1 23.1
1 21.4
0 34.7
0 42.6
0 37.1
0 21.5
0 31.4
0 30.7
0 37.2
1 23.2
1 18.2
1 21.6
0 28.3
1 21.8
0 30
0 32.9
0 32.6
0 31.7
0 33.4
1 21.9
0 32.4
1 24.5
1 21.3
1 24.5
1 26.1
1 20.4
1 21.4
0 36.5
0 31.1
1 23.3
1 23.6
1 20.1
1 26.3
1 21.5
1 25.5
1 23.3
0 34.3
0 34.9
1 22.5
1 36.7
0 30.1
0 29.2
0 38.7
1 18.7
0 38.3
0 30.1
1 23.1
0 27.6
1 24.4
1 20.7
0 25.7
1 36.1
1 16.9
1 31.5
0 NA
0 28.7
1 NA
0 37.2
1 24.6
0 34.1
0 33.8
0 30.8
1 19.4
0 35
0 30.1
1 20.5
0 25.4
0 32.9
0 31
0 33.7
1 23.2
1 17.5
0 31.6
1 20.9
1 23.3
1 22.6
1 20.8
0 31.8
1 26.2
0 27.9
1 22.5
1 29.5
0 33
0 34
0 37.9
0 28.1
0 36.5
1 25.1
0 35.9
1 25.9
0 25.3
0 41.5
0 32.3
0 31.1
0 42.2
0 35.2
0 43.1
0 37.4
0 30.9
0 29.3
0 34.4
1 22.2
0 28.1
0 29.4
0 33.6
0 37.1
1 24.7
0 30.9
1 29.3
1 15.8
1 25.6
1 22.5
1 21.3
1 19.4
1 23.8
0 30.4
1 25.5
0 21.5
1 20.1
1 18.8
0 31.8
0 31.3
1 29.2
1 23.5
0 33.5
0 23.3
1 27.7
1 21.8
0 34.6
1 27.6
1 24.9
0 32.9
1 24.4
1 22.3
1 22.4
0 41.8
0 32.3
1 25.4
1 24.3
0 29.9
1 23.2
1 22.1
1 23.9
0 31.9
0 34.7
0 22.6
0 30
1 23.8
0 31.1
0 30.3
0 31.7
1 28.4
0 28.1
0 32.9
0 35
0 37.1
0 29.9
1 21.3
1 18.5
1 27
1 24.8
1 26
1 23.3
1 24.9
0 36.2
1 20.8
1 25.5
0 26.2
0 30.6
0 30.2
0 27.7
0 28.7
0 29.8
1 25.5
0 27.2
0 33.9
1 29.7
1 23.7
0 35.9
0 27.8
0 33.3
1 28.2
1 24.7
1 31
1 32.2
1 20.5
0 26.5
1 25.3
1 21.5
0 38.2
0 29.6
1 22.3
1 19.6
0 31.3
1 29.9
0 35.4
0 35.1
1 23.7
0 37.8
0 25.7
1 20.9
0 33.7
1 27.8
1 21.6
1 20.9
0 30.3
0 34.6
1 30.2
1 24.1
0 29.5
1 21.4
0 32.9
0 32.7
1 22.6
0 30.7
0 27.1
0 30
0 29.4
1 24.3
1 23.1
1 29.8
1 23.3
0 27.5
0 32.4
1 22.6
1 17.4
0 29.5
0 35
0 37.7
0 42.8
0 25.2
0 30.2
0 31.4
1 19.1
1 20.9
0 27.5
0 26.8
0 42.9
1 23.7
1 23.6
0 33.4
0 34.4
0 46.2
0 26.8
0 28
1 20.6
0 32.2
0 38.4
1 21.6
0 40.3
0 40.2
0 36.9
1 22.2
1 24.5
1 29.7
0 34
1 23
1 28.5
0 37.4
0 34.4
0 31.2
0 30.6
0 31.5
0 45.5
1 22.1
1 22.4
1 28
1 21.9
0 26.7
1 26.9
1 21.5
0 34.3
0 32
1 25.3
1 21.6
1 21.4
0 32.9
0 39.6
1 24
1 26.9
0 35.5
1 30.4
0 25.3
1 27.1
1 20.6
1 31.4
1 18.7
1 23.5
1 19.4
0 43.4
1 26.5
1 23.9
1 22.7
1 22.1
0 34.7
1 23.1
0 27.5
1 25.8
1 25.5
0 27.2
0 25
0 31.3
1 25.1
0 32.1
0 29.1
0 28.7
0 32.2
1 30
1 21.3
0 33
0 45
1 27.8
1 24.6
0 40.6
0 32.8
0 27.4
1 28.4
1 22.5
0 25.3
0 25.4
1 22.9
1 29.8
0 31.4
0 38
0 33.3
0 38.9
1 25
0 33.5
0 30.6
1 19.2
1 24.3
1 25.2
1 17.2
0 30.6
0 28.3
0 41.4
1 19.5
0 30.5
1 22.6
1 25.5
1 39.1
1 32.3
0 23.5
0 30.4
0 42
0 30.2
0 30.1
0 31.1
1 19.5
0 30.2
0 39.7
1 27.1
0 41
1 23.7
1 23
1 27.2
0 30.7
0 41.8
0 35.2
1 22.4
1 27.5
0 30.8
0 30.1
0 35.7
0 25.7
0 24.5
1 20.4
0 34.9
0 34
0 39
1 19.2
0 23
0 37.1
1 25.1
1 21
1 36.8
0 30.6
0 36.8
1 20.9
0 24.6
1 25
0 32.3
0 28.8
1 22.4
0 42.1
0 28
1 20.8
0 36.9
0 30.5
0 26.4
1 23.6
0 33
1 20.2
1 18.5
1 18.6
0 34.1
0 38.4
1 30.5
0 32.2
0 28.9
1 24.4
1 24.6
0 29.3
0 37.7
1 17.8
1 25.1
0 35.8
1 26.4
1 24.5
1 23.7
0 35
0 29.6
0 22.6
0 34.3
1 26.7
0 31.6
0 26.9
0 31.9
1 22.5
0 30.9
0 27.7
1 19.1
0 28.5
1 25.1
1 23.7
1 20
0 29.6
1 25.3
1 30.4
0 28.2
1 19.6
0 33.4
1 25.7
1 25.1
0 26.9
1 17.5
0 33.9
1 21.9
1 30.4
0 31.8
0 25.2
0 34.2
1 24.5
0 30.4
1 24
0 28.3
1 24.7
0 26.4
1 24.3
0 33.4
0 25.4
1 19.8
0 34.6
0 35.6
1 24
0 27.4
0 42.1
1 23.5
1 24.6
1 25.7
1 21.3
0 28.6
0 26.7
0 36.8
1 26.7
0 30.7
0 31.5
0 32.5
1 25.8
0 30.5
1 24.9
0 29.4
1 24.9
1 23.3
1 25.3
1 20.2
1 20.4
1 22.8
1 20.2
1 20.5
0 31.8
0 33.5
1 22
0 41.2
0 28.7
0 30.4
0 26.1
0 22
1 26.3
0 30.3
0 29.6
0 29.1
1 21.9
1 25.6
1 22.6
1 22.3
0 33.5
1 25.7
0 39.2
1 25.7
1 26.7
0 33.7
1 20.4
0 22.5
1 27.2
0 37.4
0 26.8
0 24.7
0 33.6
0 33.2
1 22
0 37.1
0 33.1
0 32.1
0 33.6
1 28.7
1 29.4
0 26.9
0 32.8
1 23.6
1 25.9
1 27
0 28.6
0 38.6
1 23.1
1 21.7
0 39.2
0 33.7
1 25
1 22.8
0 36.7
1 19.9
1 25.9
1 23.4
0 26.6
1 26.1
1 19.8
0 28
0 29.3
1 26.1
0 25.3
1 22.2
0 25.3
1 20.5
1 23.2
0 32.9
1 22.4
0 44.7
1 20.3
1 19.8
0 28.9
0 29.2
0 35.5
0 27
0 30.4
1 27.8
0 33
1 21
0 28.6
0 33.6
0 27.1
1 19.9
0 27.4
1 23.3
1 19.6
1 24
0 33.6
0 27.6
0 25.1
0 22.4
1 24.3
1 24.2
1 22.4
0 30.3
0 31.2
0 29
1 20.9
0 30.5
0 30.1
0 30.7
1 26.9
0 27.5
0 43.7
1 26.8
1 26.2
0 36.6
0 32.6
1 21.9
0 30.1
1 23.6
1 23.6
1 33
0 40.5
0 23.4
0 25.5
1 27.6
1 18.7
1 24.1
0 31.1
1 23.5
0 46.1
1 20.1
0 27.9
1 23
0 34.8
0 27.1
0 28.3
1 24.6
1 21.5
1 23.1
0 27.1
1 21.1
0 28.7
1 22.3
1 19.6
1 25.5
1 29.3
0 31.3
0 37.2
1 21
1 21.1
0 37.7
1 23.5
1 23.8
1 24
1 22.8
0 31.3
1 24.6
1 27.6
1 21.5
0 32
0 28
1 20.8
1 23.2
0 30.1
0 30.1
0 44.3
0 28.7
1 23.5
0 26.5
1 27.4
1 22.6
0 30.5
0 30
0 33
1 21.7
1 33.7
1 22.7
0 28.4
1 23.3
1 28.1
0 28.2
1 28.9
0 43.1
1 23
1 28.3
1 22.2
1 24.8
1 20.7
1 17.4
1 32.2
1 28.9
0 28.7
0 29.1
1 21.6
1 26.5
0 29.1
1 2
1 19.2
1 25.5
1 24.1
1 24.4
0 36.6
1 26.1
0 38.5
0 32.4
0 40.5
1 19.8
1 23.2
1 35
0 30.3
1 21.4
0 29.2
0 27.7
0 25.4
0 33.8
0 35.2
0 35.3
1 21.3
1 20.2
1 19.2
1 21.3
1 19.4
0 27.1
1 25.8
1 23.7
0 34.8
0 33.4
0 31.8
0 26.9
0 28.2
1 22.9
1 22.7
0 39.5
0 25.7
1 25.8
1 23.7
0 31
0 31.2
0 35.4
1 27.5
1 20.2
0 26.8
0 29.3
1 22.4
1 23.5
0 30.3
0 32.8
1 29.8
0 35.5
0 33.8
0 29.9
0 34.4
1 21.5
1 21
1 25.1
1 24
1 27
0 29.1
1 22.8
1 26.6
0 35.8
0 37.4
1 19.8
1 23.3
1 23.9
0 35.2
0 30.7
1 16.9
1 20.8
0 30.3
1 27.8
0 NA
1 27
0 35
0 31.3
1 24
0 32.1
0 26.9
0 36.9
0 41.1
1 20.5
1 22.9
0 29.5
1 21.3
0 28.5
1 21.8
0 31.5
0 36.3
1 22.7
0 32.7
0 26.9
0 29.7
0 36.1
0 39.7
1 26
1 19.7
1 22.7
1 24.7
1 21.2
1 24.1
1 26.4
1 24.1
