sex comerr1
1 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
1 0
1 0
0 6.9
0 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
1 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
1 0
1 0
0 0
1 0
0 6.9
1 0
1 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
0 0
0 0
1 0
1 0
1 11.9
1 0
0 0
1 0
0 0
1 0
1 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
0 0
1 0
0 NA
1 6.9
1 0
0 0
1 0
1 0
0 0
1 0
0 0
0 0
1 0
1 0
1 6.9
1 0
0 0
0 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
0 0
0 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
0 0
0 0
1 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
0 0
0 0
1 0
0 0
0 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
0 0
1 0
1 0
0 0
0 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
1 0
0 0
0 0
0 0
1 0
1 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
1 0
1 0
0 0
1 0
0 0
0 0
1 0
1 0
0 0
1 0
0 0
0 0
0 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
0 0
1 0
0 6.9
1 0
0 0
1 0
1 0
0 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
1 6.9
1 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
1 0
1 0
0 0
1 0
0 0
1 0
0 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
0 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
0 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
0 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
1 0
0 6.9
0 0
0 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
1 0
0 0
0 0
0 0
1 0
1 0
0 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
1 0
0 0
1 0
0 0
0 0
1 0
1 0
0 0
1 0
0 6.9
0 0
0 0
1 0
1 0
1 0
1 0
0 0
1 0
1 0
0 0
0 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
0 0
1 0
0 0
1 0
0 0
1 0
0 0
1 0
0 0
1 0
1 0
0 0
0 0
1 0
0 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
1 0
0 0
0 6.9
1 0
0 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
1 6.9
0 0
1 0
0 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
1 0
1 6.9
0 0
0 0
1 0
1 0
1 0
0 0
1 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
1 0
0 0
0 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
0 6.9
1 0
1 0
1 0
1 0
0 0
0 0
1 0
1 0
1 0
0 0
0 0
1 0
1 0
1 0
1 0
0 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
1 0
0 0
1 0
1 0
1 0
1 0
1 0
0 0
1 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
0 0
1 0
1 0
1 0
0 6.9
1 0
1 0
0 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
1 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
0 0
0 0
0 6.9
0 0
0 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
1 0
1 0
1 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
1 0
1 0
0 0
0 0
0 0
0 0
1 0
0 6.9
0 0
0 0
1 0
0 0
1 0
0 0
0 0
0 0
1 0
1 0
1 0
0 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
0 0
1 0
0 0
0 0
0 0
1 0
1 0
1 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
1 0
0 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
1 0
0 0
1 0
1 0
1 11.9
1 0
0 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
1 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
1 0
0 0
0 0
0 0
1 0
1 0
1 0
0 0
0 0
1 0
0 0
1 0
1 0
0 0
1 0
1 0
1 0
0 0
0 0
1 0
1 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
0 0
0 0
1 0
1 0
1 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
1 0
0 0
0 0
1 0
1 0
1 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
0 0
0 0
0 6.9
0 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 6.9
1 0
1 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
1 0
0 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
0 0
0 0
1 0
0 0
0 0
1 6.9
1 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
0 0
0 0
1 0
0 0
1 0
1 0
1 0
1 0
0 0
1 6.9
1 0
0 0
1 0
1 0
1 0
1 0
1 0
1 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
0 0
1 0
1 0
0 6.9
0 0
1 0
1 0
1 0
0 0
0 0
0 0
1 0
1 0
0 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
1 0
1 0
1 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
1 0
1 0
0 0
1 0
1 0
1 0
0 0
0 0
0 0
1 0
0 0
1 0
0 0
1 0
0 0
1 0
0 0
0 0
1 0
0 0
0 0
1 0
0 0
1 0
1 0
