Chromosome	Position
Y	11000000
1	11986786
1	33811444
1	74963079
1	93593614
1	121012874
1	150177251
1	178969374
1	196072469
2	10654916
2	18045358
2	30044009
2	47175333
2	80713295
2	104253454
2	122534474
2	155206453
2	178470578
3	37129353
3	82357013
3	145396287
4	56476856
4	82337374
4	138911864
4	154488272
5	111079082
5	147860587
6	5198452
6	23322761
6	96147004
6	117430412
6	141021111
7	6676820
7	26195979
7	57450823
7	106324400
8	40755375
8	98951029
8	130889485
9	6238770
9	36892423
9	62272949
9	96559130
9	118619755
10	4862788
10	21245335
10	41664551
11	78559023
11	97849250
11	114979024
12	16979680
12	80337517
12	118406098
13	42909284
13	65023280
13	85619553
13	118452405
14	10126401
14	41638218
14	76127534
15	27633610
15	85755681
15	101391454
16	4238020
16	39696094
16	57407609
16	77320049
16	97476812
17	23744030
17	43214756
17	81870204
18	38500061
18	72387016
18	84686237
15	7117980
7	141188625
10	99701075
12	40215580
13	6303301
13	27129019
18	15408257
18	54774495
12	63868521
12	5967934
10	79915030
10	56034586
11	21040136
11	43171964
5	136917666
5	118166937
9	81281343
6	40029337
19	52143292
19	3490564
19	15857669
14	59200668
3	101914952
3	4365615
6	60541414
14	100024215
14	22151051
7	38216957
1	42424440
1	138180275
3	151882540
3	56511763
3	21837059
15	37392168
7	125077242
4	6301848
15	61525291
8	3425810
8	61081719
8	120161891
8	77477256
4	40225498
5	81685659
17	60378784
5	18216206
5	41153028
8	26496123
1	60046978
4	109547100
13	101979187
17	5332903
16	21339077
11	62886983
18	4398492
1	165062830
X	55120804
4	155284926
X	7468090
X	14247938
X	39238438
X	78333143
X	97862440
X	117533412
X	139425208
X	147904667
X	164113817
1	76699833
10	31438649
10	38055389
10	48196622
10	50329524
10	61003304
10	77359717
10	78434373
10	105467618
10	109362949
11	21563671
12	29007291
12	73244811
12	99368632
13	7998546
13	16128923
13	80611273
13	84000874
14	99817908
15	58567489
15	62236926
16	18974789
16	22584109
16	22904485
16	29499546
16	53489614
16	81374143
17	59595378
17	61354996
2	15263411
2	35499891
3	21765184
3	44787487
3	101766115
3	142947471
4	127457583
6	99169543
7	73919216
7	86286599
7	89760434
7	122820309
8	46671712
8	89677634
8	110014754
8	112977420
9	14004019
X	132582545
X	159194303
10	64858329
10	97386710
11	79625510
2	16371753
8	26797428
X	47550393
1	70745937
1	82265334
1	131706524
1	141375407
1	156374938
10	29238567
10	31588006
10	32419020
10	32945945
10	33142792
10	46417053
10	46855524
10	51336996
10	52908848
10	54089170
10	60619741
10	61309293
10	62310219
10	63198864
10	76276255
10	112552702
10	116544626
11	44776199
11	53240923
11	109045924
12	46718870
12	101505572
12	103162682
13	49563759
13	58451748
14	70430046
14	89775481
14	98241520
14	100920625
15	27519249
16	17439860
16	29788360
16	34641810
16	51052821
17	60023104
17	70611175
17	90496905
18	81102176
18	82159602
19	7337895
19	11076559
19	13872346
2	6354946
2	13112856
2	14886457
2	17490353
2	73124595
2	136188695
2	145960247
2	146534437
3	13576780
3	21319274
3	42632682
3	53762245
4	28298900
4	28641216
4	28924684
4	31255962
4	48915375
4	52925708
4	70334381
4	82250309
5	17069044
5	17316983
5	36326745
5	133841384
5	135679794
6	39117079
6	59374017
6	66222826
6	142438565
7	54397605
7	70108855
7	71717571
7	130918594
7	133428931
7	139320545
7	142828579
7	143281510
7	149348858
7	149610152
8	45142789
8	114680766
8	122795405
9	38953782
9	118806335
9	121680635
X	11306666
X	18452387
X	21310819
X	33857018
X	67590652
X	158361836
11	74030579
2	136339478
X	109428265
6	129022886
