Additional File 13: Predicted IBD regions in LG/J and SM/J Sequenced Genomes

Chr	Start	Stop	Polymorphisms	State
chr1	3000000	3049999	327	nonIBD
chr1	3050000	3099999	368	nonIBD
chr1	3100000	3149999	328	nonIBD
chr1	3150000	3199999	301	nonIBD
chr1	3200000	3249999	266	nonIBD
chr1	3250000	3299999	113	nonIBD
chr1	3300000	3349999	196	nonIBD
chr1	3350000	3399999	127	nonIBD
chr1	3400000	3449999	88	nonIBD
chr1	3450000	3499999	12	nonIBD
chr1	3500000	3549999	90	nonIBD
chr1	3550000	3599999	275	nonIBD
chr1	3600000	3649999	20	nonIBD
chr1	3650000	3699999	16	nonIBD
chr1	3700000	3749999	13	nonIBD
chr1	3750000	3799999	7	nonIBD
chr1	3800000	3849999	20	nonIBD
chr1	3850000	3899999	11	nonIBD
chr1	3900000	3949999	10	nonIBD
chr1	3950000	3999999	32	nonIBD
chr1	4000000	4049999	125	nonIBD
chr1	4050000	4099999	37	nonIBD
chr1	4100000	4149999	363	nonIBD
chr1	4150000	4199999	80	nonIBD
chr1	4200000	4249999	184	nonIBD
chr1	4250000	4299999	440	nonIBD
chr1	4300000	4349999	136	nonIBD
chr1	4350000	4399999	26	nonIBD
chr1	4400000	4449999	46	nonIBD
chr1	4450000	4499999	43	nonIBD
chr1	4500000	4549999	71	nonIBD
chr1	4550000	4599999	70	nonIBD
chr1	4600000	4649999	320	nonIBD
chr1	4650000	4699999	339	nonIBD
chr1	4700000	4749999	517	nonIBD
chr1	4750000	4799999	358	nonIBD
chr1	4800000	4849999	147	nonIBD
chr1	4850000	4899999	204	nonIBD
chr1	4900000	4949999	197	nonIBD
chr1	4950000	4999999	175	nonIBD
chr1	5000000	5049999	205	nonIBD
chr1	5050000	5099999	123	nonIBD
chr1	5100000	5149999	53	nonIBD
chr1	5150000	5199999	60	nonIBD
chr1	5200000	5249999	133	nonIBD
chr1	5250000	5299999	210	nonIBD
chr1	5300000	5349999	156	nonIBD
chr1	5350000	5399999	75	nonIBD
chr1	5400000	5449999	86	nonIBD
chr1	5450000	5499999	659	nonIBD
chr1	5500000	5549999	290	nonIBD
chr1	5550000	5599999	26	nonIBD
chr1	5600000	5649999	111	nonIBD
chr1	5650000	5699999	123	nonIBD
chr1	5700000	5749999	311	nonIBD
chr1	5750000	5799999	459	nonIBD
chr1	5800000	5849999	433	nonIBD
chr1	5850000	5899999	91	nonIBD
chr1	5900000	5949999	233	nonIBD
chr1	5950000	5999999	50	nonIBD
chr1	6000000	6049999	122	nonIBD
chr1	6050000	6099999	364	nonIBD
chr1	6100000	6149999	600	nonIBD
chr1	6150000	6199999	327	nonIBD
chr1	6200000	6249999	75	nonIBD
chr1	6250000	6299999	23	nonIBD
chr1	6300000	6349999	16	nonIBD
chr1	6350000	6399999	38	nonIBD
chr1	6400000	6449999	80	nonIBD
chr1	6450000	6499999	98	nonIBD
chr1	6500000	6549999	187	nonIBD
chr1	6550000	6599999	97	nonIBD
chr1	6600000	6649999	93	nonIBD
chr1	6650000	6699999	135	nonIBD
chr1	6700000	6749999	206	nonIBD
chr1	6750000	6799999	79	nonIBD
chr1	6800000	6849999	108	nonIBD
chr1	6850000	6899999	171	nonIBD
chr1	6900000	6949999	154	nonIBD
chr1	6950000	6999999	21	nonIBD
chr1	7000000	7049999	16	nonIBD
chr1	7050000	7099999	11	nonIBD
chr1	7100000	7149999	8	nonIBD
chr1	7150000	7199999	12	nonIBD
chr1	7200000	7249999	35	nonIBD
chr1	7250000	7299999	26	nonIBD
chr1	7300000	7349999	11	nonIBD
chr1	7350000	7399999	18	nonIBD
chr1	7400000	7449999	15	nonIBD
